date,organization,count,rn
2020-03-15,Nan,1,1
2020-03-16,New York Post,1,1
2020-03-18,Nan,1,1
2020-04-10,Centers For Disease,1,1
2020-04-10,District Health Department,1,2
2020-04-20,American Camp Association,1,1
2020-04-20,Association Of Camp Nursing,1,2
2020-04-20,Centers For Disease,1,3
2020-04-20,H Club,1,4
2020-04-20,Health Department,1,5
2020-04-20,Kentucky Department Of Fish,1,6
2020-04-20,Ymca,1,7
2020-05-21,Kentucky University,1,1
2020-05-21,Radcliff Small Business Alliance,1,2
2020-05-21,Youtube,1,3
2020-06-07,City Police,1,1
2020-06-07,Community Builders,1,2
2020-06-07,Young,1,3
