date,organization,count,rn
2020-03-09,Centers For Disease,1,6
2020-03-09,National Institute Of Allergy,1,7
2020-03-09,Public Health Department,1,8
2020-03-09,Eisenhower Health,2,3
2020-03-09,Eisenhower Health In Rancho Mirage,2,4
2020-03-09,Public Health,2,5
2020-03-09,California Department Of Public Health,3,1
2020-03-09,El Centro Regional Medical Center,3,2
2020-03-20,International Crisis Group,1,1
2020-03-20,International Monetary Fund,1,2
2020-03-20,Twitter,1,3
2020-03-20,United States,1,4
2020-03-20,Us Navy,1,5
2020-03-20,White House,1,6
2020-03-21,San Diego State University,1,1
2020-03-25,Blythe Cancer Resource Center,1,1
2020-03-25,Board Of Trustees,1,2
2020-03-25,California Department Of Education,1,3
2020-03-25,California Distinguished School,1,4
2020-03-25,California Distinguished School Award,1,5
2020-03-25,California League,1,6
2020-03-25,Chapman University,1,7
2020-03-25,Cinnabar Charter School,1,8
2020-03-25,Contact The Resource Center,1,9
2020-03-25,Embry Aeronautical University,1,10
2020-03-25,Frank Wright Middle School,1,11
2020-03-25,Imperial Unified School District,1,12
2020-03-25,Palms High School,1,13
2020-03-25,Palo Verde Unified School District,1,14
2020-03-25,University Of Redlands,1,15
2020-03-26,Nan,1,1
2020-04-12,Escondido Police Department,1,1
2020-04-12,Imperial Counties Labor Council,1,2
2020-04-12,Kennedy Meat Company In Escondido,1,3
2020-04-12,Kennedy Meat Company On,1,4
2020-04-12,Public Health,1,5
2020-04-12,Twitter,1,6
2020-04-24,Affordable Clean Energy,1,1
2020-04-24,Arctic National Wildlife Refuge,1,2
2020-04-24,Federal Reserve,1,3
2020-04-24,Goldman Sachs,1,4
2020-04-24,Morgan Stanley,1,5
2020-04-24,Oval Office,1,6
2020-04-24,Oval Office On,1,7
2020-04-24,Senate Majority Leader Mitch Mcconnell,1,8
2020-04-24,Trump Administration,1,9
2020-04-24,Twitter,1,10
2020-04-24,Welcome To Overnight Energy,1,11
2020-04-24,Wells Fargo,1,12
2020-04-24,White House,1,13
2020-05-06,Almond Alliance,1,1
2020-05-06,California Farm Bureau Federation,1,2
2020-05-06,Farm Bureau,1,3
2020-05-06,Johns Hopkins University,1,4
2020-05-06,University Of California Division Of Agriculture,1,5
2020-05-19,Facebook,1,1
2020-05-19,Reuters,1,2
2020-05-19,United States,1,3
2020-05-20,Facebook,1,1
2020-05-20,Reuters,1,2
2020-05-20,United States,1,3
2020-05-21,Nan,1,3
2020-05-21,Associated Press,2,2
2020-05-21,Facebook,4,1
2020-05-22,El Centro City Council,1,4
2020-05-22,El Centro Regional Medical Center,1,5
2020-05-22,Orange County Sheriff Department,1,6
2020-05-22,Associated Press,2,2
2020-05-22,Nan,2,3
2020-05-22,Facebook,5,1
2020-05-23,El Centro City Council,1,2
2020-05-23,El Centro Regional Medical Center,1,3
2020-05-23,Nan,1,4
2020-05-23,Associated Press,2,1
2020-05-25,Associated Press,1,1
2020-05-25,Facebook,1,2
2020-05-26,Centers For Disease,1,1
2020-05-26,United States,1,2
2020-05-30,Associated Press,1,2
2020-05-30,El Centro Regional Medical Center,1,3
2020-05-30,Reuters,1,4
2020-05-30,Nan,2,1
2020-06-10,Brawley High School,1,1
