date,organization,count,rn
2020-02-14,Manzanita Court,1,1
2020-03-24,Instagram,1,1
2020-03-26,Baptist Church,1,1
2020-03-26,Club News,1,2
2020-03-26,Facebook,1,3
2020-03-26,Faith Baptist Church,1,4
2020-03-26,Lake Toxaway Charities,1,5
2020-03-26,Lake Toxaway Community Center On,1,6
2020-03-26,Services At Faith,1,7
2020-03-26,Youtube,1,8
2020-03-31,United States,1,1
2020-04-24,Health Services,1,1
2020-04-26,Nan,1,1
2020-04-29,Facebook,1,1
2020-04-29,Public Health,1,2
2020-04-29,Sheriff Office,1,3
2020-04-30,Coastal Commission,1,5
2020-04-30,Costco,1,6
2020-04-30,Department Of Public Health,1,7
2020-04-30,Human Services Agency,1,8
2020-04-30,Johns Hopkins University,1,9
2020-04-30,Nan,1,10
2020-04-30,Public Health Department,1,11
2020-04-30,Shasta College,1,12
2020-04-30,Twitter,1,13
2020-04-30,California Police Chiefs Association,2,4
2020-04-30,United States,3,2
2020-04-30,Walmart,3,3
2020-04-30,Office Of Emergency Services,6,1
2020-05-01,Department Of Public Health,1,15
2020-05-01,Human Services Agency,1,16
2020-05-01,National Institute Of Allergy,1,17
2020-05-01,Public Health Department,1,18
2020-05-01,Public Health Nurse For Tehama,1,19
2020-05-01,Shasta College,1,20
2020-05-01,White House,1,21
2020-05-01,Cnn,2,12
2020-05-01,Johns Hopkins University,2,13
2020-05-01,United States,2,14
2020-05-01,California Coastal Commission,4,7
2020-05-01,Niles Hotel,4,8
2020-05-01,Niles Hotel In Alturas,4,9
2020-05-01,Tribune Content Agency,4,10
2020-05-01,University Of San Francisco,4,11
2020-05-01,California Police Chiefs Association,5,5
2020-05-01,Nan,5,6
2020-05-01,Office Of Emergency Services,9,4
2020-05-01,Emergency Services Heather Hadwick,11,2
2020-05-01,Health Care Agency On,11,3
2020-05-01,Associated Press,21,1
2020-05-02,California News Publishers Association Better Newspaper Contest,1,16
2020-05-02,Cnn,1,17
2020-05-02,Dayton Daily News,1,18
2020-05-02,El Paso County Court House,1,19
2020-05-02,Emergency Operations Center,1,20
2020-05-02,National Institute Of Allergy,1,21
2020-05-02,Twitter,1,22
2020-05-02,White House,1,23
2020-05-02,Emergency Services Heather Ha,2,14
2020-05-02,Emergency Services Heather Hadwick,2,15
2020-05-02,California Health Corps,3,9
2020-05-02,Education Department,3,10
2020-05-02,Health Care Agency On,3,11
2020-05-02,Kennedy Space Center,3,12
2020-05-02,Spacex,3,13
2020-05-02,Nan,4,8
2020-05-02,Modoc National Forest,5,7
2020-05-02,Office Of Emergency Services,6,6
2020-05-02,Modoc Medical Center,7,4
2020-05-02,Tribune Content Agency,7,5
2020-05-02,Gracepoint Church,9,2
2020-05-02,University Of San Francisco,9,3
2020-05-02,Associated Press,17,1
2020-05-03,Brian Rietfors,1,4
2020-05-03,Golden Gate National Recreation Area,1,5
2020-05-03,Jake Drollinger,1,6
2020-05-03,Nan,1,7
2020-05-03,Office Of Emergency Services,1,8
2020-05-03,Sheriff Office,1,9
2020-05-03,United States,3,3
2020-05-03,Associated Press,4,2
2020-05-03,Johns Hopkins University,12,1
2020-05-04,Bloomingdale,1,8
2020-05-04,Boeing,1,9
2020-05-04,Democratic National Committee,1,10
2020-05-04,Department Of Health,1,11
2020-05-04,Department Of Homeland Security,1,12
2020-05-04,Facebook Community,1,13
2020-05-04,Honeywell,1,14
2020-05-04,House Homeland Security Committee,1,15
2020-05-04,Human Services,1,16
2020-05-04,Labor Department,1,17
2020-05-04,Los Angeles Lakers,1,18
2020-05-04,More In Congress,1,19
2020-05-04,Msnbc,1,20
2020-05-04,Nan,1,21
2020-05-04,National Institute Of Allergy,1,22
2020-05-04,New York Times,1,23
2020-05-04,Nuclear Regulatory Commission,1,24
2020-05-04,Oxford University,1,25
2020-05-04,Paycheck Protection Program,1,26
2020-05-04,Reuters,1,27
2020-05-04,Rich Pedroncelli Associated,1,28
2020-05-04,Supreme Court,1,29
2020-05-04,Twitter,1,30
2020-05-04,Youtube,1,31
2020-05-04,White House,2,6
