date,organization,count,rn
2020-03-02,Centers For Disease,1,1
2020-03-02,Colorado Department Of Public Health,1,2
2020-03-02,Public Health Department,1,3
2020-03-03,Norwood Public School,2,1
2020-03-03,Norwood School District,2,2
2020-03-03,World Health Organization,2,3
2020-03-11,Centers For Disease,1,1
2020-03-11,Colorado Department Of Labor,1,2
2020-03-11,Colorado Department Of Public Health,1,3
2020-03-11,Fedex,1,4
2020-03-11,National Institute Of Health,1,5
2020-03-11,Telluride Regional Medical Center,1,6
2020-03-11,United States,1,7
2020-03-11,World Health Organization,1,8
2020-03-13,Colorado Department Of Public Health,1,15
2020-03-13,Framingham Union Hospital,1,16
2020-03-13,Metrowest Medical Center,1,17
2020-03-13,Milford Regional Medical Center,1,18
2020-03-13,Centers For Disease,2,14
2020-03-13,Kansas Department Of Health,3,13
2020-03-13,American Hospital Association,4,2
2020-03-13,Arkansas Department Of Health,4,3
2020-03-13,Global Center,4,4
2020-03-13,Health Security,4,5
2020-03-13,Infectious Disease Research,4,6
2020-03-13,Johns Hopkins Center,4,7
2020-03-13,Minnesota Health Fairview,4,8
2020-03-13,Travis Air Force,4,9
2020-03-13,University Of Minnesota,4,10
2020-03-13,University Of Nebraska Medical Center,4,11
2020-03-13,World Health Organization,4,12
2020-03-13,United States,5,1
2020-03-14,American Hospital Association,1,1
2020-03-14,Arkansas Department Of Health,1,2
2020-03-14,Global Center,1,3
2020-03-14,Health Security,1,4
2020-03-14,Infectious Disease Research,1,5
2020-03-14,Johns Hopkins Center,1,6
2020-03-14,Kansas Department Of Health,1,7
2020-03-14,Minnesota Health Fairview,1,8
2020-03-14,Travis Air Force,1,9
2020-03-14,United States,1,10
2020-03-14,University Of Minnesota,1,11
2020-03-14,University Of Nebraska Medical Center,1,12
2020-03-14,World Health Organization,1,13
2020-03-15,Henry Ford Health System,1,14
2020-03-15,Michigan Health Hospital Association,1,15
2020-03-15,Nan,1,16
2020-03-15,University Of Michigan Health System,1,17
2020-03-15,American Hospital Association,2,1
2020-03-15,Arkansas Department Of Health,2,2
2020-03-15,Global Center,2,3
2020-03-15,Health Security,2,4
2020-03-15,Infectious Disease Research,2,5
2020-03-15,Johns Hopkins Center,2,6
2020-03-15,Kansas Department Of Health,2,7
2020-03-15,Minnesota Health Fairview,2,8
2020-03-15,Travis Air Force,2,9
2020-03-15,United States,2,10
2020-03-15,University Of Minnesota,2,11
2020-03-15,University Of Nebraska Medical Center,2,12
2020-03-15,World Health Organization,2,13
2020-03-16,American Hospital Association,1,1
2020-03-16,Arkansas Department Of Health,1,2
2020-03-16,Cedar Creek Church,1,3
2020-03-16,Centers For Disease,1,4
2020-03-16,Centers Of Disease,1,5
2020-03-16,Colorado Department Of Public Health,1,6
2020-03-16,Colorado National Guard,1,7
2020-03-16,Global Center,1,8
2020-03-16,Health Security,1,9
2020-03-16,Infectious Disease Research,1,10
2020-03-16,Johns Hopkins Center,1,11
2020-03-16,Kansas Department Of Health,1,12
2020-03-16,Mexican American Development Authority,1,13
2020-03-16,Minnesota Health Fairview,1,14
2020-03-16,Safeway,1,15
2020-03-16,Travis Air Force,1,16
2020-03-16,United Methodist Church,1,17
2020-03-16,United States,1,18
2020-03-16,University Of Minnesota,1,19
2020-03-16,University Of Nebraska Medical Center,1,20
2020-03-16,World Health Organization,1,21
2020-03-19,American Hospital Association,1,1
2020-03-19,Arkansas Department Of Health,1,2
2020-03-19,Global Center,1,3
2020-03-19,Health Security,1,4
2020-03-19,Infectious Disease Research,1,5
2020-03-19,Johns Hopkins Center,1,6
2020-03-19,Kansas Department Of Health,1,7
2020-03-19,Minnesota Health Fairview,1,8
2020-03-19,Travis Air Force,1,9
2020-03-19,United States,1,10
2020-03-19,University Of Minnesota,1,11
2020-03-19,University Of Nebraska Medical Center,1,12
2020-03-19,World Health Organization,1,13
2020-03-20,Colorado Department Of Public Health,2,1
2020-03-20,Colorado National Guard,2,2
2020-03-20,National Guard,2,3
2020-03-20,Veterans Affairs,2,4
2020-03-21,Colorado Department Of Public Health,1,1
2020-03-21,National Guard,1,2
2020-03-24,Colorado Department Of Public Health,1,1
2020-03-24,National Guard,1,2
2020-03-25,Centennial Middle School,1,1
2020-03-25,Leadership Circle,1,2
2020-03-26,Health Department,2,1
2020-03-26,Mountain Medical Center,2,2
2020-03-26,National Guard,2,3
2020-03-29,Department Of Education,1,1
2020-03-29,Kalanianaole Intermediate School,1,2
2020-03-29,Waiakea Intermediate School Ukulele Band,1,3
2020-03-31,Centers For Disease,1,2
2020-03-31,Colorado National Guard,1,3
2020-03-31,Drug Administration On,1,4
2020-03-31,United States,1,5
2020-03-31,Colorado Department Of Public Health,2,1
2020-04-04,Columbine Middle School In Montrose,1,1
2020-04-04,Health Department,1,2
2020-04-04,Mountain Medical Center,1,3
2020-04-04,National Guard,1,4
2020-04-08,Colorado Department Of Public Health,1,1
2020-04-08,Montrose Police,1,2
2020-04-09,Union Kitchen Grocery,1,1
2020-04-09,University Of Pennsylvania,1,2
2020-04-15,American Airlines,1,1
2020-04-15,Aviation Administration,1,2
2020-04-15,Center Square,1,3
2020-04-15,Denver International Airport,1,4
2020-04-15,United Airlines,1,5
2020-04-26,Colorado Department Of Public Health,1,1
2020-04-30,Alpine Women Centre,1,1
2020-04-30,American College Of Obstetricians,1,2
2020-04-30,Centers For Disease,1,3
2020-04-30,Family Center,1,4
2020-04-30,University Of Colorado,1,5
2020-05-01,Copeland,1,1
2020-05-01,Mountain Medical Center,1,2
2020-05-01,Ouray Police,1,3
2020-05-02,Copeland,1,1
2020-05-02,Mountain Medical Center,1,2
2020-05-02,Ouray Police,1,3
2020-05-14,Colorado Workforce Center,1,1
2020-05-14,Payment Program,1,2
2020-05-18,Anthony,1,1
2020-05-19,Advertisement American Airlines,2,6
2020-05-19,Charlotte Douglas International Airport,2,7
2020-05-19,Sky Harbor International Airport,2,8
2020-05-19,American Airlines,6,1
2020-05-19,Canadair,6,2
