date,organization,count,rn
2020-02-28,Centers For Disease,1,1
2020-02-28,Northwestern University In Natchitoches,1,2
2020-02-28,University Of Louisiana At Lafayette,1,3
2020-02-28,University Of Louisiana System,1,4
2020-02-28,World Health Organization,1,5
2020-03-03,Peter Catholic Church,1,1
2020-03-03,University Of Louisiana At Lafayette,1,2
2020-03-11,Facebook,1,1
2020-03-11,Louisiana State Fire Marshal Office,1,2
2020-03-11,Regional Medical Center,1,3
2020-03-16,Alumni Association,1,1
2020-03-16,Bayou Pointe Event Center,1,2
2020-03-16,Faculty Senate,1,3
2020-03-16,Foundation Board Of Trustees,1,4
2020-03-16,Louisiana Public Service Commission,1,5
2020-03-16,Louisiana University,1,6
2020-03-16,Monroe Chamber,1,7
2020-03-16,Northwestern State University,1,8
2020-03-16,Public Health Emergency,1,9
2020-03-16,Recreation Center,1,10
2020-03-16,University Of Louisiana Monroe,1,11
2020-03-16,University Of Louisiana System,1,12
2020-03-25,Natchitoches Police Department,1,1
2020-03-25,Natchitoches Regional Medical Center,1,2
2020-03-30,Department Of Education,1,1
2020-03-31,Northwestern State University,1,1
2020-04-06,Bossier Talented Arts Program,1,1
2020-04-06,Magnet Academy For Cultural Arts In Opelousas,1,2
2020-04-06,Sulphur High School,1,3
2020-04-09,Caddo Coroner Office,1,1
2020-04-09,Louisiana Department Of Health,1,2
2020-04-09,Shreveport Police,1,3
2020-04-12,Bossier Talented Arts Program,1,1
2020-04-12,Magnet Academy For Cultural Arts In Opelousas,1,2
2020-04-12,Sulphur High School,1,3
2020-04-13,Bossier Talented Arts Program,1,1
2020-04-13,Magnet Academy For Cultural Arts In Opelousas,1,2
2020-04-13,Sulphur High School,1,3
2020-05-04,Health Inspection Summary,1,1
2020-05-04,Judicial District Court,1,2
2020-05-04,Louisiana Department Of Health,1,3
2020-05-04,Rehabilitation Center,1,4
2020-05-08,Health Standards,1,1
2020-05-08,Louisiana Department Of Health,1,2
2020-05-08,Rehabilitation Center,1,3
2020-05-12,Louisiana Legislature,1,1
2020-05-12,Rehabilitation Center,1,2
2020-05-14,Police Mickey Dove,1,1
2020-05-20,House Labor Committee,1,1
2020-05-20,Louisiana Legislature,1,2
