date,organization,count,rn
2020-03-18,American Association Of University Administrators,1,1
2020-03-18,Cnn,1,2
2020-03-18,College Park,1,3
2020-03-18,Comcast,1,4
2020-03-18,Department Of Health,1,5
2020-03-18,Indiana University,1,6
2020-03-18,School Closures Effective,1,7
2020-03-18,School Superintendents Association,1,8
2020-03-18,University Of Maryland,1,9
2020-03-18,University Of Maryland System,1,10
2020-03-18,Vanderbilt University,1,11
2020-03-19,Administration At Axtell,1,1
2020-03-19,Assistance Program,1,2
2020-03-19,Census Bureau,1,3
2020-03-19,Comcast,1,4
2020-03-19,Facebook,1,5
2020-03-19,Google,1,6
2020-03-19,International Paper,1,7
2020-03-19,Kansas Association Of School Boards,1,8
2020-03-19,National Public Radio,1,9
2020-03-19,School Seed,1,10
2020-03-19,Tennessee Department Of Health,1,11
2020-03-20,Human Services,1,3
2020-03-20,Nan,1,4
2020-03-20,Nebraska Department Of Health,1,5
2020-03-20,Southeast District Health Department,1,6
2020-03-20,Facebook,2,1
2020-03-20,Twitter,2,2
2020-03-21,Speaker Of The Legislature Jim Scheer,1,1
2020-04-19,Callaway Good Life Center,1,1
2020-04-19,Nebraska Rural Health Association,1,2
2020-04-19,Tilden Community Hospital,1,3
2020-04-27,Peru State College,1,1
2020-04-28,Facebook,1,1
2020-04-28,Kansas Department Of Health,1,2
2020-04-28,Peru State College,1,3
2020-05-02,Kansas State University,1,1
2020-05-02,United States,1,2
2020-05-10,Billy Mills Middle School,1,1
2020-05-10,Lawrence Restaurant Association,1,2
2020-05-10,Lawrence Schools Foundation,1,3
2020-05-10,Liberty Memorial Central Middle School,1,4
2020-05-10,National School Breakfast,1,5
2020-05-24,Nan,1,1
