date,organization,count,rn
2020-03-10,Centers For Disease,1,1
2020-03-10,Kansas Department Of Health,1,2
2020-03-10,Neosho County Health Department,1,3
2020-03-10,United States,1,4
2020-03-14,Animal Medical Center,3,1
2020-03-14,Apex Clean Energy,3,2
2020-03-14,Centers For Disease,3,3
2020-03-14,Dodge,3,4
2020-03-14,Health Department,3,5
2020-03-14,Kansas Department Of Health,3,6
2020-03-20,Cemex,1,1
2020-03-20,Crh Plc,1,2
2020-03-20,Martin Marietta,1,3
2020-03-20,United States,1,4
2020-03-20,Vietnam Cement Association,1,5
2020-03-21,Kansas Department Of Commerce,1,2
2020-03-21,Kansas Department Of Labor,1,3
2020-03-21,Small Business Administration,1,4
2020-03-21,Facebook,2,1
2020-03-27,Board Of Health,1,1
2020-03-27,Centers For Disease,1,2
2020-03-27,Dodge,1,3
2020-03-27,Health Department,1,4
2020-03-27,Kansas Department Of Health,1,5
2020-03-27,Public Health,1,6
2020-03-27,Relief Fund,1,7
2020-03-31,Emergency Planning Committee,1,1
2020-03-31,Kansas Department Of Health,1,2
2020-03-31,Labette Health,1,3
2020-03-31,Life Care Center,1,4
2020-03-31,Nan,1,5
2020-03-31,Parsons Police Department,1,6
2020-04-02,Centers For Disease,1,1
2020-04-02,Healthtrust Workforce Solutions,1,2
2020-04-02,Kansas Department Of Health,1,3
2020-04-02,Prairie Mission Retirement Village In St,1,4
2020-04-02,United States,1,5
2020-04-07,Health Department,1,1
2020-04-07,Kansas Department Of Health,1,2
2020-04-09,Nan,1,1
2020-04-14,Alliance Room,1,1
2020-04-14,District Court,1,2
2020-04-14,Kansas Supreme Court,1,3
2020-04-15,Facebook,1,1
2020-04-15,Walmart,1,2
2020-04-17,Kansas Department Of Health,1,1
2020-04-17,Kansas Department Of Transportation,1,2
2020-04-17,Trustees For Neosho Memorial Regional Medical Center,1,3
2020-04-21,Nan,1,1
2020-04-22,Nan,1,1
2020-04-25,Allergykids Foundation,1,1
2020-04-25,American Sustainable Business Council,1,2
2020-04-25,Campaign For Safe Cosmetics,1,3
2020-04-25,Children Health,1,4
2020-04-25,Defense Department,1,5
2020-04-25,Department Of Defense,1,6
2020-04-25,Ecology Center,1,7
2020-04-25,Effluent Guidelines Program,1,8
2020-04-25,Environmental Defense Fund,1,9
2020-04-25,Environmental Working Group,1,10
2020-04-25,Environmental Working Group Farm Subsidy Database,1,11
2020-04-25,Environmental Working Group Guide To Healthy,1,12
2020-04-25,Environmental Working Group Healthy Living App,1,13
2020-04-25,Environmental Working Group On,1,14
2020-04-25,Environmental Working Group Skin Deep Cosmetics Database,1,15
2020-04-25,Government Affairs For The Environmental Working Group,1,16
2020-04-25,Natural Resources Defense Council,1,17
2020-04-25,Northeastern University,1,18
2020-04-25,Rainforest Alliance,1,19
2020-04-25,Science Environmental Health Research Institute,1,20
2020-04-25,Senate On,1,21
2020-04-25,Sierra Club,1,22
2020-04-25,Trump Administration Farmer Bailout,1,23
2020-04-25,Water Solutions,1,24
2020-04-25,Yahoo,1,25
2020-04-30,Health Department,2,1
2020-04-30,Kansas Department Of Health,2,2
2020-05-08,Community Development Block Grant,3,1
2020-05-08,Emergency Medical Services,3,2
2020-05-13,Community Development Block Grant,2,1
2020-05-13,Facebook,2,2
2020-05-13,Kansas Department Of Commerce,2,3
2020-05-13,Southeast Kansas Regional Planning Commission,2,4
2020-05-22,Apex Clean Energy,2,1
2020-05-22,Community Development Block Grant,2,2
2020-05-22,Neosho Memorial Regional Medical Center,2,3
2020-05-22,Southeast Kansas Regional Planning Commission,2,4
2020-06-04,Community Development Block Grant,1,1
2020-06-04,Department Of Commerce,1,2
2020-06-04,Southeast Kansas Regional Planning Commission,1,3
