date,organization,count,rn
2020-02-03,Eastfield College In Mesquite,1,1
2020-02-03,Gold Medal Wine Club,1,2
2020-02-03,Lm Otero Associated,1,3
2020-02-03,United States,1,4
2020-02-07,Ford Motor Co,1,1
2020-02-07,Honda,1,2
2020-02-07,Kia Motors,1,3
2020-02-07,Lear Corp,1,4
2020-02-07,Toyota,1,5
2020-02-08,Episcopal Church,1,3
2020-02-08,Episcopal Diocese Of Michigan,1,4
2020-02-08,Ford Motor Company,1,5
2020-02-08,Ford Police Interceptor,1,6
2020-02-08,Michigan Department Of Transportation,1,7
2020-02-08,Novi City Council,1,8
2020-02-08,Plating Services,1,9
2020-02-08,Revere Dock,1,10
2020-02-08,Human Services,2,1
2020-02-08,Michigan Department Of Health,2,2
2020-02-10,Centers For Disease,1,1
2020-02-10,Human Services,1,2
2020-02-10,Michigan Department Of Health,1,3
2020-02-11,Alumni Association,1,1
2020-02-12,Centers For Disease,1,1
2020-02-13,Centers For Disease,1,1
2020-02-18,Pontiac,2,1
2020-02-18,United States,2,2
2020-02-19,Centers For Disease,1,1
2020-02-19,National Center,1,2
2020-02-19,Recreation Department,1,3
2020-02-19,World Health Organization,1,4
2020-02-21,Nan,1,1
2020-02-24,Associated Press,3,1
2020-02-24,New York Times,3,2
2020-02-24,University Of Michigan,3,3
2020-02-24,Weinstein Co,3,4
2020-02-28,Board Of Commission,1,2
2020-02-28,Central Service,1,3
2020-02-28,Community Health Emergency Coordination Center,1,4
2020-02-28,Emergency Operations Center,1,5
2020-02-28,Governmental Affairs Committee,1,6
2020-02-28,Human Services,1,7
2020-02-28,Michigan Department Of Health,1,8
2020-02-28,Michigan State Police,1,9
2020-02-28,Michigan State University,1,10
2020-02-28,Office Of International Health,1,11
2020-02-28,Senate Homeland Security,1,12
2020-02-28,Sheriff Office,1,13
2020-02-28,University Of Michigan,1,14
2020-02-28,University Physician,1,15
2020-02-28,World Health Organization,1,16
2020-02-28,Centers For Disease,2,1
2020-02-29,Board Of Commission,1,1
2020-02-29,Centers For Disease,1,2
2020-02-29,Central Service,1,3
2020-02-29,Community Health Emergency Coordination Center,1,4
2020-02-29,Emergency Operations Center,1,5
2020-02-29,Governmental Affairs Committee,1,6
2020-02-29,Human Services,1,7
2020-02-29,Michigan Department Of Health,1,8
2020-02-29,Michigan State Police,1,9
2020-02-29,Senate Homeland Security,1,10
2020-02-29,Sheriff Office,1,11
2020-03-02,Department Of Health,1,7
2020-03-02,Health Division,1,8
2020-03-02,Means Committee,1,9
2020-03-02,Mihan Michigan Health Alert Network,1,10
2020-03-02,United States,1,11
2020-03-02,Community Health Emergency Coordination Center,2,6
2020-03-02,Emergency Operations Center,3,3
