date,organization,count,rn
2020-03-18,District Communications,2,1
2020-03-20,Adamsville Elementary School,1,1
2020-03-20,Alamo City School,1,2
2020-03-20,Ann Stuart Community Center,1,3
2020-03-20,Atwood Baptist Church,1,4
2020-03-20,Bells Elementary School,1,5
2020-03-20,Birth Ministry,1,6
2020-03-20,Bishop Martini-Phelan Center,1,7
2020-03-20,Boys Girls Club,1,8
2020-03-20,Bradford Special School District,1,9
2020-03-20,Bruce Recreation Center,1,10
2020-03-20,Carroll Special School District,1,11
2020-03-20,Cedar Grove Fire Department,1,12
2020-03-20,Gleason School,1,13
2020-03-20,Greenfield School,1,14
2020-03-20,Haywood High School,1,15
2020-03-20,Haywood Middle School,1,16
2020-03-20,Jolley Springs Baptist Church,1,17
2020-03-20,Lavinia Baptist Church,1,18
2020-03-20,Mckenzie Middle School,1,19
2020-03-20,Mckenzie Special School District,1,20
2020-03-20,Pickwick Southside School,1,21
2020-03-20,Ripley Primary School,1,22
2020-03-20,Ruthville Baptist Church,1,23
2020-03-20,Saltillo Community Center,1,24
2020-03-20,School Bus Caf,1,25
2020-03-20,School System,1,26
2020-03-20,Second Baptist Church,1,27
2020-03-20,Sharon School,1,28
2020-03-20,Sidonia Fire Department,1,29
2020-03-20,Tennessee Department Of Health,1,30
2020-03-20,Terry Fire Department,1,31
2020-03-20,Trezevant Baptist Church,1,32
2020-03-20,Union Academy Baptist Church,1,33
2020-03-20,Union City,1,34
2020-03-20,Union Mission,1,35
2020-03-20,Whites Community Center,1,36
2020-03-20,Wingo Community Center,1,37
2020-03-22,Alcoa,1,1
2020-03-22,Old Supreme Court Chamber,1,2
2020-03-22,Tennessee Department Of Health,1,3
2020-03-22,Union City,1,4
2020-03-22,Williamson Medical Center,1,5
2020-03-26,Centers For Disease,1,1
2020-03-26,Guys Dolls Hairstyling Salon In Union City,1,2
2020-03-26,Tennessee Department Of Commerce,1,3
2020-03-26,Union City,1,4
2020-03-28,Tennessee Department Of Health,1,1
2020-03-31,Bloomingdales,1,1
2020-03-31,Convention Center,1,2
2020-03-31,Gap Inc,1,3
2020-03-31,Gaylord Hotels,1,4
2020-03-31,Hilton Worldwide Holdings,1,5
2020-03-31,Hyatt Hotels,1,6
2020-03-31,Macy Inc,1,7
2020-03-31,Marriott International,1,8
2020-03-31,Opry Mills,1,9
2020-03-31,United States Today Network,1,10
2020-04-03,A Fund For Us,1,1
2020-04-03,Beverage Control Inc,1,2
2020-04-03,Brands Incorporated,1,3
2020-04-03,Community Foundation Of Middle Tennessee,1,4
2020-04-03,Empire Distributors Inc,1,5
2020-04-03,Tennessee Crown Distributing Co,1,6
2020-04-03,Tn Action For Hospitality Fund,1,7
2020-04-10,Earthquake Research,1,11
2020-04-10,University Of Memphis,1,12
2020-04-10,Discovery Park Of America Historical Theater Academy,2,1
2020-04-10,Facebook,2,2
2020-04-10,Historical Theater Academy,2,3
2020-04-10,Instagram,2,4
2020-04-10,Mission Continues At Discovery Park Of America,2,5
2020-04-10,Third Church,2,6
2020-04-10,Twitter,2,7
2020-04-10,Union City,2,8
2020-04-10,Warner Law Firm,2,9
2020-04-10,Youtube,2,10
2020-04-19,Centers For Disease,1,1
2020-04-19,Guys Dolls Hairstyling Salon In Union City,1,2
2020-04-19,Tennessee Department Of Commerce,1,3
2020-04-19,Union City,1,4
2020-05-19,Union City,1,1
2020-06-24,Aaron Allen Associates,1,1
2020-06-24,Associated Press,1,2
2020-06-24,Communications Commission,1,3
2020-06-24,Facebook,1,4
2020-06-24,Harley-Davidson Inc,1,5
2020-06-24,Honda,1,6
2020-06-24,Honda Motor Co,1,7
2020-06-24,Life Sciences Center,1,8
2020-06-24,Massachusetts Life Sciences Center,1,9
2020-06-24,National Restaurant Association,1,10
2020-06-24,National Suicide Prevention Lifeline,1,11
2020-06-24,Polaris Inc,1,12
2020-06-24,Saudi Binladin Group,1,13
2020-06-24,Starbucks,1,14
2020-06-24,Union City,1,15
2020-06-24,United States,1,16
