date,organization,count,rn
2020-02-28,Drug Enforcement Administration,2,3
2020-02-28,Government Center,2,4
2020-02-28,Gulf Coast State College,2,5
2020-02-28,Neuropain Center On Martin Luther King Jr,2,6
2020-02-28,Park Services Specialist David Morris,2,7
2020-02-28,Roanoke Baking Company,3,1
2020-02-28,White Wilson Medical Center,3,2
2020-03-04,Associated Press,1,3
2020-03-04,Centers For Disease,1,4
2020-03-04,Walker Elementary School,1,5
2020-03-04,Okaloosa County School District,2,2
2020-03-04,Department Of Health Okaloosa,3,1
2020-03-05,Centers For Disease,1,1
2020-03-05,Cyberspace Test Group,1,2
2020-03-05,Defense Health Agency,1,3
2020-03-05,Florida Department Of Health,1,4
2020-03-05,Our Team Eglin,1,5
2020-03-05,Team Eglin Public Affairs,1,6
2020-03-05,Walker Elementary School,1,7
2020-03-06,Cyberspace Test Group,1,16
2020-03-06,Defense Health Agency,1,17
2020-03-06,Department Of Health,1,18
2020-03-06,Florida Department Of Health,1,19
2020-03-06,Our Team Eglin,1,20
2020-03-06,Team Eglin Public Affairs,1,21
2020-03-06,United States Today Network,1,22
2020-03-06,Google,2,14
2020-03-06,United States,2,15
2020-03-06,Allegiant Air,3,1
2020-03-06,Centers For Disease,3,2
2020-03-06,City Council,3,3
2020-03-06,Daytona Regional Chamber,3,4
2020-03-06,Department Of Transportation,3,5
2020-03-06,Duke University In Durham,3,6
2020-03-06,Facebook,3,7
2020-03-06,Instagram,3,8
2020-03-06,International Air Transport Association,3,9
2020-03-06,Jetblue,3,10
2020-03-06,Okaloosa County Sheriff Office,3,11
2020-03-06,Stuckey,3,12
2020-03-06,United Airlines On,3,13
2020-03-07,Department Of Health,1,13
2020-03-07,United States Today Network,1,14
2020-03-07,Google,2,11
2020-03-07,United States,2,12
2020-03-07,Allegiant Air,3,1
2020-03-07,Centers For Disease,3,2
2020-03-07,Daytona Regional Chamber,3,3
2020-03-07,Department Of Transportation,3,4
2020-03-07,Duke University In Durham,3,5
2020-03-07,Instagram,3,6
2020-03-07,International Air Transport Association,3,7
2020-03-07,Jetblue,3,8
2020-03-07,Stuckey,3,9
2020-03-07,United Airlines On,3,10
2020-03-08,Daytona Regional Chamber,1,19
2020-03-08,Duke University In Durham,1,20
2020-03-08,Health Healthyfla,1,21
2020-03-08,Human Services,1,22
2020-03-08,National Guard,1,23
2020-03-08,Office Of International Affairs,1,24
2020-03-08,Student Health Service,1,25
2020-03-08,Student Health Services,1,26
2020-03-08,United States Today Network,1,27
2020-03-08,University Of West Florida,1,28
2020-03-08,Allegiant Air,2,6
2020-03-08,Bayou Christian School,2,7
2020-03-08,Cyberspace Test Group,2,8
2020-03-08,Department Of Transportation,2,9
2020-03-08,Facebook,2,10
2020-03-08,Health Department,2,11
2020-03-08,Instagram,2,12
2020-03-08,International Air Transport Association,2,13
2020-03-08,Jetblue,2,14
2020-03-08,Neither Rocky Bayou Christian School,2,15
2020-03-08,Stuckey,2,16
2020-03-08,Test Wing Public Affairs,2,17
2020-03-08,United Airlines On,2,18
2020-03-08,Department Of Health,3,4
2020-03-08,Eglin Air Force,3,5
2020-03-08,Florida Department Of Health,4,2
2020-03-08,United States,4,3
2020-03-08,Centers For Disease,6,1
2020-03-09,Allegiant Air,1,4
2020-03-09,Aviation Administration,1,5
2020-03-09,Bayou Christian School,1,6
2020-03-09,Call Center,1,7
2020-03-09,Cyberspace Test Group,1,8
2020-03-09,Daytona Regional Chamber,1,9
2020-03-09,Department Of Health,1,10
2020-03-09,Department Of Transportation,1,11
2020-03-09,Duke University In Durham,1,12
2020-03-09,Eglin Air Force,1,13
2020-03-09,Facebook,1,14
2020-03-09,Google,1,15
2020-03-09,Health Department,1,16
2020-03-09,Instagram,1,17
2020-03-09,International Air Transport Association,1,18
2020-03-09,Jetblue,1,19
2020-03-09,National Guard,1,20
2020-03-09,National Transportation Safety Board,1,21
2020-03-09,Neither Rocky Bayou Christian School,1,22
2020-03-09,Sheriff Office,1,23
2020-03-09,Stuckey,1,24
2020-03-09,Test Wing Public Affairs,1,25
2020-03-09,United Airlines On,1,26
2020-03-09,Centers For Disease,3,2
2020-03-09,Florida Department Of Health,3,3
2020-03-09,United States,4,1
2020-03-10,Bayou Christian School,1,15
2020-03-10,Blake Medical Center,1,16
2020-03-10,Cyberspace Test Group,1,17
2020-03-10,Delray Medical Center,1,18
2020-03-10,Department Of Health,1,19
2020-03-10,Eglin Air Force,1,20
