date,organization,count,rn
2020-02-26,Al Sharpton National Action Network,1,1
2020-02-26,Bloomberg,1,2
2020-02-26,Gaillard Center On,1,3
2020-02-26,Shell,1,4
2020-02-26,Sterling,1,5
2020-02-26,Supreme Court,1,6
2020-02-26,United States Senate,1,7
2020-02-27,A Monmouth University,1,11
2020-02-27,Thomson Reuters Trust Principles,1,12
2020-02-27,Monmouth University Poll,2,8
2020-02-27,Reuters,2,9
2020-02-27,White House,2,10
2020-02-27,Bloomberg,3,1
2020-02-27,Carolina State University,3,2
2020-02-27,Claflin University In Orangeburg,3,3
2020-02-27,Cnn,3,4
2020-02-27,Democratic Party White House,3,5
2020-02-27,National Institutes Of Health,3,6
2020-02-27,United States,3,7
2020-02-28,A Monmouth University,1,37
2020-02-28,Adult Advocacy Division,1,38
2020-02-28,Carolina Department Of Social Services,1,39
2020-02-28,Centers For Disease,1,40
2020-02-28,Greenwood Genetic Center,1,41
2020-02-28,Lander Diversity Advisory Council,1,42
2020-02-28,Monmouth University Poll,1,43
2020-02-28,Reuters,1,44
2020-02-28,White House,1,45
2020-02-28,Arlington National Cemetery,2,1
2020-02-28,Battle Plan Consulting,2,2
2020-02-28,Bloomberg,2,3
2020-02-28,Cambridge Academy,2,4
2020-02-28,Carolina Bankers Association,2,5
2020-02-28,Carolina Revolutionary War Sestercentennial Commission,2,6
2020-02-28,Carolina Revolutionary War Sestercentennial Commission Education Committee,2,7
2020-02-28,Carolina State University,2,8
2020-02-28,Centers Of Disease,2,9
2020-02-28,Chan Zuckerberg Initiative,2,10
2020-02-28,Claflin University In Orangeburg,2,11
2020-02-28,Clardy Law Firm,2,12
2020-02-28,Cnn,2,13
2020-02-28,College Drive In Cokesbury,2,14
2020-02-28,Countybank Foundation,2,15
2020-02-28,Democratic Party White House,2,16
2020-02-28,First Presbyterian Church,2,17
2020-02-28,Foundation For Rural Service,2,18
2020-02-28,Greenwood Capital Associates,2,19
2020-02-28,Greenwood City Police,2,20
2020-02-28,Greenwood Police Department,2,21
2020-02-28,Greenwood Sc Chamber,2,22
2020-02-28,High School Junior On,2,23
2020-02-28,Hr Workforce Development At United Infrastructure Group,2,24
2020-02-28,Lander University,2,25
2020-02-28,National Board Of Trial Advocacy,2,26
2020-02-28,National Institutes Of Health,2,27
2020-02-28,Piedmont Technical College,2,28
2020-02-28,Recreational Commission,2,29
2020-02-28,Safe Haven After School Summer Program,2,30
2020-02-28,Saluda School District,2,31
2020-02-28,Self Regional Healthcare Foundation,2,32
2020-02-28,Sturkie Clardy Law Firm,2,33
2020-02-28,Supreme Court,2,34
2020-02-28,United States,2,35
2020-02-28,Workforce Economic Development,2,36
2020-03-05,Affairs Committee,1,1
2020-03-05,Department Of Health,1,2
2020-03-07,Carolina Department Of Health,1,2
2020-03-07,Carolina Hospital Association,1,3
2020-03-07,Carolina State University,1,4
2020-03-07,Claflin University,1,5
2020-03-07,Human Services,1,6
2020-03-07,Laboratory Science,1,7
2020-03-07,Mcleod Health,1,8
2020-03-07,Mcleod Health Emergency Departments,1,9
2020-03-07,Mcleod Health Physician Offices,1,10
2020-03-07,Mcleod Regional Medical Center,1,11
2020-03-07,Mcleod Urgent Care Centers,1,12
2020-03-07,University Of South Carolina,1,13
2020-03-07,Centers For Disease,3,1
2020-03-08,Carolina Department Of Health,1,1
2020-03-08,Carolina Hospital Association,1,2
2020-03-08,Centers For Disease,1,3
2020-03-08,Mcleod Health,1,4
2020-03-08,Mcleod Health Emergency Departments,1,5
2020-03-08,Mcleod Health Physician Offices,1,6
2020-03-08,Mcleod Regional Medical Center,1,7
2020-03-08,Mcleod Urgent Care Centers,1,8
2020-03-10,Cnn,1,1
2020-03-10,Msnbc,1,2
2020-03-12,Centers For Disease,1,1
2020-03-12,Sc Department Of Health,1,2
2020-03-12,Sc State University,1,3
2020-03-12,University Brooks Health Center,1,4
2020-03-14,Carolina State College,2,1
2020-03-14,Claflin College,2,2
2020-03-14,Claflin University,2,3
2020-03-14,Health Department,2,4
2020-03-14,United States,2,5
2020-03-15,Centers For Disease,1,7
2020-03-15,Nan,1,8
2020-03-15,Sc Department Of Health,1,9
2020-03-15,Sc State University,1,10
2020-03-15,University Brooks Health Center,1,11
2020-03-15,Assembly Are Under Ban Beginning At Midnight,2,1
2020-03-15,Carolina State College,2,2
2020-03-15,Claflin College,2,3
2020-03-15,Claflin University,2,4
2020-03-15,Health Department,2,5
2020-03-15,United States,2,6
2020-03-16,Sc Department Of Health,1,5
2020-03-16,Sc State University,1,6
2020-03-16,Carolina State University,2,1
2020-03-16,Centers For Disease,2,2
2020-03-16,Office Of The Provost,2,3
2020-03-16,University Brooks Health Center,2,4
2020-03-19,Associated Press,1,7
2020-03-19,Assembly Are Under Ban Beginning At Midnight,2,1
2020-03-19,Carolina State College,2,2
2020-03-19,Claflin College,2,3
2020-03-19,Claflin University,2,4
2020-03-19,Health Department,2,5
2020-03-19,United States,2,6
2020-03-22,Carolina Alliance,1,4
2020-03-22,Centers For Disease,1,5
2020-03-22,Cracker Barrel,1,6
2020-03-22,Department Of Health,1,7
2020-03-22,Regional Medical Center,1,8
2020-03-22,Ruby Tuesday,1,9
2020-03-22,Rural Utilities Service,1,10
2020-03-22,Shoney,1,11
2020-03-22,Tribune Content Agency,1,12
2020-03-22,Voorhees College,1,13
2020-03-22,Education Center,2,1
2020-03-22,Environmental Protection Agency,2,2
2020-03-22,United States,2,3
2020-03-23,Nan,1,6
2020-03-23,Blood Donation Center,2,5
2020-03-23,Blood Assurance Program,4,1
2020-03-23,Blood Donor Center,4,2
2020-03-23,Regional Medical Center,4,3
2020-03-23,Regional Medical Center Blood Assurance Program,4,4
2020-03-26,Nan,1,1
2020-03-27,Bamberg Barnwell Emergency Center,1,1
2020-03-27,Regional Medical Center,1,2
2020-03-28,Carolina State University,1,1
2020-03-28,Commission On Higher Education,1,2
2020-03-28,University Of California- Berkeley,1,3
2020-03-29,Bank Regional,1,1
2020-03-29,Carolina State Museum,1,2
2020-03-29,Credit Union,1,3
2020-03-31,Carolina State University,1,1
2020-03-31,Centers For Disease,1,2
2020-03-31,Office Of The Provost,1,3
2020-03-31,University Brooks Health Center,1,4
2020-04-01,Comcast,1,1
2020-04-01,Communications Commission,1,2
2020-04-01,Home Telephone Company,1,3
2020-04-01,Northland Communications,1,4
2020-04-01,Pilot Program,1,5
2020-04-01,Rural Infrastructure Authority,1,6
2020-04-01,Senate Judiciary Committee,1,7
2020-04-01,Senate Majority Leader Shane Massey,1,8
2020-04-01,Truvista Communications In Kershaw,1,9
2020-04-02,Claflin University,1,1
2020-04-02,Emergency Student Relief Fund,1,2
2020-04-02,Nan,1,3
2020-04-03,Nan,1,1
2020-04-06,Church Ministries Of Orangeburg,1,1
2020-04-06,Salvation Army,1,2
2020-04-06,Sc Fund,1,3
2020-04-06,United Way Association Of South Carolina,1,4
2020-04-06,Ymca,1,5
2020-04-06,Youtube,1,6
2020-04-07,Association Of School Administrators,1,1
2020-04-07,Association Of School Business Officials,1,2
2020-04-07,School Boards Association,1,3
2020-04-10,Carolina Funeral Directors Association,1,1
2020-04-10,Facebook,1,2
2020-04-12,Honda,1,1
2020-04-12,National Guard,1,2
2020-04-12,Parkinson Foundation,1,3
2020-04-12,United States Air,1,4
2020-04-12,University Of South Carolina,1,5
2020-04-13,Academic Affairs,1,1
2020-04-13,Academic Affairs Donna Elmore,1,2
2020-04-13,Benedict College,1,3
2020-04-13,Carolina Emergency Management Division,1,4
2020-04-13,Carolina State University,1,5
2020-04-13,Clemson University,1,6
2020-04-13,College Of Charleston,1,7
2020-04-13,College Workplace Program,1,8
2020-04-13,Dominion Energy,1,9
2020-04-13,Duke Energy,1,10
2020-04-13,Families First Coronavirus Response Fund,1,11
2020-04-13,Financial Affairs Kim Huff,1,12
2020-04-13,National Guard,1,13
2020-04-13,National Weather Service,1,14
2020-04-13,Octech Foundation Emergency Assistance Fund,1,15
2020-04-13,Officials At Clemson University,1,16
2020-04-13,Seneca High School,1,17
2020-04-13,Student Services,1,18
2020-04-13,Student Services Dr,1,19
2020-04-13,Trio Program,1,20
2020-04-13,University Of South Carolina,1,21
2020-04-13,World Health Organization,1,22
2020-04-14,Carolina Emergency Management Division,1,1
2020-04-14,National Guard,1,2
2020-04-14,National Weather Service,1,3
2020-04-15,Apple App,1,2
2020-04-15,Department Of Natural Resources,1,3
2020-04-15,Emergency Management Agency,1,4
2020-04-15,Google,1,5
2020-04-15,National Weather Service,2,1
2020-04-19,Cornerstone Community Church Bamberg,1,1
2020-04-19,Office Of Emergency Services,1,2
2020-04-19,United Methodist Church,1,3
2020-04-20,Board Of Health,1,1
2020-04-20,Food Administration,1,2
2020-04-20,Health Agent For Orangeburg,1,3
2020-04-20,Methodist Episcopal Church,1,4
2020-04-20,Public Health Service,1,5
2020-04-20,United States,1,6
2020-04-20,United States Public Health Service,1,7
2020-04-20,University Of Vermont,1,8
2020-04-23,Carolina Department Motor Vehicle,1,1
2020-04-23,Carolina Department Of Health,1,2
2020-04-23,Public Health Laboratory,1,3
2020-04-26,Alliance Consulting Engineering,1,1
2020-04-26,Bmw,1,2
2020-04-26,Board Of Health,1,3
2020-04-26,Carolina Department Of Commerce,1,4
2020-04-26,Economic Development John Mclauchlin,1,5
2020-04-26,Food Administration,1,6
2020-04-26,Health Agent For Orangeburg,1,7
2020-04-26,Lexington County Council,1,8
2020-04-26,Methodist Episcopal Church,1,9
2020-04-26,Public Health Service,1,10
2020-04-26,Red Rock Development,1,11
2020-04-26,United States,1,12
2020-04-26,United States Public Health Service,1,13
2020-04-26,University Of Vermont,1,14
2020-04-26,Volvo,1,15
2020-04-27,Army Spc,1,1
2020-04-27,Carolina National Guard,1,2
2020-04-28,Bureau Of Labour Statistics,1,1
2020-04-28,Centre For Economic,1,2
2020-04-28,Federal Reserve,1,3
2020-04-28,Jpmorgan Chase Institute,1,4
2020-04-28,Nan,1,5
2020-04-28,New York Times,1,6
2020-04-28,Service Employees International Union,1,7
2020-04-28,United States,1,8
2020-04-28,Wendy,1,9
2020-04-28,York Times Company,1,10
2020-04-30,Hopehealth Information Technology Department,1,1
2020-05-06,National Guard,1,2
2020-05-06,Publix,1,3
2020-05-06,Trader Joe,1,4
2020-05-06,Walmart,1,5
2020-05-06,Whole Foods,1,6
2020-05-06,Workers International Union,1,7
2020-05-06,Associated Press,3,1
2020-05-08,Honeywell,1,10
2020-05-08,Michigan State University,1,11
2020-05-08,Ohio National Guard,1,12
2020-05-08,Oval Office,1,13
2020-05-08,Thomson Reuters Trust Principles,1,14
2020-05-08,White House,1,15
2020-05-08,Reuters,2,9
2020-05-08,Federal Reserve,3,1
2020-05-08,Federal Reserve Bank,3,2
2020-05-08,Institute For Women,3,3
2020-05-08,Labor Department,3,4
2020-05-08,Labor Department On,3,5
2020-05-08,Mcdonald,3,6
2020-05-08,Wendy,3,7
2020-05-08,Young,3,8
2020-05-09,Federal Reserve,1,1
2020-05-09,Federal Reserve Bank,1,2
2020-05-09,Institute For Women,1,3
2020-05-09,Labor Department,1,4
2020-05-09,Labor Department On,1,5
2020-05-09,Mcdonald,1,6
2020-05-09,Reuters,1,7
2020-05-09,Wendy,1,8
2020-05-10,Federal Reserve,1,7
2020-05-10,Labor Department,1,8
2020-05-10,Us Labor Department,2,6
2020-05-10,Federal Reserve Bank,3,1
2020-05-10,Institute For Women,3,2
2020-05-10,Labor Department On,3,3
2020-05-10,Mcdonald,3,4
2020-05-10,Wendy,3,5
2020-05-11,Honeywell,1,1
2020-05-11,Michigan State University,1,2
2020-05-11,National Black Caucus Of State Legislators,1,3
2020-05-11,Ohio National Guard,1,4
2020-05-11,Oval Office,1,5
2020-05-11,White House,1,6
2020-05-11,Young,1,7
2020-05-12,Associated Press,1,6
2020-05-12,Carolina Department Of Health,1,7
2020-05-12,Carolina Legislature On,1,8
2020-05-12,Department Of Health,1,9
2020-05-12,Joyful Heart Foundation,1,10
2020-05-12,Julie Valentine Center,1,11
2020-05-12,Law Enforcement Division,1,12
2020-05-12,Nan,1,13
2020-05-12,University Of South Carolina,2,5
2020-05-12,National Governors Association,4,2
2020-05-12,Santee Conference Center,4,3
2020-05-12,Work Group,4,4
2020-05-12,National Black Caucus Of State Legislators,5,1
2020-05-13,Department Of Administration,1,2
2020-05-13,Joyful Heart Foundation,1,3
2020-05-13,Julie Valentine Center,1,4
2020-05-13,Law Enforcement Division,1,5
2020-05-13,Supreme Court,1,6
2020-05-13,Election Commission,2,1
2020-05-17,Board Of Trustees On,2,1
2020-05-17,Carolina Department Of Health,2,2
2020-05-17,Centers Of Medicare,2,3
2020-05-17,Dialysis Access Institute,2,4
