date,organization,count,rn
2020-02-02,Department Of Health,1,1
2020-02-02,Health Department,1,2
2020-02-02,United States,1,3
2020-02-07,Centers For Disease,1,1
2020-02-07,Health Department,1,2
2020-02-08,Centers For Disease,1,15
2020-02-08,Health Security,1,16
2020-02-08,Johns Hopkins Center,1,17
2020-02-08,Johns Hopkins Centre For Health Security,1,18
2020-02-08,York Times News Service,1,19
2020-02-08,Association For Accessible Medicines,2,1
2020-02-08,Catholic Health,2,2
2020-02-08,Commonspirit Health,2,3
2020-02-08,Dignity Health,2,4
2020-02-08,Drug Administration,2,5
2020-02-08,Georgetown University,2,6
2020-02-08,Gibson,2,7
2020-02-08,Hastings Center,2,8
2020-02-08,Health Professionals,2,9
2020-02-08,Health Services,2,10
2020-02-08,National Nurses United,2,11
2020-02-08,Security Review Commission,2,12
2020-02-08,United States,2,13
2020-02-08,University Of Washington School Of Public Health,2,14
2020-02-18,Aljazeera,1,1
2020-02-18,New York Times,1,2
2020-02-18,United Nations,1,3
2020-02-29,Olympics,1,30
2020-02-29,White House Task Force On,1,31
2020-02-29,Air Canada,2,1
2020-02-29,Al Jazeera,2,2
2020-02-29,Apple Daily,2,3
2020-02-29,Bloomberg,2,4
2020-02-29,Cnn,2,5
2020-02-29,Facebook,2,6
2020-02-29,Global Business Travel Association,2,7
2020-02-29,Goldman Sachs,2,8
2020-02-29,Google,2,9
2020-02-29,Health Security,2,10
2020-02-29,Japanese Health Ministry,2,11
2020-02-29,Johns Hopkins Center,2,12
2020-02-29,Kenya Defense,2,13
2020-02-29,Kenya High Court,2,14
2020-02-29,National Foundation For Infectious Diseases,2,15
2020-02-29,National Health Commission,2,16
2020-02-29,New York Post,2,17
2020-02-29,New York Times,2,18
2020-02-29,Nigeria On Turkish Airlines,2,19
2020-02-29,Nigerian Health,2,20
2020-02-29,Oregon Health Authority,2,21
2020-02-29,People Daily,2,22
2020-02-29,Princess Cruises,2,23
2020-02-29,Reuters,2,24
2020-02-29,Spain Health Ministry,2,25
2020-02-29,Trump Administration,2,26
2020-02-29,United Airlines,2,27
2020-02-29,United States,2,28
2020-02-29,White House,2,29
2020-03-03,Cipla,1,4
2020-03-03,Coronavirus Task,1,5
2020-03-03,Department Of Homeland Security,1,6
2020-03-03,Drug Administration,1,7
2020-03-03,Fitch Ratings,1,8
2020-03-03,Gibson,1,9
2020-03-03,Head Of The National Institute Of Allergy,1,10
2020-03-03,Human Services,1,11
2020-03-03,India Brand Equity Foundation,1,12
2020-03-03,Indian Pharmaceutical Alliance,1,13
2020-03-03,Mask Supply Association,1,14
2020-03-03,Reuters,1,15
2020-03-03,Senate Health Committee On,1,16
2020-03-03,White House,1,17
2020-03-03,White House Coronavirus Task,1,18
2020-03-03,Hastings Center,2,1
2020-03-03,Security Review Commission,2,2
2020-03-03,United States,2,3
2020-03-04,Cipla,1,1
2020-03-04,Drug Administration,1,2
2020-03-04,Environmental Services Terri Hammill,1,3
2020-03-04,Fitch Ratings,1,4
2020-03-04,Gibson,1,5
2020-03-04,Hastings Center,1,6
2020-03-04,India Brand Equity Foundation,1,7
2020-03-04,Indian Pharmaceutical Alliance,1,8
2020-03-04,New York Times,1,9
2020-03-04,Security Review Commission,1,10
2020-03-04,Senate Health Committee On,1,11
2020-03-04,Student Health Services Angie Brown,1,12
2020-03-04,United States,1,13
2020-03-04,White House,1,14
2020-03-05,Austin Public Health,1,3
2020-03-05,Department Of Commerce,1,4
2020-03-05,Disney,1,5
2020-03-05,Environmental Services Terri Hammill,1,6
2020-03-05,Gibson,1,7
2020-03-05,Hastings Center,1,8
2020-03-05,Intel,1,9
2020-03-05,Microsoft Corp,1,10
2020-03-05,Netflix,1,11
2020-03-05,Student Health Services Angie Brown,1,12
2020-03-05,Twitter,1,13
2020-03-05,United States,1,14
2020-03-05,Xinhua,1,15
2020-03-05,Yeshiva University,1,16
2020-03-05,Facebook,2,1
2020-03-05,New York Times,2,2
2020-03-06,Assembly Republican Leader,1,1
2020-03-06,Times Union,1,2
2020-03-06,United States Today Network,1,3
2020-03-07,Courtesy Of Sundance Institute Unauthorized,1,6
2020-03-07,Facebook,1,7
2020-03-07,Instagram,1,8
2020-03-07,Sundance Institute,1,9
2020-03-07,Twitter,1,10
2020-03-07,Bureau Of Investigation,2,1
2020-03-07,Cleveland International Film Festival,2,2
2020-03-07,Federal Bureau Of Investigation,2,3
2020-03-07,Panther Party,2,4
2020-03-07,Warner Bros,2,5
2020-03-10,Chinese Communist Party,1,6
2020-03-10,Expedia,1,7
2020-03-10,Hastings Center,1,8
2020-03-10,Hotel Booking Solutions,1,9
2020-03-10,Opentravel Alliance,1,10
2020-03-10,Partner Ltd,1,11
2020-03-10,United States,1,12
2020-03-10,Xinhua,1,13
2020-03-10,Hyatt,2,2
2020-03-10,World Health Organization,2,3
2020-03-10,World Tourism Organization,2,4
2020-03-10,Wyndham Hotels,2,5
2020-03-10,New York Times,3,1
2020-03-11,Centers For Disease,1,1
2020-03-11,Drug Administration,1,2
2020-03-11,Fulton City School District Superintendent Brian Pulvino,1,3
2020-03-11,Hastings Center,1,4
