date,organization,count,rn
2020-02-14,National Quarantine Unit,1,1
2020-02-14,National Weather Service,1,2
2020-02-14,University Of Nebraska Medical Center,1,3
2020-02-25,Amendment Coalition,1,1
2020-02-25,Dakota State University,1,2
2020-02-25,Davies High School,1,3
2020-02-25,Department Of Mineral Resources,1,4
2020-02-25,Discovery Middle School,1,5
2020-02-25,Fargo School Board,1,6
2020-02-25,Grant County Sheriff Office,1,7
2020-02-25,Oil Patch,1,8
2020-02-25,Sanford Medical Center,1,9
2020-03-01,City Council,2,18
2020-03-01,Facebook,2,19
2020-03-01,Public Works Department,2,20
2020-03-01,Swiftec Inc,2,21
2020-03-01,Avera Health In Sioux Falls,5,1
2020-03-01,Avera Medical Group,5,2
2020-03-01,Centers For Disease,5,3
2020-03-01,Dakota School Of Mines Technology,5,4
2020-03-01,Department Of Health,5,5
2020-03-01,Department Of Homeland Security,5,6
2020-03-01,Human Services,5,7
2020-03-01,Monument Health,5,8
2020-03-01,Monument Health In Rapid City,5,9
2020-03-01,Office Of Disease Prevention Services,5,10
2020-03-01,Office Of Public Health Preparedness,5,11
2020-03-01,Public Health Laboratory,5,12
2020-03-01,Sanford Health,5,13
2020-03-01,School Of Mines,5,14
2020-03-01,Sd Health Alert Network,5,15
2020-03-01,United States,5,16
2020-03-01,University Of South Dakota,5,17
2020-03-05,Department Of Health,1,4
2020-03-05,School Nurse,1,5
2020-03-05,Wall Medicine Center,1,6
2020-03-05,Baath Party,2,1
2020-03-05,Dakota State University,2,2
2020-03-05,White House,2,3
2020-03-09,United States,1,1
2020-03-10,Centers For Disease,1,2
2020-03-10,Department Of Health,1,3
2020-03-10,Public Health Laboratory In Pierre,1,4
2020-03-10,World Health Organization,1,5
2020-03-10,Office Pride,2,1
2020-03-11,Dakota Public Health Laboratory In Pierre,1,20
2020-03-11,Google,1,21
2020-03-11,Indian Health Service,1,22
2020-03-11,Indian Health Services,1,23
2020-03-11,World Health Organization,1,24
2020-03-11,City Department,2,18
2020-03-11,United States,2,19
2020-03-11,Catholic Church,3,10
2020-03-11,City Council,3,11
2020-03-11,Diocese Of Rapid City,3,12
2020-03-11,Fedex,3,13
2020-03-11,School Of Health Sciences,3,14
2020-03-11,University Of South Dakota,3,15
2020-03-11,Westjet,3,16
2020-03-11,Westjet Air Services,3,17
2020-03-11,Dakota Department Of Health,4,8
2020-03-11,Public Health Laboratory In Pierre,4,9
2020-03-11,Centers For Disease,5,4
2020-03-11,Monument Health,5,5
2020-03-11,Monument Health In Rapid City,5,6
2020-03-11,Sanford Health,5,7
2020-03-11,Avera Health,8,2
2020-03-11,Rushmore Plaza Civic Center,8,3
2020-03-11,Department Of Health,9,1
2020-03-12,Centers For Disease,1,16
2020-03-12,Good Samaritan Society,1,17
2020-03-12,Sanford Health,1,18
2020-03-12,Twitter,1,19
2020-03-12,Big Life Church,2,5
2020-03-12,Commerce Visitors Bureau,2,6
2020-03-12,Communications Coordinator Brianna Nelson,2,7
2020-03-12,Dakota Department Of Veterans Affairs,2,8
2020-03-12,Greater Sturgis Lifecare Foundation,2,9
