date,organization,count,rn
2020-03-26,Kirby Medical Center,1,1
2020-04-24,Apex Parks Group,1,1
2020-04-25,Economic Development,1,2
2020-04-25,Indiana Beach Holdings,1,3
2020-04-25,White County Council,1,4
2020-04-25,White County Wind Farm Economic Development,1,5
2020-04-25,Apex Parks Group,2,1
2020-04-27,Apex Parks Group,1,1
2020-05-14,Facebook,1,1
2020-05-14,Health Department Administrator David Remmert,1,2
2020-05-14,Illinois State Police,1,3
2020-05-14,Instagram,1,4
2020-05-14,Twitter,1,5
2020-05-14,Youth Advisory Council,1,6
2020-05-22,Horizon Health,1,1
2020-05-22,University Of Illinois,1,2
2020-05-30,Health Department,1,1
2020-05-30,Health Department Administrator David Remmert,1,2
2020-05-30,Illinois Department Of Public Health,1,3
2020-06-14,Joseph-Ogden High School,1,1
2020-06-25,Illinois Supreme Court,1,1
2020-06-25,School Superintendent Vic Zimmerman,1,2
2020-07-01,Army Air Corps,1,1
2020-07-01,Democratic National Convention,1,2
2020-07-01,Illinois University,1,3
2020-07-01,John Hancock,1,4
2020-07-01,Second Continental Congress,1,5
