date,organization,count,rn
2020-02-08,Arizona State University,1,1
2020-02-08,Chinese Cultural Center,1,2
2020-02-08,Confucius Institute,1,3
2020-02-08,Organization Of Chinese Americans,1,4
2020-02-08,United States,1,5
2020-02-08,University Of Arizona,1,6
2020-02-18,Instagram,1,1
2020-02-28,Arizona Department Of Health Services,1,3
2020-02-28,Confucius Institute,1,4
2020-02-28,Confucius Institute Headquarters,1,5
2020-02-28,Department Of Defense,1,6
2020-02-28,Department Of East Asian,1,7
2020-02-28,Department Of Education,1,8
2020-02-28,Governmental Affairs,1,9
2020-02-28,Health Department,1,10
2020-02-28,Health Emergency Operations,1,11
2020-02-28,International Collaborationsince,1,12
2020-02-28,National Institutes Of Health,1,13
2020-02-28,Twitter,1,14
2020-02-28,United States,1,15
2020-02-28,University Medical Center Tucson,1,16
2020-02-28,University Of Arizona,1,17
2020-02-28,Arizona State University,2,1
2020-02-28,Centers For Disease,2,2
2020-02-29,Arizona Department Of Health Services,1,1
2020-03-03,Amphitheater School District,1,2
2020-03-03,Dear Amphitheater Community,1,3
2020-03-03,Electoral College,1,4
2020-03-03,Heritage Foundation,1,5
2020-03-03,Mary Reed Senate,1,6
2020-03-03,National Popular Vote,1,7
2020-03-03,Supreme Court,1,8
2020-03-03,White House,1,9
2020-03-03,Arizona Department Of Health Services,2,1
2020-03-04,Associated Press,1,9
2020-03-04,Banner Health,1,10
2020-03-04,Banner University Medical Center,1,11
2020-03-04,Carondelet Medical Group,1,12
2020-03-04,Minneapolis Heart Institute,1,13
2020-03-04,Omnilife Inc,1,14
2020-03-04,Our Arizona Legislature,1,15
2020-03-04,Small Business Innovative Research Grant,1,16
2020-03-04,Southern Arizona Veterans Affairs Health Care System,1,17
2020-03-04,Tucson Medical Center,1,18
2020-03-04,University Of Arizona,1,19
2020-03-04,Amphi School District,2,6
2020-03-04,Marana Unified School District,2,7
2020-03-04,Wells School District,2,8
2020-03-04,United States,3,5
2020-03-04,Empire High School,4,2
2020-03-04,Health Department,4,3
2020-03-04,Vail School District,4,4
2020-03-04,Centers For Disease,7,1
2020-03-05,Arizona Chamber Board Of Directors Meeting,1,2
2020-03-05,Arizona Community Day At Capitol,1,3
2020-03-05,Association Of Community College Trustees,1,4
2020-03-05,Association Of Community College Trustees Legislative Summit,1,5
2020-03-05,Aviation Center,1,6
2020-03-05,Case Western Reserve University Hololens,1,7
2020-03-05,Case Western Reserve University In Cleveland,1,8
2020-03-05,Centers For Disease,1,9
2020-03-05,Centers Of Excellence,1,10
2020-03-05,Clorox,1,11
2020-03-05,Cnn,1,12
2020-03-05,Community College For International Development Conference,1,13
2020-03-05,Community College Workforce Consortium,1,14
2020-03-05,Community Colleges For International Development,1,15
2020-03-05,Culture Program,1,16
2020-03-05,Department Of Education,1,17
2020-03-05,Forum National Meeting,1,18
2020-03-05,Futures Assembly,1,19
2020-03-05,Ibm,1,20
2020-03-05,Institute For The,1,21
2020-03-05,Leadership Congress,1,22
2020-03-05,Lumina Foundation Meeting,1,23
2020-03-05,Microsoft,1,24
2020-03-05,Minority Serving Institution,1,25
2020-03-05,National Asian Pacific Islander Council,1,26
2020-03-05,National Association Of Workforce Boards,1,27
2020-03-05,National Association Of Workforce Boards Summer,1,28
2020-03-05,National Coalition Of Certification Centers Leadership Institute,1,29
2020-03-05,National Initiative For Cybersecurity Education Conference,1,30
2020-03-05,Pima College,1,31
2020-03-05,Pima Community College,1,32
2020-03-05,Pima International Department,1,33
2020-03-05,San Miguel High School In Tucson,1,34
2020-03-05,United States Environmental Protection Agency,1,35
2020-03-05,Walgreens,1,36
2020-03-05,Arizona Department Of Health Services,2,1
2020-03-06,Arizona State University,1,2
2020-03-06,Centers For Disease,1,3
2020-03-06,Clorox,1,4
2020-03-06,Cnn,1,5
2020-03-06,Department Of Health Services,1,6
2020-03-06,Facebook,1,7
2020-03-06,Public Health Lab,1,8
