date,organization,count,rn
2020-02-01,Arizona Department Of Health,1,1
2020-02-01,United States,1,2
2020-02-01,World Health Organization,1,3
2020-02-28,Arizona Department Of Health Services,1,1
2020-02-28,Centers For Disease,1,2
2020-02-28,Health Departments,1,3
2020-02-28,National Institutes Of Health,1,4
2020-02-28,Pinal Partnership,1,5
2020-02-28,United States,1,6
2020-03-05,Arizona Department Of Health Services,1,3
2020-03-05,Arizona Department Of Heath Services,1,4
2020-03-05,Associated Press,1,5
2020-03-05,Catholic New Agency,1,6
2020-03-05,Cnn,1,7
2020-03-05,Facebook,1,8
2020-03-05,Health Care Systems,1,9
2020-03-05,Msnbc,1,10
2020-03-05,New York Times,1,11
2020-03-05,Youtube,1,12
2020-03-05,Arizona State University,2,1
2020-03-05,United States,2,2
2020-03-07,Centers For Disease,1,2
2020-03-07,United States,1,3
2020-03-07,Arizona Department Of Health Services,2,1
2020-03-08,American Leadership Academy,1,2
2020-03-08,Facebook,1,3
2020-03-08,Honors College,1,4
2020-03-08,Twitter,1,5
2020-03-08,Universal Studios,1,6
2020-03-08,Arizona Department Of Health Services,2,1
2020-03-09,American Leadership Academy,1,1
2020-03-09,Arizona Department Of Health Services,1,2
2020-03-09,Arizona Department Of Public Health,1,3
2020-03-09,Arizona Department Of Public Safety,1,4
2020-03-09,Arizona School Community,1,5
2020-03-09,Centers For Disease,1,6
2020-03-09,Department Commercial Vehicle Enforcement Bureau,1,7
2020-03-09,Department Criminal Investigations Division,1,8
2020-03-09,Facebook,1,9
2020-03-09,Revenue Service,1,10
2020-03-09,Tommy,1,11
2020-03-10,American Leadership Academy Ironwood,1,7
2020-03-10,Arizona Community Physicians,1,8
2020-03-10,Arizona Department Of Health Services State Laboratory,1,9
2020-03-10,Carondelet Health Network,1,10
2020-03-10,Desert Senita Community Health Center,1,11
2020-03-10,El Rio Health,1,12
2020-03-10,Health Department,1,13
2020-03-10,Health Services,1,14
2020-03-10,Marana Health Center,1,15
2020-03-10,World Health Organization,1,16
2020-03-10,Arizona State University,2,2
2020-03-10,Centers For Disease,2,3
2020-03-10,Human Services,2,4
2020-03-10,United States,2,5
2020-03-10,Westjet,2,6
2020-03-10,Arizona Department Of Health Services,4,1
2020-03-12,Arizona Community Physicians,1,1
2020-03-12,Arizona Department Of Health Services,1,2
2020-03-12,Arizona State University,1,3
2020-03-12,Carondelet Health Network,1,4
2020-03-12,Desert Senita Community Health Center,1,5
2020-03-12,El Rio Health,1,6
2020-03-12,Health Department,1,7
2020-03-12,Human Services,1,8
2020-03-12,Marana Health Center,1,9
2020-03-12,United States,1,10
2020-03-12,World Health Organization,1,11
2020-03-13,American Leadership Academy Ironwood,1,4
2020-03-13,Arizona State University,1,5
2020-03-13,Canyon University,1,6
2020-03-13,Cnn,1,7
2020-03-13,Democratic National Convention,1,8
2020-03-13,Democratic Party,1,9
2020-03-13,Fire Department,1,10
2020-03-13,Health Rehabilitation Hospital Of East Valley,1,11
2020-03-13,Human Services,1,12
2020-03-13,Intel,1,13
2020-03-13,Northern Arizona University,1,14
2020-03-13,United States,1,15
2020-03-13,Westjet,1,16
2020-03-13,Arizona Department Of Health Services,2,1
2020-03-13,Centers For Disease,2,2
2020-03-13,Department Of Health Services,2,3
2020-03-16,Arizona Department Of Health Services,1,4
2020-03-16,Az State Lab,1,5
2020-03-16,Drug Information Center,1,6
2020-03-16,Legislature In Special Session,1,7
2020-03-16,Arizona Education Association,2,1
2020-03-16,Health Department,2,2
2020-03-16,World Health Organization,2,3
2020-03-17,American Leadership Academy,1,4
2020-03-17,Arizona Christian University,1,5
2020-03-17,Arizona Education Association,1,6
2020-03-17,Arizona Western College,1,7
2020-03-17,Ascent Aviation Services,1,8
2020-03-17,Associated Press,1,9
2020-03-17,Banner Health,1,10
2020-03-17,Benedictine University,1,11
2020-03-17,Bishops Of The United Methodist Church,1,12
2020-03-17,Canyon University,1,13
2020-03-17,Centers For Disease,1,14
2020-03-17,Delta Airlines,1,15
2020-03-17,Diocese Of Tucson,1,16
2020-03-17,Faith Baptist Church,1,17
2020-03-17,Health Department,1,18
2020-03-17,Instagram,1,19
2020-03-17,Northern Arizona University,1,20
2020-03-17,Pima Elementary School,1,21
2020-03-17,Pima Junior High School,1,22
2020-03-17,Riddle Aeronautical University,1,23
2020-03-17,Tucson International Airport,1,24
2020-03-17,University Of Arizona,1,25
2020-03-17,Waypoint Church,1,26
2020-03-17,Youtube,1,27
2020-03-17,Arizona State University,2,2
2020-03-17,World Health Organization,2,3
2020-03-17,Arizona Department Of Health Services,3,1
2020-03-18,Democratic National Convention,1,4
2020-03-18,Food City,1,5
2020-03-18,Mohave County Elections Department,1,6
2020-03-18,Associated Press,2,3
2020-03-18,Democratic Convention,4,2
2020-03-18,Democratic Party,5,1
2020-03-19,Arizona Department Of Health Services,1,3
2020-03-19,Associated Press,1,4
2020-03-19,Banner Health,1,5
2020-03-19,Centers For Disease,1,6
2020-03-19,City Council,1,7
2020-03-19,Democratic Convention,1,8
2020-03-19,Democratic Party,1,9
2020-03-19,Department Of Health Services,1,10
2020-03-19,Facebook,1,11
2020-03-19,Governor Office,1,12
2020-03-19,Health Care Association,1,13
2020-03-19,Members Of Arizona National Guard,1,14
2020-03-19,National Guard,1,15
