date,organization,count,rn
2020-03-16,Iowa Workforce Development,1,20
2020-03-16,Twitter,1,21
2020-03-16,Centers For Disease,2,1
2020-03-16,Democratic Party,2,2
2020-03-16,Department Of Management,2,3
2020-03-16,Department Of Public Health,2,4
2020-03-16,Drake University In Des Moines,2,5
2020-03-16,Grinnell College,2,6
2020-03-16,Grundy Center,2,7
2020-03-16,Income Home Energy Assistance Program,2,8
2020-03-16,Iowa Democratic Party,2,9
2020-03-16,Iowa Department Of Public Health,2,10
2020-03-16,Iowa Legislature,2,11
2020-03-16,Iowa State University,2,12
2020-03-16,Iowa Tech Community College In Sioux City,2,13
2020-03-16,Lifeserve Blood Center,2,14
2020-03-16,Mission Creek,2,15
2020-03-16,Republican Party Of Iowa,2,16
2020-03-16,Unitypoint Health,2,17
2020-03-16,University Of Iowa,2,18
2020-03-16,University Of Northern Iowa,2,19
2020-03-17,Lifeserve Blood Center Claire Deroin,2,23
2020-03-17,Public Health Disaster Emergency,2,24
2020-03-17,Centers For Disease,3,1
2020-03-17,Democratic Party,3,2
2020-03-17,Department Of Management,3,3
2020-03-17,Department Of Public Health,3,4
2020-03-17,Drake University In Des Moines,3,5
2020-03-17,Grinnell College,3,6
2020-03-17,Grundy Center,3,7
2020-03-17,Hygenic Laboratory,3,8
2020-03-17,Income Home Energy Assistance Program,3,9
2020-03-17,Iowa Democratic Party,3,10
2020-03-17,Iowa Department Of Public Health,3,11
2020-03-17,Iowa Legislature,3,12
2020-03-17,Iowa State University,3,13
2020-03-17,Iowa Tech Community College In Sioux City,3,14
2020-03-17,Iowa Workforce Development,3,15
2020-03-17,Lifeserve Blood Center,3,16
2020-03-17,Mission Creek,3,17
2020-03-17,Republican Party Of Iowa,3,18
2020-03-17,Twitter,3,19
2020-03-17,Unitypoint Health,3,20
2020-03-17,University Of Iowa,3,21
2020-03-17,University Of Northern Iowa,3,22
2020-03-18,Centers For Disease,1,1
2020-03-18,Democratic Party,1,2
2020-03-18,Department Of Management,1,3
2020-03-18,Department Of Public Health,1,4
2020-03-18,Drake University In Des Moines,1,5
2020-03-18,Grinnell College,1,6
2020-03-18,Grundy Center,1,7
2020-03-18,Hygenic Laboratory,1,8
2020-03-18,Income Home Energy Assistance Program,1,9
2020-03-18,Iowa Democratic Party,1,10
2020-03-18,Iowa Department Of Public Health,1,11
2020-03-18,Iowa Legislature,1,12
2020-03-18,Iowa State University,1,13
2020-03-18,Iowa Tech Community College In Sioux City,1,14
2020-03-18,Iowa Workforce Development,1,15
2020-03-18,Lifeserve Blood Center,1,16
2020-03-18,Lifeserve Blood Center Claire Deroin,1,17
2020-03-18,Mission Creek,1,18
2020-03-18,Public Health Disaster Emergency,1,19
2020-03-18,Republican Party Of Iowa,1,20
2020-03-18,Twitter,1,21
2020-03-18,Unitypoint Health,1,22
2020-03-18,University Of Iowa,1,23
2020-03-18,University Of Northern Iowa,1,24
2020-03-19,Centers For Disease,1,1
2020-03-19,Democratic Party,1,2
2020-03-19,Department Of Management,1,3
2020-03-19,Department Of Public Health,1,4
2020-03-19,Drake University In Des Moines,1,5
2020-03-19,Grinnell College,1,6
2020-03-19,Grundy Center,1,7
2020-03-19,Hygenic Laboratory,1,8
2020-03-19,Income Home Energy Assistance Program,1,9
2020-03-19,Iowa Democratic Party,1,10
2020-03-19,Iowa Department Of Public Health,1,11
2020-03-19,Iowa Legislature,1,12
2020-03-19,Iowa State University,1,13
2020-03-19,Iowa Tech Community College In Sioux City,1,14
2020-03-19,Iowa Workforce Development,1,15
2020-03-19,Lifeserve Blood Center,1,16
2020-03-19,Lifeserve Blood Center Claire Deroin,1,17
2020-03-19,Mission Creek,1,18
2020-03-19,Public Health Disaster Emergency,1,19
2020-03-19,Republican Party Of Iowa,1,20
2020-03-19,Twitter,1,21
2020-03-19,Unitypoint Health,1,22
2020-03-19,University Of Iowa,1,23
2020-03-19,University Of Northern Iowa,1,24
2020-03-20,Hygienic Lab,1,33
2020-03-20,Public Health Emergency Declaration,1,34
2020-03-20,Centers For Disease,2,1
2020-03-20,Clear Lake Telephone Company,2,2
2020-03-20,Comcast,2,3
2020-03-20,Communications Commission,2,4
2020-03-20,Court Administrator Todd Nuccio,2,5
2020-03-20,Democratic Party,2,6
2020-03-20,Department Of Management,2,7
2020-03-20,Department Of Public Health,2,8
2020-03-20,Drake University In Des Moines,2,9
2020-03-20,Farmers Mutual Cooperative Telephone Company,2,10
2020-03-20,Great Plains Communications,2,11
2020-03-20,Grinnell College,2,12
2020-03-20,Grundy Center,2,13
2020-03-20,Hygenic Laboratory,2,14
2020-03-20,Income Home Energy Assistance Program,2,15
2020-03-20,Iowa Democratic Party,2,16
2020-03-20,Iowa Department Of Public Health,2,17
2020-03-20,Iowa Department Of Revenue,2,18
2020-03-20,Iowa Legislature,2,19
2020-03-20,Iowa State University,2,20
2020-03-20,Iowa Tech Community College In Sioux City,2,21
2020-03-20,Iowa Workforce Development,2,22
2020-03-20,Lifeserve Blood Center,2,23
2020-03-20,Lifeserve Blood Center Claire Deroin,2,24
2020-03-20,Mission Creek,2,25
2020-03-20,Public Health Disaster Emergency,2,26
2020-03-20,Republican Party Of Iowa,2,27
2020-03-20,Twitter,2,28
2020-03-20,Unitypoint Health,2,29
2020-03-20,University Of Iowa,2,30
2020-03-20,University Of Northern Iowa,2,31
2020-03-20,Verizon,2,32
2020-03-21,Centers For Disease,1,1
2020-03-21,Clear Lake Telephone Company,1,2
2020-03-21,Comcast,1,3
2020-03-21,Communications Commission,1,4
2020-03-21,Court Administrator Todd Nuccio,1,5
2020-03-21,Democratic Party,1,6
2020-03-21,Department Of Management,1,7
2020-03-21,Department Of Public Health,1,8
