date,organization,count,rn
2020-03-10,Centers For Disease,1,1
2020-03-10,United States,1,2
2020-03-17,Centers For Disease,1,1
2020-03-17,Mcalester Regional Health Center,1,2
2020-03-17,Oklahoma State Department Of Health,1,3
2020-03-17,Small Business Administration,1,4
2020-03-17,Stipe Center,1,5
2020-03-17,Tribune Content Agency,1,6
2020-03-18,Anadarko,1,4
2020-03-18,Apache Casino Hotel,1,5
2020-03-18,Comanche Business Committee,1,6
2020-03-18,Comanche Nation Enterprises,1,7
2020-03-18,Elder Center,1,8
2020-03-18,Food Distribution Program,1,9
2020-03-18,Participants Of The Diabetes Program,1,10
2020-03-18,Prescription Assistance Program,1,11
2020-03-18,Tribal Court,1,12
2020-03-18,Centers For Disease,2,1
2020-03-18,Health Department,2,2
2020-03-18,Oklahoma State Department Of Health,2,3
2020-03-19,A Polar Bear,1,1
2020-03-19,Arby,1,2
2020-03-19,Braum,1,3
2020-03-19,Centers For Disease,1,4
2020-03-19,Mcdonald,1,5
2020-03-19,Oklahoma State Department Of Health,1,6
2020-03-19,Olive Branch,1,7
2020-03-19,Steak N Shake,1,8
2020-03-19,Taco Bell,1,9
2020-03-19,Wendy,1,10
2020-03-19,World Health Organization,1,11
2020-03-20,Tribune Content Agency,1,2
2020-03-20,Oklahoma State Department Of Health,3,1
2020-03-21,Bureau Of Indian Affairs,1,4
2020-03-21,World Health Organization,1,5
2020-03-21,Centers For Disease,2,1
2020-03-21,Oklahoma State Department Of Health,2,2
2020-03-21,Regional Health Department,2,3
2020-03-23,Centers For Disease,1,5
2020-03-23,Mcalester Area Chamber,1,6
2020-03-23,Small Business Administration,1,7
2020-03-23,Health Department,2,4
2020-03-23,Oklahoma State Department Of Health,3,2
2020-03-23,World Health Organization,3,3
2020-03-23,Regional Health Department,4,1
2020-03-24,Court Clerk Cindy Ledford,1,1
2020-03-24,District Attorney Office,1,2
2020-03-25,Dear Community,1,1
2020-03-25,Mcalester Regional Health Center,1,2
2020-03-25,Oklahoma State Department Of Health,1,3
2020-03-26,Centers For Disease,1,1
2020-03-26,Krebs City Council,1,2
2020-03-26,Oklahoma State Department Of Health,1,3
2020-03-30,Mcalester Police,1,1
2020-03-30,Morris,1,2
2020-03-31,Expo Center,1,3
2020-03-31,Facebook,1,4
2020-03-31,Health Department,1,5
2020-03-31,Morris,1,6
2020-03-31,Oklahoma Society Of Directors Of Volunteer Services,1,7
2020-03-31,Oklahoma State Department Of Health,1,8
2020-03-31,Oklahoma State University,1,9
2020-03-31,Mcalester Police,2,1
2020-03-31,Mcalester Regional Health Center,2,2
2020-04-08,Centers For Disease,1,1
2020-04-08,Health Department Regional,1,2
2020-04-08,Hope Retirement Center,1,3
2020-04-08,Oklahoma State Department Of Health,1,4
2020-04-08,World Health Organization,1,5
2020-04-09,Facebook,1,6
2020-04-09,Komar Distribution Services,1,7
2020-04-09,Mcalester Regional Health Center,1,8
2020-04-09,Stuart High School,1,9
2020-04-09,Tribune Content Agency,1,10
2020-04-09,Health Department Regional,2,3
2020-04-09,Hope Retirement Center,2,4
2020-04-09,World Health Organization,2,5
2020-04-09,Centers For Disease,3,1
2020-04-09,Oklahoma State Department Of Health,3,2
2020-04-15,Economic Development,1,1
2020-04-15,Mcalester Area Local Economic Disaster Relief Program,1,2
2020-04-15,Mcalester Economic Development Authority,1,3
2020-04-15,Oklahoma Military Planning Commission,1,4
2020-04-18,Centers For Disease,1,1
2020-04-18,Hope Retirement Center,1,2
2020-04-18,Nan,1,3
2020-04-18,Oklahoma Assisted Living Association,1,4
2020-04-18,Oklahoma State Department Of Health,1,5
2020-04-18,Transition Health Services Regional,1,6
2020-04-21,Alabama Rural Health Associations,1,1
2020-04-21,Census Bureau,1,2
2020-04-21,Florida Community Hospital In Chipley,1,3
2020-04-21,Health Services Research,1,4
2020-04-21,Mcalester Regional Health Center,1,5
2020-04-21,National Guard,1,6
2020-04-21,National Rural Health Association,1,7
2020-04-21,University Of Iowa,1,8
2020-04-21,University Of North Carolina,1,9
2020-04-21,Williamson Health Wellness Center,1,10
2020-04-22,Centers For Disease,1,1
2020-04-22,National Guard,1,2
2020-04-22,Oklahoma National Guard,1,3
2020-04-22,Oklahoma State Department Of Health,1,4
2020-04-22,Transition Health Services,1,5
2020-05-01,Anadarko,1,1
2020-05-01,Community Bank,1,2
2020-05-01,Drug Administration,1,3
2020-05-01,Indian Health Services,1,4
2020-05-01,Mcalester Regional Health Center,1,5
2020-05-01,Oklahoma State Department Of Health,1,6
2020-05-01,Paycheck Protection Program,1,7
2020-05-01,Public Health,1,8
2020-05-01,Service Emergency Funds,1,9
2020-05-07,Coronavirus Relief Fund,1,1
2020-05-07,Paycheck Protection Program,1,2
2020-05-07,Payroll Protection Program,1,3
2020-05-07,Small Business Administration,1,4
2020-05-07,Trump Administration,1,5
2020-05-08,National Weather Service,1,1
2020-05-09,Centers For Disease,1,1
2020-05-09,Mcalester Regional Health Center,1,2
2020-05-09,Oklahoma State Department Of Health,1,3
2020-05-09,Rose State College,1,4
2020-05-10,Alaska Native Corporation,1,1
2020-05-10,Treasury Department,1,2
2020-05-21,Oklahoma Legislature,1,1
2020-05-28,Emergency Management Team,2,1
2020-05-28,United States,2,2
