date,organization,count,rn
2020-03-12,Prescription Drug Monitoring Program,1,4
2020-03-12,Department Of Health,2,1
2020-03-12,Missouri Senate,2,2
2020-03-12,Senior Services,2,3
2020-03-13,Central Community College,1,8
2020-03-13,Columbus Area Chamber,1,9
2020-03-13,Columbus High School,1,10
2020-03-13,Columbus Public Schools Marketing Foundation,1,11
2020-03-13,Department Of Health,1,12
2020-03-13,Missouri Senate,1,13
2020-03-13,Rich Anderson Chamber Volunteer Of The Year,1,14
2020-03-13,Senior Services,1,15
2020-03-13,University Of Nebraska,1,16
2020-03-13,Centers For Disease,2,1
2020-03-13,Columbus Community Hospital,2,2
2020-03-13,Columbus Medical Center,2,3
2020-03-13,Employer Forum On,2,4
2020-03-13,Human Services,2,5
2020-03-13,Nebraska Department Of Health,2,6
2020-03-13,Wellness Center,2,7
2020-03-14,Alabama Department Of Public Health,1,1
2020-03-14,Alaska Department Of Health,1,2
2020-03-14,Arizona Department Of Health Service,1,3
2020-03-14,Arizona State Public Health Lab,1,4
2020-03-14,Arkansas Department Of Health,1,5
2020-03-14,California Department Of Public Health,1,6
2020-03-14,Carolina Department Of Health,1,7
2020-03-14,Carolina Laboratory Of Public Health,1,8
2020-03-14,Carolina Public Health Laboratory,1,9
2020-03-14,Colorado Department Of Public Health,1,10
2020-03-14,Connecticut State Department Of Health,1,11
2020-03-14,Dakota Department Of Health,1,12
2020-03-14,Dc Health,1,13
2020-03-14,Delaware Division Of Public Health,1,14
2020-03-14,Department Of Health,1,15
2020-03-14,Division Of Public Health,1,16
2020-03-14,Environmental Laboratory,1,17
2020-03-14,Epidemiology Resource Center,1,18
2020-03-14,Florida Department Of Health,1,19
2020-03-14,Georgia Department Of Public Health,1,20
2020-03-14,Georgia Public Health Laboratory,1,21
2020-03-14,Hawaii Department Of Health,1,22
2020-03-14,Human Service,1,23
2020-03-14,Human Services,1,24
2020-03-14,Human Services Department,1,25
2020-03-14,Hygienic Lab,1,26
2020-03-14,Indiana State Department Of Health,1,27
2020-03-14,Iowa Department Of Public Health,1,28
2020-03-14,Jersey Department Of Health,1,29
2020-03-14,Jersey Public Health,1,30
2020-03-14,Kentucky Department Of Public Health,1,31
2020-03-14,Louisiana Department Of Health,1,32
2020-03-14,Maine Division Of Disease Surveillance,1,33
2020-03-14,Mexico Department Of Health,1,34
2020-03-14,Michigan Department Of Health,1,35
2020-03-14,Minnesota Department Of Health,1,36
2020-03-14,Mississippi Department Of Health,1,37
2020-03-14,Mississippi State Department Of Health,1,38
2020-03-14,Missouri Department Of Health,1,39
2020-03-14,Montana Department Of Public Health,1,40
2020-03-14,Nebraska Department Of Health,1,41
