date,organization,count,rn
2020-02-03,New York Times,1,1
2020-02-03,Student Health Services,1,2
2020-02-03,United States,1,3
2020-02-07,Department Of Public Health,1,1
2020-02-07,Health Insurance Portability,1,2
2020-02-07,Twitter,1,3
2020-02-09,Department Of Public Health,1,1
2020-02-09,Health Insurance Portability,1,2
2020-02-09,Twitter,1,3
2020-02-10,Centers For Disease,1,1
2020-02-10,Department Of Public Health,1,2
2020-02-10,Easton Middle School,1,3
2020-02-10,Health Insurance Portability,1,4
2020-02-10,Holbrook Health Agent Abbey Myers,1,5
2020-02-10,Homeland Health Alert Network,1,6
2020-02-10,International Association Of Fire Fighters,1,7
2020-02-10,Massachusetts Department Of Public Health,1,8
2020-02-10,Massachusetts Virtual Epidemiology Network,1,9
2020-02-10,Randolph Health Department,1,10
2020-02-10,Randolph Public Health,1,11
2020-02-10,Stonehill College,1,12
2020-02-10,Stoughton Board Of Health,1,13
2020-02-10,Twitter,1,14
2020-02-10,United States,1,15
2020-02-12,Department Of Public Health,1,1
2020-02-12,Health Insurance Portability,1,2
2020-02-12,Twitter,1,3
2020-02-14,Massachusetts Department Of Public Health,1,1
2020-02-17,Bloomberg,1,1
2020-02-17,Catholic Church,1,2
2020-02-17,Court Auditorium,1,3
2020-02-17,Department Of Health,1,4
2020-02-17,South China Morning Post,1,5
2020-02-17,Supreme Court,1,6
2020-02-17,United States,1,7
2020-02-18,Apple Inc,1,2
2020-02-18,Associated Press,1,3
2020-02-18,Chinese Center,1,4
2020-02-18,Daytona International Speedway,1,5
2020-02-18,Democratic Party,1,6
2020-02-18,Instagram,1,7
2020-02-18,Justice Department,1,8
2020-02-18,Twitter,1,9
2020-02-18,World Health Organization,1,10
2020-02-18,National Monument,2,1
2020-02-21,Nan,1,1
2020-02-26,Bloomberg,1,1
2020-02-26,City Council,1,2
2020-02-26,City Council Former Gov,1,3
2020-02-26,Coalition For Epidemic Preparedness Innovations,1,4
2020-02-26,Environmental Protection Agency,1,5
2020-02-26,Governor Council,1,6
2020-02-26,Hill Charter School,1,7
2020-02-26,House Committee On Bonding,1,8
2020-02-26,House News Service,1,9
2020-02-26,Massachusetts Senate,1,10
2020-02-26,Massmutual Center,1,11
2020-02-26,Medford High School,1,12
2020-02-26,Moderna Inc,1,13
2020-02-26,National Institute,1,14
2020-02-26,National Institute Of Allergy,1,15
2020-02-26,Office Of Attorney,1,16
2020-02-26,Office Of Technology Services,1,17
2020-02-26,Quincy Chamber,1,18
2020-02-26,Senate Mental Health Bill Lays Foundation,1,19
2020-02-26,Telegram Gazette At Mercantile Center,1,20
2020-02-26,Twitter,1,21
2020-02-26,White House,1,22
2020-02-28,Beverly Middle School,1,1
2020-02-28,Beverly Public Library,1,2
2020-02-28,Beverly Waring School,1,3
2020-02-28,Board Of Trustees,1,4
2020-02-28,Endicott College,1,5
2020-02-28,Endicott College Jazz Rock Ensemble,1,6
2020-02-28,First Baptist Church,1,7
2020-02-28,Massachusetts Seaport Economic Council,1,8
2020-02-28,National Geographic Channel,1,9
2020-02-28,Office Of International Education,1,10
2020-02-28,Rockport Public Library,1,11
2020-02-28,United States,1,12
2020-02-28,Waring School In Beverly,1,13
2020-02-28,Watertown High School,1,14
2020-02-28,While Endicott College,1,15
2020-03-02,Bloomberg,1,1
2020-03-02,Democratic National Convention,1,2
2020-03-02,Department Of Correction,1,3
2020-03-02,Department Of Youth Services,1,4
2020-03-02,District Attorney Office,1,5
2020-03-02,Gloucester Marine Genomics Institute Gloucester Biotechnology Academy,1,6
2020-03-02,House Ethics Committee,1,7
2020-03-02,Massmutual Center,1,8
2020-03-02,Means Committee,1,9
