date,organization,count,rn
2020-02-04,Deweese Health Center,1,1
2020-02-04,Kent State University,1,2
2020-02-04,New York Times,1,3
2020-02-04,Office Of Global Education,1,4
2020-02-04,Tribune Content Agency,1,5
2020-02-04,United States,1,6
2020-02-04,University Health Services,1,7
2020-03-07,Bureau Of Alcohol,1,1
2020-03-07,Department Of Education,1,2
2020-03-07,Justice Department,1,3
2020-03-07,Members Of The Manawa Fire Department,1,4
2020-03-07,Minnesota Chamber,1,5
2020-03-07,Minnesota Department Of Natural Resources,1,6
2020-03-07,Minnesota Senate Judiciary,1,7
2020-03-07,Minnesota State College Southeast,1,8
2020-03-07,Saint Mary University,1,9
2020-03-07,United States,1,10
2020-03-07,Winona Area Chamber,1,11
2020-03-07,Winona State University,1,12
2020-03-07,Wisconsin Historical Society,1,13
2020-03-11,Department Of Health,1,1
2020-03-11,Kent State University,1,2
2020-03-11,Ohio Department Of Education,1,3
2020-03-11,Ohio State University,1,4
2020-03-11,University Of Akron,1,5
2020-03-12,Cardinal Stritch University,1,1
2020-03-12,Carroll University,1,2
2020-03-12,Carthage College,1,3
2020-03-12,Centers For Disease,1,4
2020-03-12,Claire,1,5
2020-03-12,Edgewood College,1,6
2020-03-12,Facebook,1,7
2020-03-12,Marquette University,1,8
2020-03-12,Mercy Health,1,9
2020-03-12,Ohio Department Of Health,1,10
2020-03-12,University Of Wisconsin,1,11
2020-03-12,Uw-Madison Health Services,1,12
2020-03-13,Arizona State University,1,3
2020-03-13,Boys Girls Club Of Portage,1,4
2020-03-13,Covelli Centre,1,5
2020-03-13,Department Of Public Instruction,1,6
2020-03-13,Johns Hopkins University,1,7
2020-03-13,Mercy Health,1,8
2020-03-13,Mercy Health St,1,9
2020-03-13,New York Times,1,10
2020-03-13,Ohio Department Of Health,1,11
2020-03-13,Osceola School District,1,12
2020-03-13,Shawano School District,1,13
2020-03-13,Steward Health,1,14
2020-03-13,United States,1,15
2020-03-13,World Health Organization,1,16
2020-03-13,Department Of Health Services,2,1
2020-03-13,Merton Community School District,2,2
2020-03-14,Arizona State University,1,2
2020-03-14,Boys Girls Club Of Portage,1,3
2020-03-14,Covelli Centre,1,4
2020-03-14,Department Of Health Services,1,5
2020-03-14,Department Of Public Instruction,1,6
2020-03-14,Johns Hopkins University,1,7
2020-03-14,Mercy Health,1,8
2020-03-14,Merton Community School District,1,9
2020-03-14,Nan,1,10
2020-03-14,Osceola School District,1,11
2020-03-14,Shawano School District,1,12
2020-03-14,Lakeview School District In Cortland,2,1
2020-03-15,Beck Center,1,1
2020-03-15,Civil Service Commission Meeting,1,2
2020-03-15,College Of Public Health,1,3
2020-03-15,Garfield Middle School,1,4
2020-03-15,Lakewood Community Relations Advisory Commission Meeting,1,5
2020-03-15,Lakewood Human Services Department,1,6
2020-03-15,Lakewood Youth Council,1,7
2020-03-15,Lawther Senior Center,1,8
2020-03-15,Northeastern Ohio University College Of Medicine,1,9
2020-03-15,Ohio Department Of Health,1,10
2020-03-15,Ohio State University,1,11
2020-03-15,Records Commission Meeting,1,12
2020-03-15,Shell,1,13
2020-03-15,Youngstown State University,1,14
2020-03-16,Alliance Family,1,1
2020-03-16,City Of Alliance Board Of Park,1,2
2020-03-16,Community Legal Aid,1,3
2020-03-16,Education Center,1,4
2020-03-16,Great Lakes Science Center,1,5
2020-03-16,Penguin Service Center,1,6
2020-03-16,Public Library Of Youngstown,1,7
2020-03-16,Salem Regional Medical Center,1,8
2020-03-16,Sandy Presbyterian Church,1,9
2020-03-16,Science Center,1,10
2020-03-16,Science Center Youtube,1,11
2020-03-16,Surgery Center,1,12
2020-03-16,Ursuline Education Wellness Center,1,13
2020-03-16,Ymca,1,14
2020-03-17,Facebook,1,9
2020-03-17,Health District,1,10
2020-03-17,Ohio Department Of Health,1,11
2020-03-17,Ohio Hospital Association,1,12
2020-03-17,Ohio State University Wexner Medical Center Dewine,1,13
2020-03-17,Berard Center,2,1
2020-03-17,Boys Girls Club Of Portage,2,2
2020-03-17,Canaland Christian Academy,2,3
2020-03-17,Childcaring Inc,2,4
2020-03-17,Early Education Center,2,5
2020-03-17,Girls Club Of Portage,2,6
2020-03-17,Ohio State University Wexner Medical Center,2,7
2020-03-17,Wisconsin Department Of Children,2,8
2020-03-18,Bartender Emergency Assistance Program,1,1
2020-03-18,Department Of Workforce Development,1,2
2020-03-18,Division St,1,3
2020-03-18,Facebook,1,4
2020-03-18,Heart Of Wisconsin Chamber,1,5
2020-03-18,National Charity Foundation,1,6
2020-03-18,Undocu Workers Fund,1,7
2020-03-19,Bureau Of Motor Vehicles,1,15
2020-03-19,Family Services,1,16
2020-03-19,Food Bank,1,17
2020-03-19,Ohio Department Of Job,1,18
2020-03-19,Second Harvest Food Bank,1,19
2020-03-19,Clintonville-Beechwold Community Resource Center,2,5
2020-03-19,Community Shelter Board,2,6
2020-03-19,Health Department,2,7
2020-03-19,Mount Carmel Health System,2,8
2020-03-19,Ohio Department Of Health,2,9
2020-03-19,Ohio Health Care Association,2,10
2020-03-19,Ohio Hospital Association,2,11
2020-03-19,Ohio State University Wexner Medical Center,2,12
2020-03-19,United States,2,13
2020-03-19,Ymca,2,14
2020-03-19,Infantry Brigade Combat Team,3,2
2020-03-19,Ohio Association Of Foodbanks,3,3
2020-03-19,Ohio National Guard,3,4
2020-03-19,National Guard,4,1
2020-03-20,Boys Girls Club Of Portage,1,31
2020-03-20,Canton Public Health,1,32
2020-03-20,Charles Fernandez Center,1,33
2020-03-20,Clintonville-Beechwold Community Resource Center,1,34
2020-03-20,Community Shelter Board,1,35
2020-03-20,Department Of Health,1,36
2020-03-20,Health Services,1,37
2020-03-20,Kent Fire Department,1,38
2020-03-20,Kent Police Department,1,39
2020-03-20,Mount Carmel Health System,1,40
2020-03-20,Ohio Health Care Association,1,41
2020-03-20,Ohio State University Wexner Medical Center,1,42
2020-03-20,Ymca,1,43
2020-03-20,Claire,2,22
2020-03-20,Family Services,2,23
2020-03-20,Froedtert The Medical College Of Wisconsin,2,24
2020-03-20,National Center,2,25
2020-03-20,Ohio Department Of Job,2,26
2020-03-20,Ohio Hospital Association,2,27
2020-03-20,United States,2,28
2020-03-20,United States Today Network,2,29
2020-03-20,World Health Organization,2,30
2020-03-20,Infantry Brigade Combat Team,3,18
2020-03-20,National Guard,3,19
2020-03-20,Ohio Association Of Foodbanks,3,20
2020-03-20,Ohio National Guard,3,21
2020-03-20,Brewers Community Foundation,4,14
2020-03-20,Northwestern Mutual Foundation,4,15
2020-03-20,Ohio Department Of Health,4,16
2020-03-20,University Of Wisconsin,4,17
2020-03-20,Health Department,5,12
2020-03-20,Supreme Court,5,13
2020-03-20,Department Of Workforce Development,6,10
2020-03-20,Wisconsin Center,6,11
2020-03-20,Wisconsin Department Of Public Instruction,7,9
2020-03-20,Wisconsin Elections Commission,8,8
2020-03-20,American Family Insurance,9,1
2020-03-20,American Family Insurance Institute For Corporate,9,2
2020-03-20,Court Randy Koshnick,9,3
2020-03-20,Senate Democrat Tammy Baldwin,9,4
2020-03-20,Senate Majority Leader Mitch Mcconnell,9,5
2020-03-20,Wisconsin Association Of Criminal Defense Lawyers,9,6
2020-03-20,Wisconsin Supreme Court,9,7
2020-03-21,Catholic Community Of Meadville,1,22
2020-03-21,Edinboro University,1,23
2020-03-21,Examiner Office,1,24
2020-03-21,Linesville Volunteer Fire Department,1,25
2020-03-21,Meadville Woman Club,1,26
2020-03-21,Student Government Association,1,27
2020-03-21,Telephone Committee,1,28
2020-03-21,American Family Insurance,3,2
2020-03-21,American Family Insurance Institute For Corporate,3,3
2020-03-21,Brewers Community Foundation,3,4
2020-03-21,Claire,3,5
2020-03-21,Court Randy Koshnick,3,6
2020-03-21,Department Of Workforce Development,3,7
2020-03-21,Froedtert The Medical College Of Wisconsin,3,8
2020-03-21,Health Department,3,9
2020-03-21,National Center,3,10
2020-03-21,Northwestern Mutual Foundation,3,11
2020-03-21,Senate Democrat Tammy Baldwin,3,12
2020-03-21,Senate Majority Leader Mitch Mcconnell,3,13
2020-03-21,Supreme Court,3,14
2020-03-21,United States Today Network,3,15
2020-03-21,Wisconsin Association Of Criminal Defense Lawyers,3,16
2020-03-21,Wisconsin Center,3,17
2020-03-21,Wisconsin Department Of Public Instruction,3,18
2020-03-21,Wisconsin Elections Commission,3,19
2020-03-21,Wisconsin Supreme Court,3,20
2020-03-21,World Health Organization,3,21
2020-03-21,University Of Wisconsin,4,1
2020-03-23,Branch Local School Board,1,1
2020-03-23,Branch Local Schools,1,2
2020-03-23,Children Behavioral Health Prevention Network Stakeholder Group,1,3
2020-03-23,Holiday Inn Convention Center,1,4
2020-03-23,Impressions Inc,1,5
2020-03-23,Milliberty Institute,1,6
2020-03-23,Nan,1,7
2020-03-23,Ohio Association Of Advanced Practice Registered Nurses,1,8
2020-03-23,Ohio Department Of Health,1,9
2020-03-23,Ohio Republican Party,1,10
2020-03-23,Service Commission,1,11
2020-03-23,Wisconsin Central School Bus,1,12
2020-03-23,Wisconsin Department Of Workforce Development,1,13
2020-03-23,Wisconsin Department Of Workforce Development On,1,14
2020-03-24,Big Dot Of Happiness,1,4
2020-03-24,Centers For Disease,1,5
2020-03-24,Eddie Martini Enterprises,1,6
2020-03-24,Health Department,1,7
2020-03-24,Holiday Inn Convention Center Stevens Point,1,8
2020-03-24,Impressions Inc,1,9
2020-03-24,Msnbc,1,10
2020-03-24,National Endowment Of The Arts,1,11
2020-03-24,National Endowment Of The Humanities,1,12
2020-03-24,National Review Institute Andy Mccarthy,1,13
2020-03-24,Park Hotel Inc,1,14
2020-03-24,Production Inc,1,15
2020-03-24,Revenue Service,1,16
2020-03-24,Senate Democrats,1,17
2020-03-24,Senate Majority Leader Mitch Mcconnell,1,18
2020-03-24,Stroh Die Cast,1,19
2020-03-24,Towel Supply Inc,1,20
2020-03-24,Twitter,1,21
2020-03-24,United States,1,22
2020-03-24,Wisconsin Central School,1,23
2020-03-24,Wisconsin Central School Bus,1,24
2020-03-24,Wisconsin Department Of Health Services,1,25
2020-03-24,Wisconsin Department Of Workforce Development,1,26
2020-03-24,House Intelligence Committee,2,1
2020-03-24,Kennedy Center,2,2
2020-03-24,Ohio Department Of Health,2,3
2020-03-25,Columbia Correctional Institution In Portage,1,1
2020-03-25,Department Of Corrections,1,2
2020-03-25,Ohio Department Of Public Health,1,3
2020-03-25,Waupun Correctional Institution,1,4
2020-03-26,American Hospital Association,1,7
2020-03-26,Columbia Correctional Institution In Portage,1,8
2020-03-26,Department Of Corrections,1,9
2020-03-26,Department Of Health Services,1,10
2020-03-26,Division Of Public Health,1,11
2020-03-26,Elmhurst Hospital Center,1,12
2020-03-26,Howard University,1,13
2020-03-26,Msnbc,1,14
2020-03-26,National Endowment For The Humanities,1,15
2020-03-26,National Security Council,1,16
2020-03-26,Pa Superior Court,1,17
2020-03-26,Portage Co,1,18
2020-03-26,Public Health,1,19
2020-03-26,Truman Medical Centers,1,20
2020-03-26,United States,1,21
2020-03-26,University Of Wisconsin,1,22
2020-03-26,Waupun Correctional Institution,1,23
2020-03-26,White House,1,24
2020-03-26,Women For Trump Coalition,1,25
2020-03-26,Central Wisconsin Economic Development Fund,2,1
2020-03-26,Economic Recovery Committee,2,2
2020-03-26,Human Services,2,3
2020-03-26,Kennedy Center,2,4
2020-03-26,Small Business Administration,2,5
2020-03-26,Wisconsin Department Of Health Services,2,6
2020-03-27,Board Of Health,1,5
2020-03-27,Board Of Health Chris Wilster,1,6
2020-03-27,Case Western Reserve University,1,7
2020-03-27,Columbiana Co,1,8
2020-03-27,Department Of Homeland,1,9
