date,organization,count,rn
2020-04-08,Nan,1,1
2020-04-13,Congressional Research Service,1,1
2020-04-13,Department Of Health,1,2
2020-04-13,Emergency Management Agency,1,3
2020-04-13,Harvard Global Health Institute,1,4
2020-04-13,Hospital Preparedness Program,1,5
2020-04-13,Human Services,1,6
2020-04-13,New York Times,1,7
2020-04-13,Program In Disaster Research,1,8
2020-04-13,Strategic National,1,9
2020-04-13,United States,1,10
2020-04-13,Vanderbilt University Medical Center,1,11
2020-06-08,Climate Prediction Center,1,1
2020-06-08,Colorado River Basin Forecast Center,1,2
2020-06-08,Durango Silverton Narrow Gauge Railroad,1,3
2020-06-08,Mesa Verde National Park,1,4
2020-06-08,Rio Grande National Forest,1,5
