date,organization,count,rn
2020-02-06,Bloomberg,1,1
2020-02-06,British Airways To United Airlines,1,2
2020-02-06,British Fashion Council,1,3
2020-02-06,Burberry,1,4
2020-02-06,Capri Holdings,1,5
2020-02-06,Community Team,1,6
2020-02-06,Fitch Solutions,1,7
2020-02-06,Instagram,1,8
2020-02-06,International Brand Ambassador,1,9
2020-02-06,Nordstrom,1,10
2020-02-06,Red Cross Foundation,1,11
2020-02-06,Swatch Group,1,12
2020-02-06,World Health Organisation,1,13
2020-02-14,Centers For Disease,2,1
2020-02-14,Health Department,2,2
2020-02-14,Network New York,2,3
2020-02-14,Pascack Community Center,2,4
2020-02-14,Twitter,2,5
2020-02-14,United States,2,6
2020-02-17,Alumni Affairs,1,1
2020-02-17,Columbia College Student Council,1,2
2020-02-17,Committee On Art Properties,1,3
2020-02-17,Communications Blessing Utomi,1,4
2020-02-17,Disability Services,1,5
2020-02-17,International Students,1,6
2020-02-17,Law Society,1,7
2020-02-17,Lerner Party Space,1,8
2020-02-17,Presidential Advisory Committee On Sexual Assault,1,9
2020-02-17,Task Force On Inclusion,1,10
2020-02-17,University Senate,1,11
2020-02-26,Department Of Health,1,7
2020-02-26,University Of Nebraska Medical Center,2,5
2020-02-26,York State Health Department,2,6
2020-02-26,Centers For Disease,4,1
2020-02-26,Health Department,4,2
2020-02-26,Network New York,4,3
2020-02-26,United States,4,4
2020-02-27,York State Team,1,6
2020-02-27,Department Of Health,2,4
2020-02-27,Network New York,2,5
2020-02-27,Centers For Disease,3,1
2020-02-27,Health Department,3,2
2020-02-27,United States,3,3
2020-02-28,A New York Police Department,1,1
2020-02-28,Assembly Speaker Carl Heastie,1,2
2020-02-28,Barnard College,1,3
2020-02-28,Centers For Disease,1,4
2020-02-28,City Council,1,5
2020-02-28,Department Of Education,1,6
2020-02-28,Education Department,1,7
2020-02-28,Panel For Education,1,8
2020-02-28,Panel For Educational,1,9
2020-02-28,Schools Association,1,10
2020-02-28,Senate Majority Leader Andrea Stewart,1,11
2020-02-28,Success Academy,1,12
2020-02-28,Tuition Assistance Program,1,13
2020-02-28,Twitter,1,14
2020-02-28,United States,1,15
2020-03-04,Governor Office,1,1
2020-03-04,University At Buffalo,1,2
2020-03-05,Bloomberg,1,2
2020-03-05,Junior,1,3
2020-03-05,National Security Adviser John Bolton,1,4
2020-03-05,Nytimes,1,5
2020-03-05,Pennsylvania Medical Society On,1,6
2020-03-05,Reuters,1,7
2020-03-05,Senate Democratic,1,8
2020-03-05,Senate Democrats,1,9
2020-03-05,Senate Majority,1,10
2020-03-05,Senate Majority Leader Mitch Mcconnell,1,11
2020-03-05,Senate Republican,1,12
2020-03-05,Senate Republican On,1,13
2020-03-05,Senate Republicans,1,14
2020-03-05,Senate Top Job,1,15
2020-03-05,Supreme Court,1,16
2020-03-05,Top Senate Democrat,1,17
2020-03-05,Top Senate Democrat Schumer,1,18
2020-03-05,Traffic Safety Administration,1,19
2020-03-05,Us Senate Majority Leader Mitch Mcconnell,1,20
