date,organization,count,rn
2020-04-07,Youtube,1,1
2020-04-17,Information Office,1,1
2020-04-17,Oklahoma State Department Of Health,1,2
2020-04-17,United States,1,3
2020-05-22,Cloud Peak Energy Spring Creek,1,4
2020-05-22,Associated Press,2,3
2020-05-22,Morris,5,1
2020-05-22,National Mining Association,5,2
2020-05-23,Morris,1,1
2020-05-23,National Mining Association,1,2
2020-05-24,Anadarko,1,1
2020-05-24,Arlington National Cemetery,1,2
2020-05-24,Carlisle Indian Industrial School,1,3
2020-05-24,Crow Agency,1,4
2020-05-24,National Museum Of The American Indian,1,5
2020-05-24,Santa Fe National Cemetery,1,6
2020-05-24,United States,1,7
2020-05-25,Morris,1,1
2020-05-25,National Mining Association,1,2
