date,organization,count,rn
2020-03-03,United International College In Zhuhai,1,1
2020-04-06,Lifecare Medical Center,1,1
2020-04-06,Minnesota Department Of Health,1,2
2020-04-06,Roseau Lifecare Public Health,1,3
2020-04-18,Assembly Of First Nations,1,1
2020-04-18,Canadian Border Service Agency,1,2
2020-04-18,Indigenous Services,1,3
2020-04-18,Indigenous Services Canada,1,4
2020-04-18,Institute For Investigative Journalism,1,5
2020-04-18,Ryerson University,1,6
2020-05-03,Dakota State University,1,1
2020-05-03,Department Of Labor,1,2
2020-05-03,John Deere Electronic Solutions,1,3
2020-05-04,Dakota State University,1,1
2020-05-04,Department Of Labor,1,2
2020-05-04,John Deere Electronic Solutions,1,3
2020-05-07,Roseau City Council,1,1
2020-05-07,Roseau City Council On,1,2
2020-05-10,College Of The Holy Cross,1,1
2020-05-10,Marvin Companies,1,2
2020-05-10,Minnesota Chamber,1,3
2020-05-10,National Association Of Home Builders,1,4
2020-05-10,National Institute Of Allergy,1,5
2020-05-10,United States,1,6
2020-06-07,Drug Administration,2,1
2020-06-07,Life Care Medical Center,2,2
2020-06-07,M Health,2,3
2020-06-07,Sanford Medical Center,2,4
2020-06-07,United States,2,5
2020-06-07,University Of Minnesota,2,6
2020-06-07,University Of Wisconsin,2,7
