date,organization,count,rn
2020-03-02,Centers For Disease Control,1,1
2020-03-02,Counseling Health Services Center,1,2
2020-03-02,Credit Morehead State University,1,3
2020-03-02,Family Services,1,4
2020-03-02,Health Center,1,5
2020-03-02,Human Services,1,6
2020-03-02,Kentucky Cabinet For Health,1,7
2020-03-02,Morehead State University,1,8
2020-03-02,Office Of The Governor,1,9
2020-03-02,United States,1,10
2020-03-09,Applications For The Livingstone College,1,1
2020-03-09,Blue Ridge Hiking Company,1,2
2020-03-09,Brewing Company,1,3
2020-03-09,Carolina Small Business Development Fund,1,4
2020-03-09,Center City,1,5
2020-03-09,Charlotte Regional Business Alliance,1,6
2020-03-09,Clean Fuel Advanced Technology,1,7
2020-03-09,Crowne Plaza,1,8
2020-03-09,Davidson College,1,9
2020-03-09,Davidson Venture Fund,1,10
2020-03-09,Device Solutions,1,11
2020-03-09,Dualboot Partners Co,1,12
2020-03-09,Elliot University Center,1,13
2020-03-09,Expo Center,1,14
2020-03-09,Flatiron School,1,15
2020-03-09,Highland Brewing Company,1,16
2020-03-09,Innovation Entrepreneurship Center,1,17
2020-03-09,Innovator Journey Program,1,18
2020-03-09,Linkedin,1,19
2020-03-09,Nc Department Of Transportation,1,20
2020-03-09,Network For Entrepreneurs,1,21
2020-03-09,Product Technology Strategy Tony Sammarco,1,22
2020-03-09,Queens University Of Charlotte,1,23
2020-03-09,Queens University Of Charlotte Pitch Competition,1,24
2020-03-09,Your Firm,1,25
2020-03-09,Ywca,1,26
2020-03-10,Centers For Disease,1,1
2020-03-10,Harvard University,1,2
2020-03-10,Health Notice,1,3
2020-03-10,Indiana University,1,4
2020-03-10,Morehead State University,1,5
2020-03-10,Murray State University,1,6
2020-03-10,Northern Kentucky University,1,7
2020-03-10,Princeton University,1,8
2020-03-10,Spalding University In Louisville,1,9
2020-03-10,University Of Kentucky,1,10
2020-03-10,University Of Louisville,1,11
2020-03-11,Kentucky University,2,6
2020-03-11,Berea College,3,1
2020-03-11,Morehead State University,3,2
2020-03-11,University Of Kentucky,3,3
