date,organization,count,rn
2020-03-13,Reformation Lutheran Church,1,1
2020-03-22,Catholic Church,1,1
2020-03-22,Lutheran Church,1,2
2020-03-22,United States,1,3
2020-03-22,University African Methodist Episcopal Zion Church,1,4
2020-04-03,Baptist Church,1,1
2020-04-03,Church Without Walls,1,2
2020-04-03,Community Of Faith,1,3
2020-04-03,Gloria Dei Lutheran Church,1,4
2020-04-03,Lighthouse Church,1,5
2020-04-03,Word Lutheran Church,1,6
2020-04-05,Americans United For The Separation Of Church,1,1
2020-04-05,Hobby Lobby,1,2
2020-04-05,Lake Park Baptist Church,1,3
2020-04-05,Life Tabernacle Church,1,4
2020-04-05,Lutheran Church,1,5
2020-04-05,Supreme Court,1,6
2020-04-05,Texas College Of Law,1,7
2020-04-25,Texas Department Of State Health Services,1,1
2020-04-27,Cnn,1,1
2020-04-27,Geneva High School,1,2
2020-04-27,Saugus High School In Santa Clarita,1,3
2020-04-27,Walmart,1,4
2020-04-29,Child Care Associates,1,1
2020-04-29,Our Savior Lutheran Church,1,2
2020-04-29,Texas Workforce Commission,1,3
2020-04-30,Child Care Associates,1,1
2020-04-30,Our Savior Lutheran Church,1,2
2020-04-30,Texas Workforce Commission,1,3
2020-05-08,Event Center,1,1
2020-05-08,Facebook,1,2
2020-05-08,Faith Lutheran Church,1,3
2020-05-08,First Baptist Church,1,4
2020-05-08,First Presbyterian Church,1,5
2020-05-08,First United Methodist Church,1,6
2020-05-08,Hillcrest Church,1,7
2020-05-08,Nan,1,8
2020-05-08,Texoma Bible Fellowship Church,1,9
2020-05-08,Valley View Church,1,10
2020-05-08,Women Ministry,1,11
2020-05-08,Youtube,1,12
2020-05-27,Associated Press,1,8
2020-05-27,Religion News Foundation,1,9
2020-05-27,Diocese Of Knoxville,3,1
2020-05-27,Light Of Christ Lutheran Church,3,2
2020-05-27,Lutheran Church,3,3
2020-05-27,Mccabe United Methodist Church,3,4
2020-05-27,Memorial Lutheran Church,3,5
2020-05-27,New York Times,3,6
2020-05-27,United States,3,7
2020-05-28,Ap National Writer,1,9
2020-05-28,Religion News Foundation,1,10
2020-05-28,Associated Press,3,8
2020-05-28,Diocese Of Knoxville,6,1
2020-05-28,Light Of Christ Lutheran Church,6,2
2020-05-28,Lutheran Church,6,3
2020-05-28,Mccabe United Methodist Church,6,4
2020-05-28,Memorial Lutheran Church,6,5
2020-05-28,New York Times,6,6
2020-05-28,United States,6,7
2020-05-29,Diocese Of Knoxville,1,1
2020-05-29,Light Of Christ Lutheran Church,1,2
2020-05-29,Lutheran Church,1,3
2020-05-29,Mccabe United Methodist Church,1,4
2020-05-29,Memorial Lutheran Church,1,5
2020-05-29,New York Times,1,6
2020-05-29,United States,1,7
2020-05-30,Diocese Of Knoxville,1,1
2020-05-30,Light Of Christ Lutheran Church,1,2
2020-05-30,Lutheran Church,1,3
2020-05-30,Mccabe United Methodist Church,1,4
2020-05-30,Memorial Lutheran Church,1,5
2020-05-30,New York Times,1,6
2020-05-30,United States,1,7
