date,organization,count,rn
2020-03-05,Infectious Diseases Society Of America,2,1
2020-03-05,Johns Hopkins University,2,2
2020-03-05,Mcdonald,2,3
2020-03-05,Rutherford Emergency Medical Services,2,4
2020-03-05,Summa Health,2,5
2020-03-05,Tennessee Department Of Health,2,6
2020-03-05,Tennessee State University,2,7
2020-03-05,United States,2,8
2020-03-05,World Health Organization,2,9
2020-03-05,Youtube,2,10
2020-03-08,Board Of Health,1,1
2020-03-08,Department Of Health,1,2
2020-03-08,Health Dr,1,3
2020-03-08,Mero Department Of Public Health,1,4
2020-03-08,Vanderbilt University,1,5
2020-03-11,Centers For Disease,1,1
2020-03-11,Health Building,1,2
2020-03-11,National Foundation,1,3
2020-03-11,Tennessee Community College,1,4
2020-03-11,University Of Tennessee,1,5
2020-03-11,Vanderbilt University,1,6
2020-03-12,Facebook,1,1
2020-03-12,Tennessee Department Of Education,1,2
2020-03-13,Adult Detention Center,1,13
2020-03-13,Correction Development Center,1,14
2020-03-13,Correctional Center,1,15
2020-03-13,Detention Center,1,16
2020-03-13,Hill Detention Center,1,17
2020-03-13,National Association Of Criminal Defense Lawyers,1,18
2020-03-13,Rutherford Co,1,19
2020-03-13,Tennessee Association Of Criminal Defense Lawyers,1,20
2020-03-13,Tennessee Department Of Correction,1,21
2020-03-13,Tennessee Supreme Court On,1,22
2020-03-13,Centers For Disease,2,9
2020-03-13,Department Of Health,2,10
2020-03-13,Tn Supreme Court,2,11
2020-03-13,World Health Organization,2,12
2020-03-13,Tennessee Department Of Health,3,8
2020-03-13,Court Order,4,5
2020-03-13,Department Of Human Services,4,6
2020-03-13,Smithsonian,4,7
2020-03-13,Associated Press,8,3
2020-03-13,Department Of Children Services,8,4
2020-03-13,Tennessee Supreme Court,9,2
2020-03-13,Supreme Court,11,1
2020-03-14,Blackman High School,1,6
2020-03-14,Department Of Children Services,1,7
2020-03-14,Student Health Services,1,8
2020-03-14,Student Union Building,1,9
2020-03-14,Tennessee State University,1,10
2020-03-14,Tennessee Supreme Court,1,11
2020-03-14,Associated Press,2,3
2020-03-14,Department Of Health,2,4
2020-03-14,Smithsonian,2,5
2020-03-14,Department Of Human Services,4,1
2020-03-14,Supreme Court,4,2
2020-03-15,Associated Press,1,7
2020-03-15,Department Of Children Services,2,2
2020-03-15,Department Of Human Services,2,3
2020-03-15,Smithsonian,2,4
2020-03-15,Tennessee Department Of Health,2,5
2020-03-15,Tennessee Department Of Justice,2,6
2020-03-15,Supreme Court,4,1
2020-03-16,Associated Press,1,1
2020-03-16,Centers For Disease,1,2
2020-03-16,Department Of Human Services,1,3
2020-03-16,Discovery School,1,4
2020-03-16,Food Service Program,1,5
2020-03-16,Nourish Food Bank,1,6
2020-03-16,Olive Branch Bakery,1,7
2020-03-16,Smithsonian,1,8
2020-03-16,Supreme Court,1,9
2020-03-17,Board Of Trustees,1,1
2020-03-17,Department Of Children Services,1,2
2020-03-17,Event Center,1,3
2020-03-17,Justice Center,1,4
2020-03-17,Nan,1,5
2020-03-17,Outdoor Activity Center,1,6
2020-03-17,Ryman,1,7
2020-03-17,Tennessee State University,1,8
2020-03-17,Tennessee Supreme Court,1,9
2020-03-17,Vergne City Court,1,10
2020-03-17,Vergne Senior Center,1,11
2020-03-18,Community Helpers,1,6
2020-03-18,First Cumberland Presbyterian Church,1,7
2020-03-18,Nourish Food Bank,1,8
2020-03-18,Citytv,2,4
2020-03-18,Facebook,2,5
2020-03-18,Centers For Disease,3,2
2020-03-18,Youtube,3,3
2020-03-18,Tennessee Department Of Health,4,1
2020-03-19,Tennessee Department Of Health,2,1
2020-03-19,Tennessee State University,2,2
2020-03-19,Thurman Francis Arts Academy,2,3
2020-03-20,Census Bureau,1,1
2020-03-20,Census Complete Count Committee,1,2
2020-03-20,Center Parkway,1,3
2020-03-20,Community Quick Care,1,4
2020-03-20,Department Of Children Services,1,5
2020-03-20,S Church St,1,6
2020-03-20,Signature Health,1,7
2020-03-20,Tennessee Department Of Health,1,8
2020-03-20,Tennessee State University,1,9
2020-03-20,Tennessee Supreme Court,1,10
2020-03-20,Urgent Team,1,11
2020-03-21,Centers For Disease,1,4
2020-03-21,High School,1,5
2020-03-21,Mcdonald,1,6
2020-03-21,Tennessee Emergency Management Agency,2,2
2020-03-21,Tennessee Health Department,2,3
2020-03-21,Tennessee Department Of Health,4,1
2020-03-22,Adventhealth Medical Group,1,6
2020-03-22,Buncombe County Health,1,7
2020-03-22,Carolina Department Of Health,1,8
2020-03-22,Carolina Va Health Care System,1,9
2020-03-22,Charles George Va Medical Center,1,10
2020-03-22,Citytv,1,11
2020-03-22,Community Based Outpatient Clinics Cbocs In Franklin,1,12
2020-03-22,Human Services,1,13
2020-03-22,Mission Health,1,14
2020-03-22,Public Health,1,15
2020-03-22,Tennessee Health Department,1,16
2020-03-22,Old Supreme Court Chamber,2,3
2020-03-22,Union City,2,4
2020-03-22,Williamson Medical Center,2,5
2020-03-22,Alcoa,4,2
2020-03-22,Tennessee Department Of Health,6,1
2020-03-23,Centers For Disease,1,4
2020-03-23,Charles George Va Medical Center,1,5
2020-03-23,Nan,1,6
2020-03-23,Department Of Human Services,2,1
2020-03-23,Stones Academy,2,2
2020-03-23,Tennessee Department Of Health,2,3
2020-03-24,Administrative Office Of The Courts,1,14
2020-03-24,Budget Committee,1,15
2020-03-24,Carter Drug,1,16
2020-03-24,Census Bureau,1,17
2020-03-24,Census Complete Count Committee,1,18
2020-03-24,Fedex,1,19
2020-03-24,Food Service,1,20
2020-03-24,Health Department,1,21
2020-03-24,Health Guidance,1,22
2020-03-24,Nan,1,23
2020-03-24,National Guard,1,24
2020-03-24,Office Of Governor,1,25
2020-03-24,Supreme Court,1,26
2020-03-24,Tennessee National Guard,1,27
2020-03-24,Walgreen,1,28
2020-03-24,Walmart,1,29
2020-03-24,Austin Peay State University,2,2
2020-03-24,City Court,2,3
2020-03-24,Citytv,2,4
2020-03-24,College System Of Tennessee,2,5
2020-03-24,Tennessee Colleges Of Applied Technology At Elizabethton,2,6
2020-03-24,Tennessee Department Of Health,2,7
2020-03-24,Tennessee Emergency Management Agency,2,8
2020-03-24,Tennessee Higher Education Commission,2,9
2020-03-24,Tennessee Supreme Court,2,10
2020-03-24,Tennessee Technological University,2,11
2020-03-24,University Of Memphis,2,12
2020-03-24,University Of Tennessee,2,13
2020-03-24,Tennessee State University,3,1
2020-03-25,Carolina State Lab,1,1
2020-03-25,Centers For Disease,1,2
2020-03-25,Foothills Health District,1,3
2020-03-25,Kidsenses Children Interactive Museum,1,4
2020-03-26,Centers For Disease,1,1
2020-03-26,Facebook,1,2
2020-03-26,Genetworx Laboratory,1,3
2020-03-26,Health Department,1,4
2020-03-26,Lipscomb University,1,5
2020-03-26,Quest Laboratory,1,6
2020-03-26,Senior Activity Center,1,7
2020-03-26,Stonecrest Medical Center,1,8
2020-03-26,Tennessee Department Of Health,1,9
2020-03-26,Vanderbilt University,1,10
2020-03-26,Youtube,1,11
