date,organization,count,rn
2020-02-01,Facebook,1,3
2020-02-01,Instagram,1,4
2020-02-01,Twitter,1,5
2020-02-01,Senate Republicans,2,1
2020-02-01,White House,2,2
2020-02-04,Iowa Democratic Party,1,1
2020-02-09,Facebook,1,2
2020-02-09,Instagram,1,3
2020-02-09,Senate Republicans,1,4
2020-02-09,Twitter,1,5
2020-02-09,White House,2,1
2020-02-10,Democratic Party,1,1
2020-02-10,Department Of Justice,1,2
2020-02-10,Facebook,1,3
2020-02-10,Institute Of Politics,1,4
2020-02-10,Technology Network,1,5
2020-02-10,Twitter,1,6
2020-02-11,Facebook,1,1
2020-02-11,New York Times,1,2
2020-02-11,Saint Anselm College In Manchester,1,3
2020-02-11,Xinhua News Agency,1,4
2020-02-12,American Federation Of Teachers,1,1
2020-02-12,Associated Press,1,2
2020-02-12,Freedom Business Foundation,1,3
2020-02-12,Gun Safety Support Fund,1,4
2020-02-12,Imperial College London,1,5
2020-02-12,Justice Department,1,6
2020-02-12,National Education Association,1,7
2020-02-12,Tyson Foods,1,8
2020-02-12,University Of Chicago,1,9
2020-02-12,White House,1,10
2020-02-12,World Health Organization,1,11
2020-02-14,Associated Press,1,1
2020-02-14,Facebook,1,2
2020-02-14,Instagram,1,3
2020-02-14,Integrative Health,1,4
2020-02-14,Libertarian Senate,1,5
2020-02-14,National Center,1,6
2020-02-14,Twitter,1,7
2020-02-15,Associated Press,1,1
2020-02-15,Daughters Of Charity,1,2
2020-02-15,Facebook,1,3
2020-02-15,Instagram,1,4
2020-02-15,Integrative Health,1,5
2020-02-15,Libertarian Senate,1,6
2020-02-15,National Center,1,7
2020-02-15,Twitter,1,8
2020-02-15,White House,1,9
2020-02-18,Chinese National Health Commission,1,21
2020-02-18,Egypt International Christian Concern,1,22
2020-02-18,International Christian Concern,1,23
2020-02-18,United States,1,24
2020-02-18,White House Historical Association,1,25
2020-02-18,A New York Police Department,2,1
2020-02-18,Boy Scouts,2,2
2020-02-18,Boy Scouts Of America,2,3
2020-02-18,Californiavandenberg Air Force,2,4
2020-02-18,China University Of Technology,2,5
2020-02-18,Church Cardinal Joseph Zen,2,6
2020-02-18,Department Of Defense,2,7
2020-02-18,Department Of Homeland Security,2,8
2020-02-18,Facebook,2,9
2020-02-18,Fox Business Network,2,10
2020-02-18,Goldman Sachs,2,11
2020-02-18,Jp Morgan Chase,2,12
2020-02-18,New York Post,2,13
2020-02-18,Senate Foreign Relations,2,14
2020-02-18,Trinity College,2,15
2020-02-18,Trump Administration,2,16
2020-02-18,United States Air Force,2,17
2020-02-18,United States Space Force,2,18
2020-02-18,Vandenberg Air Force,2,19
2020-02-18,White House,2,20
2020-02-20,Braun,1,13
2020-02-20,United Nations,1,14
2020-02-20,Associated Press,2,1
2020-02-20,Bloomberg,2,2
2020-02-20,Boy Scouts,2,3
2020-02-20,Boy Scouts Of America,2,4
2020-02-20,China National Health Commission,2,5
2020-02-20,Democratic National Committee,2,6
2020-02-20,Democratic Party,2,7
2020-02-20,Ecuadorian Embassy,2,8
