date,organization,count,rn
2020-03-19,Council Clerk Sherrell Jordan,1,1
2020-03-19,Council On,1,2
2020-03-19,Health Systems Administrator Kenneth Cochran,1,3
2020-03-19,Landry Parish Council,1,4
2020-03-19,Louisiana Department Of Health,1,5
2020-03-24,Community Care,1,1
2020-03-24,Joseph Health,1,2
2020-04-02,Army Corps Of Engineers,1,1
2020-04-02,Lake Pontchartrain Basin Foundation,1,2
2020-04-02,Mississippi Department Of Marine Resources,1,3
2020-04-15,Development Centers,1,1
2020-04-15,Drug Administration,1,2
2020-04-15,Girl Scouts,1,3
2020-04-15,Henry Ford Health System,1,4
2020-04-15,United States,1,5
2020-04-27,Bon Air Juvenile Correctional Center,1,1
2020-04-27,Department Of Juvenile Justice,1,2
2020-04-27,Law Center,1,3
2020-04-27,Legal Aid Justice Center,1,4
2020-04-27,Louisiana Center,1,5
2020-04-27,Maryland Court,1,6
2020-04-27,Swanson Center,1,7
2020-04-27,Virginia Department Of Juvenile Justice,1,8
2020-04-27,Virginia Indigent Defense Commission,1,9
2020-05-22,Good Samaritan Food Bank,1,1
2020-05-22,Mary Council On,1,2
2020-05-22,Terrebonne Churches United Good Samaritan Food Bank,1,3
2020-05-22,Terrebonne Council On,1,4
