date,organization,count,rn
2020-02-16,House Judiciary Committee,1,1
2020-02-16,Mimi Stewart Senate,1,2
2020-02-16,Revenue Committee,1,3
2020-02-16,Senate Resolution,1,4
2020-03-01,Centers For Disease,1,1
2020-03-01,Mexico Department Of Health,1,2
2020-03-01,Mexico Department Of Health On,1,3
2020-03-01,University Of New Mexico,1,4
2020-03-05,Nan,1,1
2020-03-16,Mexico Public Health Department,1,1
2020-03-17,Community Centers,2,1
2020-03-17,Lincoln Middle School,2,2
2020-03-17,Mexico Department Of Veterans Services,2,3
2020-03-17,Mexico Department Of Workforce Solutions,2,4
2020-03-17,Mexico Gas Company,2,5
2020-03-17,Presbyterian Healthcare Services,2,6
2020-03-17,Rust Presbyterian Medical Center,2,7
2020-03-17,Veterans Service Officers,2,8
2020-03-18,Arizona Department Of Health,1,2
2020-03-18,Facebook,1,3
2020-03-18,Journal Center,1,4
2020-03-18,Tamaya Enterprises Board Of Directors,1,5
2020-03-18,Department Of Health,2,1
2020-03-19,Mexico Department Of Workforce Solutions,1,1
2020-03-19,Mexico State University,1,2
2020-03-20,Extinction Party,1,6
2020-03-20,Mexico Department Of Health,1,7
2020-03-20,Sam Club,1,8
2020-03-20,United States,1,9
2020-03-20,World Health Organization,1,10
2020-03-20,Associated Press,2,2
2020-03-20,Corrections Department,2,3
2020-03-20,District Court,2,4
2020-03-20,Mexico Criminal Defense Lawyers Association,2,5
2020-03-20,Supreme Court,4,1
2020-03-23,Democratic Party,1,1
2020-03-23,Facebook,1,2
2020-03-25,Bureau Of Indian Affairs,1,1
2020-03-25,Defense Lawyers Association,1,2
2020-03-29,American Medical Association Dr,1,1
2020-03-29,Democratic Party,1,2
2020-03-29,Facebook,1,3
2020-03-29,National Guard,1,4
2020-03-29,Reuters,1,5
2020-03-29,United States,1,6
2020-04-03,Extinction Party,1,1
2020-04-03,Mexico Department Of Health,1,2
2020-04-03,Sam Club,1,3
2020-04-03,United States,1,4
2020-04-03,World Health Organization,1,5
2020-04-04,Associated Press,1,1
2020-04-04,Human Services,1,2
2020-04-04,Mexico Department Of Transportation,1,3
2020-04-04,National Guard,1,4
2020-04-04,Workforce Solutions Department,1,5
2020-04-05,Intel,1,2
2020-04-05,Kearny Elementary School,1,3
2020-04-05,Mexico School For The Deaf,1,4
2020-04-05,Public Education Department,1,5
2020-04-05,Rio Grande Consortium,1,6
2020-04-05,Thomson,1,7
2020-04-05,Youtube,2,1
2020-04-06,Mexico Environment Department,1,1
2020-04-07,Environment Department,1,1
2020-04-07,Facebook,1,2
2020-04-07,Indian Affairs Department,1,3
2020-04-07,Indian Health Service,1,4
2020-04-07,Mexico Department Of Health,1,5
2020-04-07,Mexico Environment Department,1,6
2020-04-07,Pueblo Council Of Governors,1,7
2020-04-07,Zia Office Of The Governor,1,8
2020-04-08,Centers For Disease,1,2
2020-04-08,Emergency Operations Center,1,3
2020-04-08,Gallup Indian Medical Center,1,4
2020-04-08,Glacier National Park,1,5
2020-04-08,Governor Office,1,6
2020-04-08,Health Department,1,7
2020-04-08,Human Services,1,8
2020-04-08,Human Services Department,1,9
2020-04-08,Indian Health Service,1,10
2020-04-08,Mexico Department Of Health,1,11
2020-04-08,Mexico State Police,1,12
2020-04-08,Montana Free,1,13
2020-04-08,New York Times,1,14
2020-04-08,Senate Committee On Indian Affairs,1,15
2020-04-08,Supreme Court,1,16
2020-04-08,Yellowstone National Park,1,17
2020-04-08,Department Of Health,3,1
2020-04-09,Department Of Health,1,1
2020-04-09,Emergency Operations Center,1,2
2020-04-09,Mexico Department Of Health,1,3
2020-04-10,Nan,1,1
2020-04-11,Department Of Health,1,1
2020-04-11,Human Services,1,2
2020-04-11,Human Services Department,1,3
2020-04-11,Supreme Court Justice David Thomson,1,4
2020-04-12,Cnn,1,1
2020-04-12,Democratic Party,1,2
2020-04-12,Mexico National Guard,1,3
2020-04-16,Energy Transition,1,1
2020-04-16,Indian Health Service,1,2
2020-04-16,United States,1,3
2020-04-17,Associated Press,1,5
2020-04-17,Democratic Party,1,6
2020-04-17,Election Commission,2,1
2020-04-17,Election Commission On,2,2
2020-04-17,Facebook,2,3
2020-04-17,Supreme Court,2,4
2020-04-18,Associated Press,1,5
2020-04-18,Democratic Party,1,6
2020-04-18,Election Commission,2,1
2020-04-18,Election Commission On,2,2
2020-04-18,Facebook,2,3
2020-04-18,Supreme Court,2,4
2020-04-21,American Media,1,1
2020-04-21,Cnn,1,2
2020-04-21,Navajo Council Delegate Amber Crotty,1,3
2020-04-21,United States,1,4
2020-04-22,Coronavirus Community,1,1
2020-04-22,Mexico Daybook For,1,2
2020-04-22,Recovery Fund,1,3
2020-04-23,Police Department,1,1
2020-04-24,Agora Crisis Center,1,6
2020-04-24,Amanda Country Store In La Cueva,1,7
2020-04-24,Associated Press,1,8
2020-04-24,Attachment Healing Center,1,9
2020-04-24,Center To Treat,1,10
2020-04-24,Centers For Disease,1,11
2020-04-24,Clean Harbors Environmental Services Inc,1,12
2020-04-24,Construction Services,1,13
2020-04-24,Energy Transition,1,14
2020-04-24,Gadsden Independent School District,1,15
2020-04-24,Gibson Medical Center,1,16
2020-04-24,Human Services,1,17
2020-04-24,Human Services Department,1,18
2020-04-24,Institute For Medieval,1,19
2020-04-24,Land Office,1,20
2020-04-24,Life Care Center,1,21
2020-04-24,Luke Air Force,1,22
2020-04-24,Mexico Behavioral Health Collaborative,1,23
2020-04-24,Mexico Department Of Game,1,24
2020-04-24,Mexico Department Of Health,1,25
2020-04-24,Mexico Department Of Workforce Solutions,1,26
