date,organization,count,rn
2020-03-07,Centers For Disease,1,1
2020-03-07,Utah Department Of Health,1,2
2020-03-08,Centers For Disease,1,1
2020-03-08,Utah Department Of Health,1,2
2020-03-13,Our Department,1,1
2020-03-13,Utah Coronavirus Task,1,2
2020-03-13,Utah Department Of Corrections,1,3
2020-03-16,Department Of Commerce,1,1
2020-03-16,Our Division Of Consumer Protection,1,2
2020-03-16,Utah Department Of Commerce,1,3
2020-03-16,Utah Division Of Consumer Protection,1,4
2020-03-17,Brigham Young University,1,1
2020-03-17,Centers For Disease,1,2
2020-03-17,Entheos Academy,1,3
2020-03-17,Hunter High School,1,4
2020-03-17,Westminster College,1,5
2020-03-18,Can Utah Health Care Facilities,1,15
2020-03-18,Cnn,1,16
2020-03-18,Community Task,1,17
2020-03-18,Flights To Salt Lake International Airport,1,18
2020-03-18,Us Geological,1,19
2020-03-18,Utah Department Of Transportation,1,20
2020-03-18,Utah Division Of Emergency Management,1,21
2020-03-18,White House,1,22
2020-03-18,Centers For Disease,2,4
2020-03-18,Health Care Groups,2,5
2020-03-18,Health Human Services,2,6
2020-03-18,Human Services,2,7
2020-03-18,Jordan Valley Medical Center,2,8
2020-03-18,Mountain Point Medical Center,2,9
2020-03-18,Mountain West Medical Center,2,10
2020-03-18,Northpointe Ambulatory Surgical Center,2,11
2020-03-18,Steward Health Care,2,12
2020-03-18,Twitter,2,13
2020-03-18,Utah Hospital Association,2,14
2020-03-18,Department Of Health,3,1
2020-03-18,United States,3,2
2020-03-18,Utah Department Of Health,3,3
2020-03-20,Costco,1,7
2020-03-20,Food Stores,1,8
2020-03-20,Public Health Order On,1,9
2020-03-20,Southeast Utah Health Department On,1,10
2020-03-20,District Court,2,3
2020-03-20,Economic Response Task,2,4
2020-03-20,White House,2,5
2020-03-20,Zions Bank,2,6
2020-03-20,Twitter,4,2
2020-03-20,Utah Department Of Health,6,1
2020-03-21,District Court,1,1
2020-03-21,Health Department Order,1,2
2020-03-21,Utah Department Of Health,1,3
2020-03-22,Bureau Of Prisons,1,1
2020-03-22,Centers For Disease,1,2
2020-03-22,Cnn,1,3
2020-03-22,Detention Center,1,4
2020-03-22,Emergency Management Agency,1,5
2020-03-22,Federal Reserve,1,6
2020-03-22,Korean Central News Agency,1,7
2020-03-22,Senate Majority Leader Mitch Mcconnel,1,8
2020-03-22,Senate Majority Leader Mitch Mcconnell,1,9
2020-03-22,Senate Minority Leader Charles Schumer,1,10
2020-03-22,Senate Minority Leader Chuck Schumer,1,11
2020-03-22,Senate Republicans,1,12
2020-03-22,Twitter,1,13
2020-03-22,Union Cnnsotu,1,14
2020-03-22,United States,1,15
2020-03-22,White House,1,16
2020-03-23,Bureau Of Prisons,1,17
2020-03-23,Centers For Disease,3,1
2020-03-23,Cnn,3,2
2020-03-23,Detention Center,3,3
2020-03-23,Emergency Management Agency,3,4
2020-03-23,Federal Reserve,3,5
2020-03-23,Korean Central News Agency,3,6
2020-03-23,Senate Majority Leader Mitch Mcconnel,3,7
2020-03-23,Senate Majority Leader Mitch Mcconnell,3,8
2020-03-23,Senate Minority Leader Charles Schumer,3,9
2020-03-23,Senate Minority Leader Chuck Schumer,3,10
2020-03-23,Senate Republicans,3,11
2020-03-23,Telemundo,3,12
2020-03-23,Twitter,3,13
2020-03-23,Union Cnnsotu,3,14
2020-03-23,United States,3,15
2020-03-23,White House,3,16
2020-03-25,Department Of Justice,1,1
2020-03-25,Libertas Institute,1,2
2020-03-25,Transportation Security Administration,1,3
2020-03-25,United States,1,4
2020-03-25,Utah Avalanche Center,1,5
2020-03-25,Utah Department Of Health,1,6
2020-03-26,Centers For Disease,1,1
2020-03-26,Dell Loy Hansen Family Foundation,1,2
2020-03-26,Dixie State University,1,3
2020-03-26,Family Justice Center,1,4
2020-03-26,Lumina Foundation,1,5
2020-03-26,Orem Police,1,6
2020-03-26,Snow College,1,7
2020-03-26,Southern Utah University,1,8
2020-03-26,University Of Utah,1,9
2020-03-26,Utah Chiefs Of Police Association,1,10
2020-03-26,Utah Domestic Violence Coalition,1,11
2020-03-26,Utah State University,1,12
2020-03-26,Utah Valley University,1,13
2020-03-26,Weber State University,1,14
2020-03-26,Ywca,1,15
2020-03-27,Dixie State University,1,1
2020-03-27,Lumina Foundation,1,2
2020-03-27,Salt Lake Community College,1,3
2020-03-27,Snow College,1,4
2020-03-27,Southern Utah University,1,5
2020-03-27,University Of Utah,1,6
2020-03-27,Utah State University,1,7
2020-03-27,Utah Valley University,1,8
2020-03-27,Weber State University,1,9
2020-03-28,Mcdonald,1,1
2020-03-28,University Of Utah Hospital,1,2
2020-03-28,Utah Coronavirus Task,1,3
2020-03-29,San Juan Public Health Department,1,1
2020-04-01,National Instant Criminal Background Check System,1,1
2020-04-01,United States,1,2
2020-04-02,Associated Press,1,3
2020-04-02,National Instant Criminal Background Check System,2,1
2020-04-02,United States,2,2
2020-04-03,Associated Press,1,3
2020-04-03,National Instant Criminal Background Check System,2,1
2020-04-03,United States,2,2
2020-04-05,Nan,1,1
2020-04-07,National Instant Criminal Background Check System,1,1
2020-04-07,United States,1,2
2020-04-08,Associated Press,1,1
2020-04-08,Detroit Police Department,1,2
2020-04-08,Office Of The Governor,1,3
2020-04-08,United States,1,4
2020-04-08,Worth Police Officers Association,1,5
2020-04-08,Young,1,6
2020-04-09,Community Task,1,1
2020-04-09,Nan,1,2
2020-04-09,Twitter,1,3
2020-04-09,Utah Department Of Health,1,4
2020-04-10,Nan,1,2
2020-04-10,Police Department,1,3
2020-04-10,Salt Lake Police Detective Greg Wilking,1,4
2020-04-10,Utah Department Of Corrections,1,5
2020-04-10,Utah Hospital Association,2,1
2020-04-15,Brigham Young University,1,1
2020-04-15,Business College,1,2
2020-04-15,Department Of Education,1,3
2020-04-15,Education Stabilization Fund,1,4
2020-04-15,Education Stabilization Fund Discretionary,1,5
2020-04-15,Governor Emergency Education Relief Fund,1,6
2020-04-15,Henager College,1,7
2020-04-15,Higher Education Emergency Relief Fund,1,8
2020-04-15,Paul Mitchell School Of Salt Lake City,1,9
2020-04-15,Pell Grant Program,1,10
2020-04-15,Roseman University Of Health Sciences,1,11
2020-04-15,School Emergency Relief Fund,1,12
2020-04-15,Snow College,1,13
2020-04-15,University Of Utah,1,14
2020-04-15,Utah Valley University,1,15
2020-04-15,Westminster College,1,16
2020-04-16,Brigham Young University,1,1
2020-04-16,Business College,1,2
2020-04-16,Department Of Education,1,3
2020-04-16,Education Stabilization Fund,1,4
2020-04-16,Education Stabilization Fund Discretionary,1,5
2020-04-16,Governor Emergency Education Relief Fund,1,6
2020-04-16,Henager College,1,7
2020-04-16,Higher Education Emergency Relief Fund,1,8
2020-04-16,Paul Mitchell School Of Salt Lake City,1,9
2020-04-16,Pell Grant Program,1,10
2020-04-16,Roseman University Of Health Sciences,1,11
2020-04-16,School Emergency Relief Fund,1,12
2020-04-16,Snow College,1,13
2020-04-16,University Of Utah,1,14
2020-04-16,Utah Valley University,1,15
2020-04-16,Westminster College,1,16
2020-04-21,National Park Service,1,1
2020-04-21,United States,1,2
2020-04-21,Zion National Park,1,3
2020-04-22,Care Coalition In Provo,1,2
2020-04-22,Catholic Community Services,1,3
2020-04-22,Development Kat Khan,1,4
2020-04-22,Food Bank,1,5
2020-04-22,Gail Miller Resource Center,1,6
2020-04-22,Guidance For Homeless Service Providers To Plan,1,7
2020-04-22,Her Women Resource Center,1,8
2020-04-22,Men Resource Center,1,9
2020-04-22,Provo Community Action Services,1,10
2020-04-22,Supreme Court Rules Of Professional Practice,1,11
2020-04-22,Utah Supreme Court,1,12
2020-04-22,Weigand Homeless Resource Center,1,13
2020-04-22,United States,2,1
2020-04-23,Disability Law Center,1,1
2020-04-24,Dixie Regional Medical Center,1,1
2020-04-24,Mountainstar Health,1,2
2020-04-24,Utah Hospital Association,1,3
2020-04-25,Dixie Regional Medical Center,1,1
2020-04-25,Mountainstar Health,1,2
2020-04-25,Utah Hospital Association,1,3
2020-04-29,Nan,1,1
2020-05-06,Colliers International,1,1
2020-05-06,University Of Utah Eccles School Of Business,1,2
2020-05-07,Nan,1,1
2020-05-20,Centers For Disease,1,1
2020-05-20,Connection Support Group,1,2
2020-05-20,Department Of Defense,1,3
2020-05-20,Department Of Homeland Security,1,4
2020-05-20,Emergency Management Agency,1,5
2020-05-20,Family Support Group,1,6
2020-05-20,Governor Use Of The National Guard To,1,7
2020-05-20,Hill Air Force,1,8
2020-05-20,Latino Behavioral Health,1,9
2020-05-20,Mental Health Awareness Month,1,10
2020-05-20,National Alliance On Mental Illness,1,11
2020-05-20,National Alliance On Mental Illness Utah,1,12
2020-05-20,National Guard,1,13
2020-05-20,Office Of Management,1,14
2020-05-20,People Health Clinic,1,15
2020-05-20,Summit County Health Department,1,16
2020-05-20,United States,1,17
2020-05-21,Brigham Young University,1,1
2020-05-21,Business College,1,2
2020-05-21,Centers For Disease,1,3
2020-05-21,Church Educational System,1,4
2020-05-21,Department Of Defense,1,5
2020-05-21,Department Of Homeland Security,1,6
2020-05-21,Emergency Management Agency,1,7
2020-05-21,Ensign College In Salt Lake City,1,8
2020-05-21,Governor Use Of The National Guard To,1,9
2020-05-21,National Guard,1,10
2020-05-21,Office Of Management,1,11
2020-05-21,Snow College,1,12
2020-05-21,United States,1,13
2020-05-21,Utah Valley University,1,14
2020-05-22,Utah Department Of Transportation,1,1
2020-05-22,Zion National Park,1,2
2020-05-26,Health Care,1,1
2020-05-26,Life Care Center,1,2
2020-05-26,United States,1,3
2020-05-26,Utah Army National Guard Maj,1,4
