date,organization,count,rn
2020-03-03,Emergency Management Agency,1,1
2020-03-03,Emergency Operations Center,1,2
2020-03-03,King Daughters Medical Center,1,3
2020-03-03,Ohio Department Of Health,1,4
2020-03-03,Portsmouth City Fire Department,1,5
2020-03-03,Portsmouth City Health Department,1,6
2020-03-03,Portsmouth Police Department,1,7
2020-03-03,Southern Ohio Medical Center,1,8
2020-03-03,United States,1,9
2020-03-05,Facebook,2,1
2020-03-05,Ohio Department Of Health,2,2
2020-03-12,A Quinnipiac University,1,1
2020-03-12,Anthony,1,2
2020-03-12,Community Solutions,1,3
2020-03-12,Congress On,1,4
2020-03-12,Miami University,1,5
2020-03-12,Msnbc,1,6
2020-03-12,Ohio Health Department,1,7
2020-03-12,Ohio State University,1,8
2020-03-12,United States,1,9
2020-03-14,Facebook,1,1
2020-03-14,Madison Village Council,1,2
2020-03-14,Ohio Department Of Transportation District,1,3
2020-03-14,Police Department,1,4
2020-03-16,City Health Department,1,2
2020-03-16,Health Departments,1,3
2020-03-16,Ohio Department Of Health,1,4
2020-03-16,Ohio Department Of Jobs,1,5
2020-03-16,Ohio Emergency Operations Center,1,6
2020-03-16,Ohio Health Department,1,7
2020-03-16,Family Services,2,1
2020-03-17,Imagination Library,1,1
2020-03-18,Imagination Library,1,1
2020-03-18,Ohio Department Of Health,1,2
2020-03-18,Sheriff Office,1,3
2020-03-20,Army Corps Of Engineers,1,1
2020-03-20,John Glenn International Airport,1,2
2020-03-20,National Weather Service,1,3
2020-03-20,National Weather Service In Wilmington,1,4
2020-03-20,Newark Fire Department,1,5
2020-03-20,Ohio Department Of Transportation,1,6
2020-03-22,Bethel Baptist Church,1,1
2020-03-22,Facebook,1,2
2020-03-23,Bethel Baptist Church,1,1
2020-03-23,Facebook,1,2
2020-03-23,Imagination Library,1,3
2020-03-24,Imagination Library,1,1
2020-03-25,Bethel Baptist Church,1,1
2020-03-25,Facebook,1,2
2020-03-27,Chelsea Insurance Agency,1,1
2020-03-27,Eastern Connecticut Savings Bank,1,2
2020-03-27,Facebook,1,3
2020-03-27,Health Administration,1,4
2020-03-27,Norwich Community Development Corporation,1,5
2020-04-01,Agency On,1,1
2020-04-01,Community Memorial Healthcare,1,2
2020-04-01,Election Office Facebook,1,3
2020-04-01,Network Computer Solutions,1,4
2020-04-03,Department Of Engineering Technologies,2,1
2020-04-03,National Institutes Of Health,2,2
2020-04-03,Ohio Manufacturing Association,2,3
2020-04-03,Plastics Engineering Technology,2,4
2020-04-03,Southern Ohio Medical Center,2,5
2020-04-03,Technical Center,2,6
2020-04-06,Portsmouth City Health Department,1,1
2020-04-06,Southern Ohio Medical Center,1,2
2020-04-07,Department Of Engineering Technologies,2,1
2020-04-07,National Institutes Of Health,2,2
2020-04-07,Ohio Manufacturing Association,2,3
2020-04-07,Plastics Engineering Technology,2,4
2020-04-07,Southern Ohio Medical Center,2,5
2020-04-07,Technical Center,2,6
2020-04-08,National Guard,1,1
2020-04-08,Ohio National Guard Troops,1,2
2020-04-09,Community Commitment Fund,1,1
2020-04-09,Coronavirus Emergency Fund,1,2
2020-04-09,Department Of Energy,1,3
2020-04-10,Facebook,3,1
2020-04-15,Ohio Division Of Natural Areas,1,1
2020-04-26,Southern Ohio Medical Center,1,1
2020-04-26,United States,1,2
2020-04-28,A Hilliard Memorial Middle School,1,1
2020-04-28,Capital University,1,2
2020-04-28,Country Music Association Foundation,1,3
2020-04-28,Hilliard Memorial Middle School,1,4
2020-04-28,Music Institute,1,5
2020-04-28,Solon High School,1,6
2020-04-28,Valley Local School District In Lucasville,1,7
2020-04-29,High School,1,1
2020-04-29,Nan,1,2
2020-04-29,Ohio Facilities Construction Commission,1,3
2020-05-03,Courtesy Of Southern Ohio Medical Center,1,1
2020-05-03,Members Of The Southern Ohio Medical Center,1,2
2020-05-03,Southern Ohio Medical Center,1,3
2020-05-04,Cnn,1,1
2020-05-04,Green High School,1,2
2020-05-04,Green School District,1,3
2020-05-04,Instagram,1,4
2020-05-04,Ohio Department Of Education,1,5
2020-05-04,Twitter,1,6
2020-05-14,Ohio Department Of Health,1,1
2020-05-14,Southern Ohio Medical Center,1,2
2020-06-02,Department Of Health,1,2
2020-06-02,Ohio Department Of Health,1,3
2020-06-02,Ohio National Guard To Columbus,2,1
2020-06-05,Minford High School,1,1
2020-06-15,Nan,1,1
