date,organization,count,rn
2020-03-22,Biogen Research Triangle Park,1,1
2020-03-22,Brickuniverse Lego Fan Convention,1,2
2020-03-22,Buncombe County Health Department,1,3
2020-03-22,Campbell University In Harnett,1,4
2020-03-22,Duke University,1,5
2020-03-22,Facebook,1,6
2020-03-22,Fuquay-Varina Elementary School,1,7
2020-03-22,Human Services,1,8
2020-03-22,Myrtle Beach International Airport,1,9
2020-03-22,United States,1,10
2020-03-22,Womack Army Medical Center,1,11
2020-03-25,Carolina Department Of Public Instruction,1,1
2020-03-25,Disaster Relief Fund,1,2
2020-03-25,Elementary School,1,3
2020-03-25,Lowe Grove Elementary School,1,4
2020-04-01,Department Of Public Safety,1,2
2020-04-01,Division Of Prisons,1,3
2020-04-01,Facebook,1,4
2020-04-01,House Select Committee,1,5
2020-04-01,Maury Correctional Institution,1,6
2020-04-01,Missouri Department Of Health Senior Services,1,7
2020-04-01,Missouri Small Business Development Center,1,8
2020-04-01,Missouri State University,1,9
2020-04-01,Nc Department Of Public Safety,1,10
2020-04-01,Paycheck Protection Program,1,11
2020-04-01,School Of Medicine,1,12
2020-04-01,Small Business Development Center,1,13
2020-04-01,Twitter,1,14
2020-04-01,United States,1,15
2020-04-01,Centers For Disease,2,1
2020-04-16,American Hospital Association,1,1
2020-04-16,Department Of Health,1,2
2020-04-16,Greater New York Hospital Association,1,3
2020-04-16,Human Services,1,4
2020-04-16,Indiana Hospital Association,1,5
2020-04-16,Kaiser Health News,1,6
2020-04-16,Langone Health,1,7
2020-04-16,Lifepoint Health,1,8
2020-04-16,Missouri Hospital Association,1,9
2020-04-16,National Rural Health Association,1,10
2020-04-16,Ochsner Health,1,11
2020-04-16,White House,1,12
2020-04-17,American Hospital Association,1,1
2020-04-17,Department Of Health,1,2
2020-04-17,Greater New York Hospital Association,1,3
2020-04-17,Human Services,1,4
2020-04-17,Indiana Hospital Association,1,5
2020-04-17,Kaiser Health News,1,6
2020-04-17,Langone Health,1,7
2020-04-17,Lifepoint Health,1,8
2020-04-17,Missouri Hospital Association,1,9
2020-04-17,National Rural Health Association,1,10
2020-04-17,Ochsner Health,1,11
2020-04-17,White House,1,12
2020-04-19,American Hospital Association,1,1
2020-04-19,Department Of Health,1,2
2020-04-19,Greater New York Hospital Association,1,3
2020-04-19,Human Services,1,4
2020-04-19,Indiana Hospital Association,1,5
2020-04-19,Kaiser Health News,1,6
2020-04-19,Langone Health,1,7
2020-04-19,Lifepoint Health,1,8
2020-04-19,Missouri Hospital Association,1,9
2020-04-19,National Rural Health Association,1,10
2020-04-19,Ochsner Health,1,11
2020-04-19,White House,1,12
2020-04-26,Carolina Department Of Transportation,1,1
2020-04-26,Department Of Transportation,1,2
2020-04-26,Division Of Motor Vehicle,1,3
2020-05-07,Department Of Health,1,1
2020-05-07,Human Services,1,2
2020-05-07,Kaiser Family Foundation,1,3
2020-05-07,Kaiser Health News,1,4
2020-05-07,Missouri Department Of Health Senior Services,1,5
2020-05-07,Missouri Hospital Association,1,6
2020-05-07,Mu Health Care,1,7
2020-05-07,Ozarks Medical Center,1,8
2020-05-07,Provider Relief Fund,1,9
2020-05-07,Regional Medical Center,1,10
2020-05-07,Southeast Health,1,11
2020-05-07,University Hospital,1,12
2020-05-08,American Hospital Association,1,3
2020-05-08,Facebook,1,4
2020-05-08,National Rural Health Association,1,5
2020-05-08,Paycheck Protection Program,1,6
2020-05-08,Small Business Administration,1,7
2020-05-08,Small Business Administration Paycheck Protection Program,1,8
2020-05-08,Treasury Department,1,9
2020-05-08,Nutrition Center,3,1
2020-05-08,Pruitt Health,3,2
2020-06-17,Board Of Trustees,1,3
2020-06-17,Carolina University,1,4
2020-06-17,Orangeburg County School District,1,5
2020-06-17,School Of Business Management,1,6
2020-06-17,Rivelon Elementary School,2,1
2020-06-17,United States,2,2
2020-06-20,Centers For Disease,1,1
2020-06-20,Drug Administration,1,2
2020-06-20,European Union,1,3
2020-06-20,National Institute For Occupational Safety,1,4
2020-06-20,United States,1,5
