date,organization,count,rn
2020-03-08,Community Health Department,1,1
2020-03-08,Johns Hopkins University,1,2
2020-03-08,Regional West Medical Center,1,3
2020-03-08,Sidney Regional Medical Center,1,4
2020-03-08,United States,1,5
2020-03-11,Bluffs Middle School,1,1
2020-03-11,High School,1,2
2020-03-13,Centers For Disease,2,1
2020-03-13,Human Services,2,2
2020-03-13,Mitchell Care Center,2,3
2020-03-13,Northfield Retirement Community Bill Johnson,2,4
2020-03-13,World Health Organization,2,5
2020-03-16,Food Bank,1,3
2020-03-16,Nan,1,4
2020-03-16,Trinity Lutheran Church,1,5
2020-03-16,Panhandle Public Health District,2,1
2020-03-16,Regional West Medical Center,2,2
2020-03-17,Bluffs Middle School,1,1
2020-03-17,Centers For Disease,1,2
2020-03-17,Centers For Disease Control,1,3
2020-03-17,Department Of Labor,1,4
2020-03-17,Educational Service Unit,1,5
2020-03-17,Gering High School,1,6
2020-03-17,Human Services,1,7
2020-03-17,Nebraska Community College,1,8
2020-03-17,Nebraska Department Of Health,1,9
2020-03-17,Panhandle Public Health District,1,10
2020-03-18,Diocese Of Nebraska,1,1
2020-03-18,First United Methodist Church,1,2
2020-03-20,Centers For Disease,1,1
2020-03-20,Panhandle Public Health District,1,2
2020-03-20,United States,1,3
2020-03-23,Extension Center,2,1
2020-03-23,Extension Center Dormitory Housing,2,2
2020-03-23,Institute Of Agriculture,2,3
2020-03-23,Nebraska Chamber,2,4
2020-03-23,Nebraska Community College,2,5
2020-03-23,Panhandle Research,2,6
2020-03-23,University Of Nebraska,2,7
2020-03-23,University Of Nebraska Vice,2,8
2020-03-25,Gering City Council,1,1
2020-03-25,Nebraska Supreme Court,1,2
2020-03-28,Nebraska Cattleman Association,1,1
2020-03-28,Panhandle Public Health,1,2
2020-03-28,Panhandle Public Health Director,1,3
2020-03-31,Flyover Brewing Company In Scottsbluff,1,4
2020-03-31,Union Bar,1,5
2020-03-31,Union Bar In Gering,1,6
2020-03-31,Panhandle Public Health District,2,3
2020-03-31,Panhandle Public Health,4,1
2020-03-31,Walmart,4,2
2020-04-01,Facebook,1,1
2020-04-01,Nebraska Health Care Association,1,2
2020-04-01,Panhandle Public Health District,1,3
2020-04-02,Goshen County Public Health,1,1
2020-04-02,Panhandle Public Health District,1,2
2020-04-03,Nan,1,1
2020-04-04,Department Of Health,1,1
2020-04-04,Human Services,1,2
2020-04-04,Panhandle Public Health,1,3
2020-04-04,Panhandle Public Health District,1,4
2020-04-07,Calvary Lutheran Church,2,1
2020-04-07,Cappucion Company,2,2
2020-04-07,Facebook,2,3
2020-04-07,Holy Apostles Church,2,4
2020-04-07,Lakota Lutheran Center,2,5
2020-04-07,Regional West Medical Center,2,6
2020-04-07,University Of Nebraska Medical Center,2,7
2020-04-08,College Of Nursing,1,1
2020-04-08,Health Good Samaritan In Kearney,1,2
2020-04-08,Health Lakeside In Omaha,1,3
2020-04-08,Kearney Pain Treatment Center,1,4
2020-04-08,Kearney Regional Medical Center,1,5
2020-04-08,University Of Nebraska,1,6
2020-04-09,Community Presbyterian Church,1,1
2020-04-09,Faith Presbyterian Church,1,2
2020-04-09,First Presbyterian Church,1,3
2020-04-09,Mike Ferguson Presbyterian News Service,1,4
2020-04-09,Office Of Theology Worship,1,5
2020-04-09,Placentia Presbyterian Church,1,6
2020-04-11,National Guard,1,1
2020-04-12,Incident Site Communications Capability,1,1
2020-04-12,National Guard,1,2
2020-04-12,Nebraska Air National Guard,1,3
2020-04-12,Nebraska Army National Guard,1,4
2020-04-12,Response Force Package,1,5
2020-04-15,Nan,1,1
2020-04-16,Aviation Administration,1,1
2020-04-17,Bryn Mawr Presbyterian Church,1,1
2020-04-17,Eastern Time On Ecclesial Health,1,2
2020-04-17,First Presbyterian Church,1,3
2020-04-17,Lake Grove Presbyterian Church,1,4
2020-04-17,Office Of Christian Formation,1,5
2020-04-17,Paul Seebeck Presbyterian News Service,1,6
2020-04-17,Presbyterian Mission Agency,1,7
2020-04-17,Yellowstone National Park,1,8
2020-04-19,Berean Church,1,1
2020-04-19,D N Event Center,1,2
2020-04-19,Paulsen Inc,1,3
2020-04-19,Platte D N Event Center,1,4
2020-04-19,Sheriff Office,1,5
2020-04-19,Tc Engineering Inc,1,6
2020-04-19,Union Pacific Railroad,1,7
2020-04-21,Panhandle Public Health District,1,1
2020-04-22,Health Alert System,1,1
2020-04-22,Panhandle Public Health District,1,2
2020-04-23,Nebraska Public Health Laboratory In Omaha,1,1
2020-04-23,Regional West Community Health,1,2
2020-04-23,Regional West Health Services,1,3
2020-04-23,Regional West Laboratory Services,1,4
2020-04-24,Nebraska Dental Association,1,1
2020-04-24,Panhandle Public Health District,1,2
2020-04-24,United States,1,3
2020-04-25,Panhandle Public Health District,1,1
2020-04-27,Gering Visitors Bureau,1,1
2020-04-27,National Tourism Week,1,2
2020-04-27,National Tourism Week Local Events,1,3
2020-04-27,We See National Tourism Week,1,4
2020-04-29,Community Action Partnership Of Western Nebraska,1,1
2020-04-29,Daughtry Foundation,1,2
2020-04-29,First Christian Church,1,3
2020-04-29,Hills Energy,1,4
2020-04-29,King Catholic Church,1,5
2020-04-29,Peter Kiewit Foundation,1,6
2020-04-29,Sherwood Foundation,1,7
2020-04-30,Berean Church,1,1
2020-04-30,D N Event Center,1,2
2020-04-30,Nebraska Republican Party,1,3
2020-04-30,Platte Senior Center,1,4
2020-04-30,Salvation Army,1,5
2020-04-30,Sheriff Office,1,6
2020-04-30,Union Pacific,1,7
2020-05-01,Drug Task,1,1
2020-05-01,Lyman Police Department,1,2
2020-05-01,Mitchell Police,1,3
2020-05-01,Mitchell Police Department,1,4
2020-05-01,Nebraska Department Of Transportation,1,5
2020-05-01,Our Department,1,6
2020-05-01,Scotts Bluff County Sheriff Office,1,7
2020-05-02,American Dental Association,1,1
2020-05-02,Fedex,1,2
2020-05-02,Nebraska Department Of Labor,1,3
2020-05-03,Calvary Lutheran Church,2,1
2020-05-03,Governor Office,2,2
2020-05-03,Holy Apostles Episcopal Church,2,3
2020-05-03,Methodist Church,2,4
2020-05-03,United Methodist Church,2,5
2020-05-03,Westway Christian Church,2,6
2020-05-05,Gering Fire Department,1,1
2020-05-05,Gering Police Departments,1,2
2020-05-05,Regional West Medical Center,1,3
2020-05-08,Centers For Disease,1,2
2020-05-08,Clerk Office,1,3
2020-05-08,Drug Administration,1,4
2020-05-08,First State Bank,1,5
2020-05-08,Gering Civic Center,1,6
2020-05-08,Guadalupe Center,1,7
2020-05-08,Lakota Lutheran Center,1,8
2020-05-08,Morrill Grade School Ford,1,9
2020-05-08,Nebraska National Guard,1,10
2020-05-08,Panhandle Public Health District,2,1
2020-05-12,Associated Press,1,2
2020-05-12,Nebraska National Guard,3,1
2020-05-13,Associated Press,1,4
2020-05-13,First Lutheran Church,2,2
2020-05-13,Papillion Middle School,2,3
2020-05-13,Nebraska National Guard,3,1
2020-05-14,Flyover Salute To Health Workers,1,2
2020-05-14,Health Measures Dhms,1,3
2020-05-14,Human Services,1,4
2020-05-14,Lincoln Air National Guard,1,5
2020-05-14,National Law Enforcement Memorial Ceremony,1,6
2020-05-14,Nebraska Air National Guard,1,7
2020-05-14,Nebraska Department Of Health,1,8
2020-05-14,Police Week,1,9
2020-05-14,Nebraska National Guard,2,1
2020-05-15,Centers For Disease,1,2
2020-05-15,Panhandle Public Health District,1,3
2020-05-15,Nebraska National Guard,2,1
2020-05-16,First Lutheran Church,1,2
2020-05-16,Papillion Middle School,1,3
2020-05-16,Nebraska National Guard,2,1
2020-05-17,Nebraska National Guard,1,1
2020-05-19,Nebraska National Guard,1,1
2020-05-20,Nebraska National Guard,1,1
2020-05-20,Nomi Health,1,2
2020-05-20,Panhandle Public Health District,1,3
2020-05-22,Bombardier,1,1
2020-05-22,During Thursday Panhandle Public Health District,1,2
2020-05-22,Jetblue,1,3
2020-05-22,Panhandle Public Health District,1,4
2020-05-22,Panhandle Public Health District Offices,1,5
2020-05-22,Skywest,1,6
2020-05-22,United Airline United,1,7
2020-05-22,United Express,1,8
2020-05-22,While The National Guard,1,9
2020-05-24,Catholic Diocese Of Lincoln,1,8
2020-05-24,Epic Church,2,1
2020-05-24,Episcopalian Diocese Of Nebraska,2,2
2020-05-24,Faith Lutheran Church,2,3
2020-05-24,Indian Hills Community Church,2,4
2020-05-24,Lincoln Diocese,2,5
2020-05-24,Patrick Altar Society,2,6
2020-05-24,Patrick Catholic Church,2,7
2020-05-29,Cities Development,1,6
2020-05-29,Dawes,2,1
2020-05-29,Nebraska Legislature,2,2
2020-05-29,Public Affairs Research,2,3
2020-05-29,Research Extension Center,2,4
2020-05-29,University Of Nebraska,2,5
2020-06-12,Cities Development,1,1
2020-06-12,Nebraska Development Corporation,1,2
2020-06-12,Nebraska Economic Development,1,3
2020-06-12,Panhandle Area Development District,1,4
2020-06-16,Department Of Corrections,1,1
2020-06-16,Nebraska Department Of Corrections,1,2
2020-06-18,Aviation Administration,2,1
2020-06-18,Skywest,2,2
2020-06-18,Skywest Airlines,2,3
2020-06-19,Aviation Administration,1,1
2020-06-19,Community Action Health Center Mondays,1,2
2020-06-19,Gering High School,1,3
2020-06-19,Panhandle Public Health District,1,4
2020-06-19,Sidney Regional Medical Center,1,5
2020-06-19,Skywest,1,6
2020-06-19,Skywest Airlines,1,7
2020-06-24,College View Academy In Lincoln,1,1
2020-06-24,Department Of Veterans Affairs,1,2
2020-06-24,Paycheck Protection Program Flexibility,1,3
