date,organization,count,rn
2020-03-22,Arkansas Department Of Health,1,1
2020-03-22,Bernards Medical Center,1,2
2020-03-22,Centers For Disease,1,3
2020-03-25,Bernards Medical Center,1,1
2020-03-25,Drug Administration,1,2
2020-03-25,Young,1,3
2020-03-29,Sara Cano Humane Society Of Harlingen,1,4
2020-03-29,Facebook,3,1
2020-03-29,Friends Animal Society,3,2
2020-03-29,Humane Society Of Harlingen,3,3
2020-04-22,Amgen,1,1
2020-04-22,Amgen Foundation,1,2
2020-04-22,Amgen Scholars Program,1,3
2020-04-22,Hendrix College,1,4
2020-04-22,Hendrix Naturalists Club,1,5
2020-04-22,Madeleine Castator Hendrix Office Of Marketing Communications,1,6
2020-05-22,Arkansas State University,1,1
2020-05-22,Bernards Medical Center,1,2
2020-05-22,Piggott Community Hospital,1,3
