date,organization,count,rn
2020-03-24,American Health Care Association,1,1
2020-03-24,Life Care Center,1,2
2020-03-24,New York Times,1,3
2020-03-24,Virginia Health Care Association,1,4
2020-03-24,Virginia National Guard,1,5
2020-03-24,Washington Post,1,6
2020-03-25,Associated Press,1,1
2020-03-25,Kaiser Family Foundation,1,2
2020-03-25,National Guard,1,3
2020-03-30,Associated Press,1,2
2020-03-30,Canterbury Rehabilitation Healthcare Center,1,3
2020-03-30,Department Of Health,1,4
2020-03-30,Gallatin Center,1,5
2020-03-30,Kaiser Family Foundation,1,6
2020-03-30,United Hospital Center,1,7
2020-03-30,Washington Times,1,8
2020-03-30,National Guard,2,1
2020-03-31,Canterbury Rehabilitation Healthcare Center,1,1
2020-03-31,Gallatin Center,1,2
2020-03-31,National Guard,1,3
2020-04-15,Infrastructure Committee,1,1
2020-04-15,Portland International Airport,1,2
2020-05-09,Custer Economic Development Corp,1,1
2020-05-09,Loup Basin Public Health Department,1,2
