date,organization,count,rn
2020-02-14,American Society For Microbiology,1,1
2020-02-14,Shasta Cascade Health Centers,1,2
2020-02-14,Wildlife Conservation Society,1,3
2020-02-17,Human Services,2,1
2020-02-17,Lackland Air Force,2,2
2020-02-17,National Institute Of Allergy,2,3
2020-02-17,National Institutes Of Health,2,4
2020-02-17,Travis Air Force,2,5
2020-02-17,United States,2,6
2020-02-26,Centers For Disease,2,1
2020-02-26,Chicago Ohare International Airport,2,2
2020-02-26,Cruise Lines International Association,2,3
2020-02-26,Dallas Fort Worth International Airport,2,4
2020-02-26,Dulles International Airport,2,5
2020-02-26,Hartsfield-Jackson Atlanta International Airport,2,6
2020-02-26,Iran State Department,2,7
2020-02-26,Los Angeles International Airport,2,8
2020-02-26,Newark Liberty International Airport,2,9
2020-02-26,Norwegian Cruise Line Holdings,2,10
2020-02-26,Royal Caribbean International,2,11
2020-02-26,San Francisco International Airport,2,12
2020-02-28,Office Of The Governor Of California Cagovernor,1,1
2020-02-28,Oregon Health Authority,1,2
2020-02-28,Uc Davis Medical Center,1,3
2020-03-04,California Department Of Public Health,1,1
2020-03-04,Centers For Disease,1,2
2020-03-04,Health Officer,1,3
2020-03-04,Public Health,1,4
2020-03-04,Solano Home Improvement Center,1,5
2020-03-04,United States,1,6
2020-03-05,Human Services,1,1
2020-03-05,Senate Minority Leader Charles Schumer,1,2
2020-03-05,White House,1,3
2020-03-13,Centers For Disease,1,1
2020-03-13,Department Of Health,1,2
2020-03-13,Health Department,1,3
2020-03-13,Mon Health Systems,1,4
2020-03-13,Pierpont Community,1,5
2020-03-13,Technical College,1,6
2020-03-13,Virginia Division Of Homeland Security,1,7
2020-03-16,Forest Service,1,1
2020-03-16,Point Reyes National Seashore,1,2
2020-03-16,Swedish Lodge,1,3
2020-03-16,Twitter,1,4
2020-03-16,Yosemite Leadership Team,1,5
2020-03-16,Yosemite National Park,1,6
2020-03-17,California County Superintendents Educational Services Association,1,1
2020-03-17,Centers For Disease,1,2
2020-03-17,Dunsmuir Joint Union High School District,1,3
2020-03-17,Mccloud Union School District,1,4
2020-03-17,Mccloud Union School District In Siskyou,1,5
2020-03-17,United States,1,6
2020-03-18,Ontario Health,1,23
2020-03-18,Associated Press,2,7
2020-03-18,British Airways,2,8
2020-03-18,Carnival Corp,2,9
2020-03-18,Celebrity Cruises,2,10
2020-03-18,Centers For Disease,2,11
2020-03-18,Commonwealth Office,2,12
2020-03-18,Cruise Line International Association,2,13
2020-03-18,Department Of Health,2,14
2020-03-18,Dobbins Air Reserve,2,15
2020-03-18,Facebook,2,16
2020-03-18,Health Department,2,17
2020-03-18,Human Services,2,18
2020-03-18,Mccloud Elementary School,2,19
2020-03-18,Princess Cruises,2,20
2020-03-18,Royal Caribbean,2,21
2020-03-18,Travis Air Force,2,22
2020-03-18,California Department Of Public Health,3,1
2020-03-18,Fairchild Medical Center,3,2
2020-03-18,Public Health Emergency,3,3
2020-03-18,Public Health Shelly Davis,3,4
2020-03-18,Siskiyou Public Health,3,5
2020-03-18,United States,3,6
2020-03-19,Ontario Health,1,1
2020-03-19,United States,1,2
2020-03-20,Ontario Health,1,1
2020-03-20,United States,1,2
2020-03-21,Investigative Team In Los Angeles,1,1
2020-03-21,Ontario Health,1,2
2020-03-21,United States,1,3
2020-03-22,Ontario Health,1,1
2020-03-22,Simcoe Muskoka District Health Unit,1,2
2020-03-22,United States,1,3
2020-03-23,Ontario Health,1,1
2020-03-23,Simcoe Muskoka District Health Unit,1,2
2020-03-23,United States,1,3
2020-03-24,Beverage Control Department,1,2
2020-03-24,California National Guard,1,3
2020-03-24,California Restaurant Association,1,4
2020-03-24,Human Services Agency,1,5
2020-03-24,Johns Hopkins University,1,6
2020-03-24,Mercy Medical Center,1,7
2020-03-24,Ontario Health,1,8
2020-03-24,Shasta Regional Medical Center,1,9
2020-03-24,Simcoe Muskoka District Health Unit,1,10
2020-03-24,United States,1,11
2020-03-24,Nan,2,1
2020-03-25,Ontario Health,1,1
2020-03-25,Simcoe Muskoka District Health Unit,1,2
2020-03-25,United States,1,3
2020-03-26,Department Of Justice,1,1
2020-03-26,Detention Watch Network Freethemall,1,2
2020-03-26,National Day Of Action On,1,3
2020-03-26,Ontario Health,1,4
2020-03-26,Simcoe Muskoka District Health Unit,1,5
2020-03-26,United States,1,6
2020-03-27,Bethel Church,1,5
2020-03-27,College View Drive In Redding,1,6
2020-03-27,Department Of Public Health,1,7
2020-03-27,Facebook,1,8
2020-03-27,Human Services Agency,1,9
2020-03-27,Johns Hopkins University,1,10
2020-03-27,Nan,1,11
2020-03-27,Ontario Health,1,12
2020-03-27,Simcoe Muskoka District Health Unit,1,13
2020-03-27,United Airlines,1,14
2020-03-27,Member Of Congress,2,2
2020-03-27,Save Our Workers Bill In Congress,2,3
2020-03-27,Twitter,2,4
2020-03-27,United States,3,1
2020-03-28,Facebook,1,2
2020-03-28,Lincoln County Health Department,1,3
2020-03-28,Nan,1,4
2020-03-28,Ontario Health,1,5
2020-03-28,Simcoe Muskoka District Health Unit,1,6
2020-03-28,United States,2,1
2020-03-29,Ontario Health,1,1
2020-03-29,Simcoe Muskoka District Health Unit,1,2
2020-03-29,United States,1,3
2020-03-30,Nan,1,1
2020-03-30,Ontario Health,1,2
2020-03-30,Simcoe Muskoka District Health Unit,1,3
2020-03-30,United States,1,4
2020-03-31,Nan,1,1
2020-03-31,Ontario Health,1,2
2020-03-31,Simcoe Muskoka District Health Unit,1,3
2020-03-31,United States,1,4
2020-04-01,Chevron,1,10
2020-04-01,Developers Association Of Canada,1,11
2020-04-01,Hamilton Health Sciences,1,12
2020-04-01,Nan,1,13
2020-04-01,Ontario Health,1,14
2020-04-01,Ontario Ministry Of Health,1,15
2020-04-01,Peel Regional Health,1,16
2020-04-01,Saint Germaine Foundation,1,17
2020-04-01,Scarborough Health Network,1,18
2020-04-01,Simcoe Muskoka District Health Unit,1,19
2020-04-01,Trillium Health Partners,1,20
2020-04-01,Twitter,1,21
2020-04-01,Union Pacific,1,22
2020-04-01,Union Pacific Railroad,1,23
2020-04-01,Centers For Disease,2,2
2020-04-01,Health Resources,2,3
2020-04-01,Health Resources Services Administration,2,4
2020-04-01,National Association Of Community Health Centers,2,5
2020-04-01,National Association Of Free,2,6
2020-04-01,Queenscare Health Centers,2,7
2020-04-01,Services Administration,2,8
2020-04-01,Washington Healthcare Access Alliance,2,9
2020-04-01,United States,4,1
2020-04-02,Ontario Health,1,1
2020-04-02,Simcoe Muskoka District Health Unit,1,2
2020-04-02,United States,1,3
2020-04-03,Ontario Health,1,1
2020-04-03,Simcoe Muskoka District Health Unit,1,2
2020-04-03,United States,1,3
2020-04-04,Ontario Health,1,1
2020-04-04,Simcoe Muskoka District Health Unit,1,2
2020-04-04,Twitter,1,3
2020-04-04,United States,1,4
2020-04-05,Ontario Health,1,1
2020-04-05,Simcoe Muskoka District Health Unit,1,2
2020-04-05,United States,1,3
2020-04-06,Ontario Health,1,5
2020-04-06,Simcoe Muskoka District Health Unit,1,6
2020-04-06,United States,1,7
2020-04-06,Gilead Sciences,3,1
2020-04-06,University Hospitals Cleveland Medical Center,3,2
2020-04-06,University Of California,3,3
2020-04-06,Virginia Commonwealth University In Richmond,3,4
2020-04-07,Ontario Health,1,1
2020-04-07,Simcoe Muskoka District Health Unit,1,2
2020-04-07,United States,1,3
2020-04-08,Ontario Health,1,1
2020-04-08,Simcoe Muskoka District Health Unit,1,2
2020-04-08,United States,1,3
2020-04-09,Crater Lake National Park,1,1
2020-04-09,Google,1,2
2020-04-09,Lassen Volcanic National Park,1,3
2020-04-09,Lava Bed National Monument,1,4
2020-04-09,Lava Beds National Monument,1,5
2020-04-09,Ontario Health,1,6
2020-04-09,Simcoe Muskoka District Health Unit,1,7
2020-04-09,United States,1,8
2020-04-09,Yellowstone National Park,1,9
2020-04-09,Yosemite National Park,1,10
2020-04-10,Ontario Health,1,1
2020-04-10,Simcoe Muskoka District Health Unit,1,2
2020-04-10,United States,1,3
2020-04-11,Ontario Health,1,12
2020-04-11,Simcoe Muskoka District Health Unit,1,13
2020-04-11,Bj Wholesale Club,2,2
2020-04-11,Cnn,2,3
2020-04-11,Democracy Fund,2,4
2020-04-11,Department Of Homeland Security,2,5
2020-04-11,Johns Hopkins University,2,6
2020-04-11,Labor Department,2,7
2020-04-11,Moody,2,8
2020-04-11,National Institute Of Allergy,2,9
2020-04-11,Trader Joe,2,10
2020-04-11,White House,2,11
2020-04-11,United States,3,1
2020-04-12,Electrical Union,1,1
2020-04-12,Ontario Health,1,2
2020-04-12,Simcoe Muskoka District Health Unit,1,3
2020-04-12,Supreme Court,1,4
2020-04-12,United Nations,1,5
2020-04-12,United States,1,6
2020-04-12,University Of Notre Dame,1,7
2020-04-12,University Of Texas,1,8
2020-04-12,Yale Law School,1,9
2020-04-12,Yale University,1,10
2020-04-12,York City Environmental Protection Administration,1,11
2020-04-12,Youtube,1,12
2020-04-13,Community Action Agency Of Butte,1,1
2020-04-13,Ontario Health,1,2
2020-04-13,Simcoe Muskoka District Health Unit,1,3
2020-04-13,United States,1,4
2020-04-14,Department Of Justice,1,11
2020-04-14,Facebook,1,12
2020-04-14,Montana Farmer Union,1,13
2020-04-14,Ontario Health,1,14
2020-04-14,Simcoe Muskoka District Health Unit,1,15
2020-04-14,Butler University College Of Pharmacy,2,3
2020-04-14,Cnn,2,4
2020-04-14,Harvard Global Health Institute,2,5
2020-04-14,Health Sciences,2,6
2020-04-14,Johns Hopkins University,2,7
2020-04-14,National Institute Of Allergy,2,8
2020-04-14,Twitter,2,9
2020-04-14,White House,2,10
2020-04-14,Associated Press,3,2
2020-04-14,United States,4,1
2020-04-15,Ontario Health,1,1
2020-04-15,Simcoe Muskoka District Health Unit,1,2
2020-04-15,United States,1,3
2020-04-16,Ontario Health,1,1
2020-04-16,Simcoe Muskoka District Health Unit,1,2
2020-04-16,United States,1,3
2020-04-17,Ontario Health,1,1
2020-04-17,Simcoe Muskoka District Health Unit,1,2
2020-04-17,United States,1,3
2020-04-18,Ontario Health,1,1
2020-04-18,Simcoe Muskoka District Health Unit,1,2
2020-04-18,United States,1,3
2020-04-19,Ontario Health,1,1
2020-04-19,Simcoe Muskoka District Health Unit,1,2
2020-04-19,United States,1,3
2020-04-20,Ontario Health,1,1
2020-04-20,Simcoe Muskoka District Health Unit,1,2
2020-04-20,United States,1,3
2020-04-21,Lava Beds National Monument,1,2
2020-04-21,National Park Service,1,3
2020-04-21,Ontario Health,1,4
2020-04-21,Oregon University,1,5
2020-04-21,Simcoe Muskoka District Health Unit,1,6
2020-04-21,Wildlife Command Center,1,7
2020-04-21,Wildlife Service,1,8
2020-04-21,United States,2,1
2020-04-22,Ontario Health,1,1
2020-04-22,Simcoe Muskoka District Health Unit,1,2
2020-04-22,United States,1,3
2020-04-23,Ontario Health,1,1
2020-04-23,Simcoe Muskoka District Health Unit,1,2
2020-04-23,United States,1,3
2020-04-24,Ontario Health,1,1
2020-04-24,Simcoe Muskoka District Health Unit,1,2
2020-04-24,United States,1,3
2020-04-25,Ontario Health,1,1
2020-04-25,Simcoe Muskoka District Health Unit,1,2
2020-04-25,United States,1,3
2020-04-26,Nan,1,1
2020-04-26,Ontario Health,1,2
2020-04-26,Simcoe Muskoka District Health Unit,1,3
2020-04-26,United States,1,4
2020-04-27,Ontario Health,1,5
2020-04-27,Simcoe Muskoka District Health Unit,1,6
2020-04-27,Suffolk University Political Research Center,2,2
2020-04-27,Suffolk University Poll,2,3
2020-04-27,White House,2,4
2020-04-27,United States,3,1
2020-04-28,Human Services Agency,1,2
2020-04-28,Johns Hopkins University,1,3
2020-04-28,Mercy Medical Center,1,4
2020-04-28,Nan,1,5
2020-04-28,Ontario Health,1,6
2020-04-28,Public Health,1,7
2020-04-28,Shasta Regional Medical Center,1,8
2020-04-28,Simcoe Muskoka District Health Unit,1,9
2020-04-28,Suffolk University Political Research Center,1,10
