date,organization,count,rn
2020-03-14,Dept Of Health,1,1
2020-03-14,Driver License Centers,1,2
2020-03-14,Earl Fire Company,1,3
2020-03-14,Government Center,1,4
2020-03-14,Health Dept,1,5
2020-03-14,Humane League,1,6
2020-03-14,Lancaster Bureau Of Police,1,7
2020-03-14,Manheim Township Police Department,1,8
2020-03-14,Midd-West School District In Middleburg,1,9
2020-03-14,Pa Department Of Transportation Penndotnews,1,10
2020-03-14,Pennsylvania Department Of Health,1,11
2020-03-14,Photo License Centers,1,12
2020-03-14,Shikellamy School,1,13
2020-03-18,Americus Hose Co,1,1
2020-03-18,Centre County,1,2
2020-03-18,Department Of Health,1,3
2020-03-18,Emergency Communications Center,1,4
2020-03-18,Hose Co,1,5
2020-03-18,Senior Centers,1,6
2020-03-18,Streets Department,1,7
2020-03-25,Family Practice Center,1,1
2020-03-25,Pennsylvania Department Of Health,1,2
2020-03-31,Department Of Health,1,1
2020-03-31,Emergency Management Agency,1,2
2020-03-31,Pennsylvania Department Of Health,1,3
2020-04-02,Bureau Of Prisons,1,1
2020-04-02,Emergency Operation Fund,1,2
2020-04-02,Spring Back Fund,1,3
2020-04-05,Bureau Of Prisons,1,2
2020-04-05,Department Of Community,1,3
2020-04-05,Department Of Drug,1,4
2020-04-05,Economic Development,1,5
2020-04-05,Health Department,1,6
2020-04-05,Justice Department,1,7
2020-04-05,Pennsylvania Department Of Health,1,8
2020-04-05,Pennsylvania Health Department,1,9
2020-04-05,Health Dr,2,1
2020-04-06,Catholic Diocese Of Harrisburg,1,1
2020-04-06,First Presbyterian Church,1,2
2020-04-06,Joseph Catholic Church,1,3
2020-04-15,Nan,1,1
2020-04-26,Midd-West School Superintendent Rick Musselman,1,1
2020-04-26,Pennsylvania Association Of School Administrators,1,2
2020-04-26,Sunbury Christian Academy,1,3
2020-04-30,Breast Health,1,1
2020-04-30,Community Hospital,1,2
2020-04-30,Family Practice Center,1,3
2020-04-30,Miller Center,1,4
2020-04-30,Vascular Center,1,5
2020-05-08,Boscov,1,1
2020-05-10,Green Thumb Industries,1,1
2020-05-10,Keystone Council Of Governments,1,2
2020-05-12,Facebook,1,1
2020-05-12,Insurance Department On,1,2
2020-05-12,Pennsylvania State Council,1,3
2020-05-12,Senate Majority Leader Jake Corman,1,4
2020-05-12,Supreme Court,1,5
2020-05-12,Twitter,1,6
2020-05-12,United States,1,7
2020-05-12,Wolf Administration,1,8
2020-05-16,Centers For Disease,1,1
2020-05-16,Facebook,1,2
2020-05-16,Twitter,1,3
2020-05-20,Guilford College,1,1
2020-05-20,Lock Haven University,1,2
2020-05-20,Milton Area High School,1,3
2020-05-20,Milton Area School District,1,4
2020-05-22,Common Pleas Court,1,1
2020-05-22,Dumb Energy,1,2
2020-05-22,Facebook,1,3
2020-05-22,Goddard Space Flight Center,1,4
2020-05-22,Gynecologist Office,1,5
2020-05-22,Jp Morgan,1,6
2020-05-22,Justice Department,1,7
2020-05-22,Meals On Wheels At An Optometrist Office,1,8
2020-05-22,United States,1,9
2020-05-22,White House,1,10
2020-05-22,Youtube,1,11
2020-05-23,Department Of Health,1,1
2020-05-23,Department Of State Communications,1,2
2020-05-28,Health Care Providers,1,1
2020-05-28,Health Dr,1,2
2020-06-03,Lutheran Church,1,1
2020-06-03,Matthew Lutheran Church,1,2
2020-06-03,Shikellamy High School,1,3
2020-06-03,Shikellamy Middle School,1,4
2020-06-03,Union Township,1,5
2020-06-03,Union Township In Union,1,6
2020-06-11,Community Aid,1,1
2020-06-11,Goodwill Stores,1,2
2020-06-11,Mission Advancement,1,3
2020-06-16,Centers For Disease,1,1
2020-06-16,Department Of Health,1,2
2020-06-16,Health Centers,1,3
2020-06-16,Quest Diagnostics,1,4
2020-06-16,Walmart,1,5
2020-06-18,Red Cross Biomedical Services,1,1
