date,organization,count,rn
2020-03-11,Associated Press,1,6
2020-03-11,Human Services,1,7
2020-03-11,Imperial Japanese Army,1,8
2020-03-11,Las Cruces Convention Center,1,9
2020-03-11,Mexico State University,1,10
2020-03-11,United States,1,11
2020-03-11,White House,1,12
2020-03-11,World Health Organization,1,13
2020-03-11,Department Of Health,2,4
2020-03-11,Mexico Department Of Health,2,5
2020-03-11,Centers For Disease,3,3
2020-03-11,University Of New Mexico,5,2
2020-03-11,Health Department,7,1
2020-03-12,Department Operations Center,1,25
2020-03-12,Imperial Japanese Army,1,26
2020-03-12,Las Cruces Convention Center,1,27
2020-03-12,Mexico State University,1,28
2020-03-12,United States,1,29
2020-03-12,University Of New Mexico,1,30
2020-03-12,White House,1,31
2020-03-12,World Health Organization,1,32
2020-03-12,Associated Press,2,7
2020-03-12,Colorado Department Of Public Health,2,8
2020-03-12,Colorado Division Of Insurance,2,9
2020-03-12,Colorado High School Activities Association,2,10
2020-03-12,Coloradothe Colorado Department Of Public Health,2,11
2020-03-12,Courtesy Of San Juan Regional Medical Center,2,12
2020-03-12,Department Of Labor,2,13
2020-03-12,Durango School District,2,14
2020-03-12,European Union,2,15
2020-03-12,Fort Lewis College,2,16
2020-03-12,Health Fair,2,17
2020-03-12,Health Fairs,2,18
2020-03-12,Mexico Department Of Health Bureau Of Health,2,19
2020-03-12,Mexico Department Of Health Scientific Laboratory,2,20
2020-03-12,Nan,2,21
2020-03-12,Oval Office,2,22
2020-03-12,San Juan Regional Medical Center,2,23
2020-03-12,Small Business Administration,2,24
2020-03-12,Health Department,3,4
2020-03-12,Human Services,3,5
2020-03-12,Mexico Health,3,6
2020-03-12,Department Of Health,4,3
2020-03-12,Centers For Disease,5,1
2020-03-12,Mexico Department Of Health,5,2
2020-03-13,Human Services,1,24
2020-03-13,Associated Press,2,20
2020-03-13,Incident Management Team,2,21
2020-03-13,Mexico Department Of Health,2,22
2020-03-13,Mexico Health,2,23
2020-03-13,World Health Organization,3,19
2020-03-13,Centers For Disease,4,1
2020-03-13,Colorado Department Of Public Health,4,2
2020-03-13,Colorado Division Of Insurance,4,3
2020-03-13,Colorado High School Activities Association,4,4
2020-03-13,Coloradothe Colorado Department Of Public Health,4,5
2020-03-13,Courtesy Of San Juan Regional Medical Center,4,6
2020-03-13,Department Of Labor,4,7
2020-03-13,Durango School District,4,8
2020-03-13,European Union,4,9
2020-03-13,Fort Lewis College,4,10
2020-03-13,Health Department,4,11
2020-03-13,Health Fair,4,12
2020-03-13,Health Fairs,4,13
2020-03-13,Mexico Department Of Health Bureau Of Health,4,14
2020-03-13,Mexico Department Of Health Scientific Laboratory,4,15
2020-03-13,Oval Office,4,16
2020-03-13,San Juan Regional Medical Center,4,17
2020-03-13,Small Business Administration,4,18
2020-03-14,Centers For Disease,1,18
2020-03-14,Colorado Department Of Public Health,1,19
2020-03-14,Colorado Division Of Insurance,1,20
2020-03-14,Colorado High School Activities Association,1,21
2020-03-14,Coloradothe Colorado Department Of Public Health,1,22
2020-03-14,Courtesy Of San Juan Regional Medical Center,1,23
2020-03-14,Department Of Labor,1,24
2020-03-14,Durango School District,1,25
2020-03-14,European Union,1,26
2020-03-14,Fort Lewis College,1,27
2020-03-14,Health Department,1,28
2020-03-14,Health Fair,1,29
2020-03-14,Health Fairs,1,30
2020-03-14,Mexico Department Of Health Bureau Of Health,1,31
2020-03-14,Mexico Department Of Health Scientific Laboratory,1,32
2020-03-14,Oval Office,1,33
2020-03-14,San Juan Regional Medical Center,1,34
2020-03-14,Small Business Administration,1,35
2020-03-14,Aggressive Christianity Missions Training Corps,2,2
2020-03-14,Albuquerque Academy,2,3
2020-03-14,Associated Press,2,4
2020-03-14,Bureau Of Reclamation,2,5
2020-03-14,Census Bureau,2,6
2020-03-14,Game Commission,2,7
2020-03-14,Health Emergency,2,8
2020-03-14,Holtec International,2,9
2020-03-14,Human Services,2,10
2020-03-14,Mexico Supreme Court,2,11
2020-03-14,Mexico Supreme Court Upholds Woman Murder Conviction,2,12
2020-03-14,Mexico Wildlife Federation,2,13
2020-03-14,Nuclear Regulatory Commission,2,14
2020-03-14,Plan To Store Nuke,2,15
2020-03-14,Police Get Tips,2,16
2020-03-14,United States,2,17
2020-03-14,Department Of Health,4,1
2020-03-15,Centers For Disease,1,1
2020-03-15,Colorado Department Of Public Health,1,2
2020-03-15,Colorado Division Of Insurance,1,3
2020-03-15,Colorado High School Activities Association,1,4
2020-03-15,Coloradothe Colorado Department Of Public Health,1,5
2020-03-15,Courtesy Of San Juan Regional Medical Center,1,6
2020-03-15,Department Of Labor,1,7
2020-03-15,Durango School District,1,8
2020-03-15,European Union,1,9
2020-03-15,Fort Lewis College,1,10
2020-03-15,Health Department,1,11
2020-03-15,Health Fair,1,12
2020-03-15,Health Fairs,1,13
2020-03-15,Mexico Department Of Health Bureau Of Health,1,14
2020-03-15,Mexico Department Of Health Scientific Laboratory,1,15
2020-03-15,Oval Office,1,16
2020-03-15,San Juan Regional Medical Center,1,17
2020-03-15,Small Business Administration,1,18
2020-03-16,Centers For Disease,2,1
2020-03-16,Colorado Department Of Health,2,2
2020-03-16,Colorado Department Of Public Health,2,3
2020-03-16,Colorado Division Of Insurance,2,4
2020-03-16,Colorado High School Activities Association,2,5
2020-03-16,Coloradothe Colorado Department Of Public Health,2,6
2020-03-16,Courtesy Of San Juan Regional Medical Center,2,7
2020-03-16,Department Of Labor,2,8
2020-03-16,Durango School District,2,9
2020-03-16,European Union,2,10
2020-03-16,Fort Lewis College,2,11
2020-03-16,Health Department,2,12
2020-03-16,Health Fair,2,13
2020-03-16,Health Fairs,2,14
2020-03-16,Mexico Department Of Health Bureau Of Health,2,15
2020-03-16,Mexico Department Of Health Scientific Laboratory,2,16
