date,organization,count,rn
2020-03-01,Centers For Disease,1,1
2020-03-01,Department Of Defense,1,2
2020-03-01,Rappahannock Area Health District,1,3
2020-03-01,United States,1,4
2020-03-01,Virginia Department Of Health,1,5
2020-03-01,World Health Organization,1,6
2020-03-10,Centers For Disease,1,1
2020-03-10,Division Of Consolidated Laboratory Services In Richmond,1,2
2020-03-10,Fairfax Health,1,3
2020-03-10,Health Department,1,4
2020-03-10,Marine Corps Base Quantico,1,5
2020-03-10,Rappahannock Area Health,1,6
2020-03-10,Rappahannock Area Health District,1,7
2020-03-10,Virginia Department Of Health,1,8
2020-03-12,National Capital Region,1,8
2020-03-12,United States,2,5
2020-03-12,Virginia Department Of Health,2,6
2020-03-12,World Health Organization,2,7
2020-03-12,Quest Diagnostics,3,4
2020-03-12,Centers For Disease,4,3
2020-03-12,Johns Hopkins University,6,1
2020-03-12,Marine Corps Base Quantico,6,2
2020-03-13,National Capital Region,1,5
2020-03-13,Centers For Disease,3,1
2020-03-13,Johns Hopkins University,3,2
2020-03-13,Marine Corps Base Quantico,3,3
2020-03-13,Virginia Department Of Health,3,4
2020-03-14,Community Development,1,1
2020-03-14,Facebook,1,2
2020-03-14,Nan,1,3
2020-03-14,Police Department,1,4
2020-03-14,Public Works Department,1,5
2020-03-14,Recreation Center,1,6
2020-03-14,United States,1,7
2020-03-14,Virginia Department Of Health,1,8
2020-03-14,Visitor Center,1,9
2020-03-17,Comcast,1,1
2020-03-19,Division Superintendent Dr,1,1
2020-03-19,Elementary School,1,2
2020-03-19,Falmouth Elementary School,1,3
2020-03-19,Star Early Childhood Education Center,1,4
2020-03-19,Virginia Department Of Education,1,5
2020-03-19,Widewater Elementary School,1,6
2020-03-20,Centers For Disease,1,2
2020-03-20,Child Center,1,3
2020-03-20,Customer Service Center,1,4
2020-03-20,Disbursement Center,1,5
2020-03-20,Minnieland Academy,1,6
2020-03-20,Rappahannock Area Health District,1,7
2020-03-20,Stafford High School,1,8
2020-03-20,Us Small Business Administration,1,9
2020-03-20,Virginia Department Of Health,2,1
2020-03-21,Child Center,1,2
2020-03-21,Community Foundation,1,3
2020-03-21,Healthcare Center,1,4
2020-03-21,Minnieland Academy,1,5
2020-03-21,Public Health Department,1,6
2020-03-21,Rivers Health District,1,7
2020-03-21,Virginia Health,1,8
2020-03-21,Ymca,1,9
2020-03-21,Virginia Department Of Health,2,1
2020-03-22,Alexander School Of Early Learning In Spotsylvania,1,1
2020-03-22,Health System In Richmond,1,2
2020-03-22,Skipwith Academy In Ashland,1,3
2020-03-22,Virginia Department Of Social Services,1,4
2020-03-23,Bennett Elementary School,1,1
2020-03-23,Benton Middle School,1,2
2020-03-23,Community Engagement,1,3
2020-03-23,Health Department,1,4
2020-03-23,Pennington Traditional School,1,5
2020-03-23,Prince William Health District,1,6
2020-03-23,Stafford High School,1,7
2020-03-24,Johns Hopkins University,1,1
2020-03-24,Nan,1,2
2020-03-24,Virginia Department Of Health,1,3
2020-03-25,Corporation Commission,1,1
