date,organization,count,rn
2020-03-16,Clerk Of Superior Court,1,1
2020-03-16,District Court,1,2
2020-03-16,Facebook,1,3
2020-03-19,Carolina Department Of Health,1,1
2020-03-19,Department Of Health,1,2
2020-03-19,Health Board,1,3
2020-03-19,Health Department,1,4
2020-03-19,Human Services,1,5
2020-03-23,Associated Press,1,1
2020-03-23,Division Of Employment Security,1,2
2020-03-23,Great Smoky Mountains National Park,1,3
2020-03-23,His Department,1,4
2020-03-24,Academic Affairs Grant Hayes,1,2
2020-03-24,Boeing,1,3
2020-03-24,British Health,1,4
2020-03-24,Call Center,1,5
2020-03-24,Carolina Department Of Health,1,6
2020-03-24,Carolina University,1,7
2020-03-24,Centers For Disease,1,8
2020-03-24,Chinese Foreign Ministry,1,9
2020-03-24,College Of Education,1,10
2020-03-24,Division Of Employment Security,1,11
2020-03-24,Federal Reserve,1,12
2020-03-24,Great Smoky Mountains National Park,1,13
2020-03-24,His Department,1,14
2020-03-24,Human Services,1,15
2020-03-24,International Olympic Committee,1,16
2020-03-24,Johns Hopkins University,1,17
2020-03-24,Kaiser Family Foundation,1,18
2020-03-24,Pitt High School,1,19
2020-03-24,United States,1,20
2020-03-24,University Of North Carolina,1,21
2020-03-24,World Health Organization,1,22
2020-03-24,Associated Press,2,1
2020-03-30,Centers For Disease,1,1
2020-03-30,Cnn,1,2
2020-03-30,Congress On,1,3
2020-03-30,Human Services,1,4
2020-03-30,Johns Hopkins University,1,5
2020-03-30,National Association Of Manufacturers,1,6
2020-03-30,National Institute Of Allergy,1,7
2020-03-30,Stokes Conty Health Department,1,8
2020-03-30,White House,1,9
2020-03-31,Department Of Health,1,1
2020-03-31,Health Department,1,2
2020-03-31,House Oversight Committee,1,3
2020-03-31,Human Services,1,4
2020-03-31,Nanthala National Forest Tusquitee Ranger District,1,5
2020-03-31,Nc Health,1,6
2020-03-31,Providence Day School,1,7
2020-03-31,Smith Family Foundation,1,8
2020-04-02,Brown Mountain Church,1,1
2020-04-02,Charter Communications,1,2
2020-04-02,Comcast,1,3
2020-04-02,Department Of Heath,1,4
2020-04-02,Dominion Energy,1,5
2020-04-02,Duke Energy,1,6
2020-04-02,Facebook,1,7
2020-04-02,Health Department,1,8
2020-04-02,Human Services,1,9
2020-04-02,Instagram,1,10
2020-04-02,London Elementary School,1,11
2020-04-02,Nancy Reynolds Elementary School,1,12
2020-04-02,National Institute Of Allergy,1,13
2020-04-02,Nc Department Of Public Instruction,1,14
2020-04-02,Palmyra Church,1,15
2020-04-02,Piney Grove Middle School,1,16
2020-04-02,Poplar Springs Elementary School,1,17
2020-04-02,Revenue Service,1,18
2020-04-02,Riverstreet Networks,1,19
2020-04-02,Riverstreet Networks Retail Office,1,20
2020-04-02,School St,1,21
2020-04-02,Southeastern Stokes Middle School,1,22
2020-04-02,Stokes High School,1,23
2020-04-02,Treasury Department,1,24
2020-04-02,Twitter,1,25
2020-04-02,Verizon,1,26
2020-05-05,Commwell Health In Dunn,1,1
2020-05-05,Eaton,1,2
2020-05-05,Farm Labor Organizing Committee,1,3
2020-05-05,Farmworker Advocacy Network,1,4
2020-05-05,Human Services,1,5
2020-05-05,National Public Radio,1,6
2020-05-05,United States,1,7
2020-05-20,Early College,1,1
2020-05-20,Network Monitoring,1,2
2020-05-20,Southdata Network Services,1,3
2020-05-20,White House Coronavirus Task,1,4
2020-05-29,William Peace University In Raleigh,1,1
2020-06-09,Department Of Health,1,1
2020-06-09,Human Services,1,2
2020-06-09,Office Of The Governor Of North Carolina,1,3
2020-06-09,United States,1,4
2020-06-10,Carolina Department Of Health,1,2
2020-06-10,Facebook,1,3
2020-06-10,Health Department,1,4
2020-06-10,Human Services,2,1
2020-06-12,Carolina Department Of Health,1,1
2020-06-12,Health Department,1,2
2020-06-12,Human Services,1,3
2020-06-20,Carolina Department Of Health,1,1
2020-06-20,Human Services,1,2
2020-06-20,Supreme Court,1,3
2020-06-20,White House,1,4
2020-06-28,Associated Press,1,2
2020-06-28,Nan,2,1
2020-06-29,Gilead Sciences,1,3
2020-06-29,Human Services On,1,4
2020-06-29,Twitter,1,5
2020-06-29,United States,1,6
2020-06-29,White House,1,7
2020-06-29,Nan,2,2
2020-06-29,Associated Press,3,1
2020-07-04,Nan,1,1
