date,organization,count,rn
2020-03-10,Aromatherapy Ltd,1,1
2020-03-10,Drug Administration,1,2
2020-03-18,District Court,1,1
2020-03-18,Facebook,1,2
2020-03-18,Office Of Emergency Management,1,3
2020-03-18,Office Of Emergency Management For Izard,1,4
2020-03-19,Customer Service,1,8
2020-03-19,United States,1,9
2020-03-19,Chancery Court,2,1
2020-03-19,Circuit Court,2,2
2020-03-19,Court St,2,3
2020-03-19,Justice Court,2,4
2020-03-19,Justice Court Clerk Aletha Parker,2,5
2020-03-19,Mississippi State Department Of Health,2,6
2020-03-19,Muicipal Court Clerk,2,7
2020-03-20,Associated Press,1,1
2020-03-20,Customer Service,1,2
2020-03-20,Department Of Labor,1,3
2020-03-20,Facebook,1,4
2020-03-20,Missouri Center,1,5
2020-03-20,Nan,1,6
2020-03-20,National Office,1,7
2020-03-20,Public Health Excellence,1,8
2020-03-20,United States,1,9
2020-03-21,Assemblies Of God World Missions,1,6
2020-03-21,Associated Press,1,7
2020-03-21,Department Of Health,1,8
2020-03-21,Health Clay Goddard,1,9
2020-03-21,Health Department,1,10
2020-03-21,Missouri Department Of Health,1,11
2020-03-21,National Leadership,1,12
2020-03-21,National Office,1,13
2020-03-21,Resource Center,1,14
2020-03-21,Senior Services,1,15
2020-03-21,University Of Missouri,2,5
2020-03-21,Department Of Labor,4,2
2020-03-21,Missouri Center,4,3
2020-03-21,Public Health Excellence,4,4
2020-03-21,Facebook,5,1
2020-03-22,Department Of Health,1,1
2020-03-22,Department Of Labor,1,2
2020-03-22,Facebook,1,3
2020-03-22,Missouri Center,1,4
2020-03-22,Missouri Department Of Health,1,5
2020-03-22,Public Health Excellence,1,6
2020-03-22,Senior Services,1,7
2020-03-24,Mississippi State Department Of Health,1,1
2020-03-24,Pearson,1,2
2020-04-05,Christian Associates,1,1
2020-04-05,Community Foundation Of The Ozarks,1,2
2020-04-05,Community Partnership Of The Ozarks,1,3
2020-04-05,Darr Family Foundation,1,4
2020-04-05,Julia Dorothy Coover Charitable Foundation,1,5
2020-04-05,Leader Community Foundation Of The Ozarks,1,6
2020-04-05,Missouri Foundation For Health,1,7
2020-04-05,Recovery Fund,1,8
2020-04-05,Seniorage Area Agency On,1,9
2020-04-05,University Of Missouri Extension Shannon,1,10
2020-04-05,White River Valley Electric,1,11
2020-04-10,Facebook,1,1
2020-04-10,Missouri Department Of Health,1,2
2020-04-12,Facebook,1,1
2020-04-12,Missouri Department Of Health,1,2
2020-05-05,Missouri Department Of Health Senior Services,1,1
2020-05-12,Drug Administration,1,1
2020-05-12,Morningside Church,1,2
2020-05-12,Silver Solutions,1,3
2020-05-12,Stone County Circuit Court,1,4
2020-06-06,Nan,1,1
2020-06-17,Mississippi Department Of Employment Services,1,1
2020-06-17,Mississippi State Department Of Health,1,2
