date,organization,count,rn
2020-02-06,Community Health Needs Study,2,1
2020-02-06,Harvard School Of Public Health,2,2
2020-02-06,Iowa Department Of Health,2,3
2020-02-06,Mary Greeley Medical Center,2,4
2020-02-06,Robert Wood Johnson Foundation,2,5
2020-02-06,United States,2,6
2020-02-28,Centers For Disease,1,1
2020-02-28,Iowa City,1,2
2020-02-28,Iowa Department Of Public Health,1,3
2020-02-28,Mary Greeley Medical Center,1,4
2020-02-28,United States,1,5
2020-03-03,America Health Rankings,1,1
2020-03-03,Catalyst Health Network In Plano,1,2
2020-03-03,Crosse Center,1,3
2020-03-03,Kohl Center,1,4
2020-03-03,Milbank Memorial Fund,1,5
2020-03-03,Saint Mary University,1,6
2020-03-03,Student Health Center,1,7
2020-03-03,Twitter,1,8
2020-03-03,United States,1,9
2020-03-03,University Of Arizona,1,10
2020-03-03,Viterbo University,1,11
2020-03-03,Winona State University,1,12
2020-03-10,Grinnell College,1,1
2020-03-10,Harvard University,1,2
2020-03-10,Hygienic Lab,1,3
2020-03-10,Iowa Department Of Public Health,1,4
2020-03-10,Iowa State University,1,5
2020-03-10,Mary Greeley Medical Center,1,6
2020-03-10,News Service,1,7
2020-03-10,Northern Iowa University,1,8
2020-03-10,Stanford University,1,9
2020-03-10,United States,1,10
2020-03-10,University Of Iowa,1,11
2020-03-10,World Health Organization,1,12
2020-03-15,Emergency Operations Center,1,1
2020-03-15,Iowa State University,1,2
2020-03-15,United States,1,3
2020-03-15,University Of Northern Iowa,1,4
2020-03-17,Bethesday Lutheran Church,1,3
2020-03-17,Calvary United Methodist Church,1,4
2020-03-17,Cecilia Catholic Church,1,5
2020-03-17,Cornerstone Church,1,6
2020-03-17,Facebook,1,7
2020-03-17,Iowa Community Action,1,8
2020-03-17,Salvation Army Service Center,1,9
2020-03-17,Stonybrook Community Church,1,10
2020-03-17,Ames Chamber,2,1
2020-03-17,Danfoss,2,2
2020-03-18,Administration Building,1,1
2020-03-18,Auditor Office,1,2
2020-03-18,Bethesday Lutheran Church,1,3
2020-03-18,Calvary United Methodist Church,1,4
2020-03-18,Community Services,1,5
2020-03-18,Comunity Services,1,6
2020-03-18,Conservation Center,1,7
2020-03-18,Environmental Health,1,8
2020-03-18,Geographic Information Services,1,9
2020-03-18,Human Service Center,1,10
2020-03-18,Information Technology,1,11
2020-03-18,Iowa Community Action,1,12
2020-03-18,Justice Center,1,13
2020-03-18,Main Office,1,14
2020-03-18,Recorder Office,1,15
2020-03-18,Salvation Army Service Center,1,16
2020-03-18,Sheriff Office,1,17
2020-03-18,Veterans Affairs,1,18
2020-03-20,Daryl Gun Shop In State Center,1,1
2020-03-20,Jacobson Gun Center,1,2
2020-03-21,Small Business Administration,1,1
2020-03-27,College Of Veterinary Medicine,1,1
2020-03-27,Hawkeye Community College,1,2
2020-03-27,Hygienic Lab,1,3
2020-03-27,Iowa State University News Services,1,4
2020-03-27,Iowa State University Veterinary Diagnostic Lab,1,5
2020-03-27,Student Health Center,1,6
2020-03-27,University Book,1,7
2020-03-27,University Of Northern Iowa,1,8
2020-03-27,Vet Diagnostic Lab,1,9
2020-03-27,Veterinary Diagnostic Laboratory,1,10
2020-03-27,Waterloo Community Schools,1,11
2020-03-28,United States,1,1
2020-03-31,Iowa State University,1,1
2020-04-01,Centers For Disease,2,1
2020-04-01,Iowa State University,2,2
2020-04-01,Mary Greeley Medical Center,2,3
2020-04-05,Congressional Management Foundation,1,1
2020-04-05,Dairy Margin Coverage Program,1,2
2020-04-05,Senate Democratic,1,3
2020-04-07,Ames Public Library,1,1
2020-04-07,Facebook,1,2
2020-04-11,Emergency Management Agency,1,1
2020-04-11,Iowa Department Of Public Health,1,2
2020-04-11,Iowa Department Of Public Health Deputy,1,3
2020-04-11,United States,1,4
2020-04-11,University Of Iowa,1,5
