date,organization,count,rn
2020-04-01,National Property Inspections,1,1
2020-04-03,Centers For Disease,1,2
2020-04-03,Health Department,1,3
2020-04-03,New York Times,1,4
2020-04-03,Public Health Laboratory,1,5
2020-04-03,Public Health Nurse,1,6
2020-04-03,Response Group,1,7
2020-04-03,Sublette Center,1,8
2020-04-03,White House Coronavirus Task,1,9
2020-04-03,White House Task,1,10
2020-04-03,Department Of Health,2,1
2020-04-13,National High School Final Rodeo,1,1
2020-04-17,Board Of Trustees,1,1
2020-04-17,Department Of Family Services,1,2
2020-04-17,Division Of Criminal Investigation,1,3
2020-04-17,Eastern Wyoming College,1,4
2020-04-17,Environmental Protection Agency,1,5
2020-04-25,National Association Of Counties,1,1
2020-04-25,Service Office,1,2
2020-04-25,While Congress,1,3
2020-04-29,Jonah Bond Value Jonah Energy,1,14
2020-04-29,Bonds,2,1
2020-04-29,Energy Corporation,2,2
2020-04-29,Exchange Commission,2,3
2020-04-29,Fitch Ratings,2,4
2020-04-29,Gas Conservation Commission,2,5
2020-04-29,Jonah Energy,2,6
2020-04-29,Jonah Energy Vice,2,7
2020-04-29,Service Office,2,8
2020-04-29,Texas Pacific Group,2,9
2020-04-29,Ultra Petroleum,2,10
2020-04-29,Ultra Petroleum Corp,2,11
2020-04-29,University Of Wyoming Enhanced Oil Recovery Institute,2,12
2020-04-29,Whiting Petroleum,2,13
2020-04-30,Bonds,1,1
2020-04-30,Energy Corporation,1,2
2020-04-30,Exchange Commission,1,3
2020-04-30,Fitch Ratings,1,4
2020-04-30,Gas Conservation Commission,1,5
2020-04-30,Jonah Energy,1,6
2020-04-30,Jonah Energy Vice,1,7
2020-04-30,Service Office,1,8
2020-04-30,Texas Pacific Group,1,9
2020-04-30,Ultra Petroleum,1,10
2020-04-30,Ultra Petroleum Corp,1,11
2020-04-30,University Of Wyoming Enhanced Oil Recovery Institute,1,12
2020-04-30,Whiting Petroleum,1,13
2020-05-01,Bonds,1,1
2020-05-01,Energy Corporation,1,2
2020-05-01,Exchange Commission,1,3
2020-05-01,Fitch Ratings,1,4
2020-05-01,Gas Conservation Commission,1,5
2020-05-01,Jonah Energy,1,6
2020-05-01,Jonah Energy Vice,1,7
2020-05-01,Service Office,1,8
2020-05-01,Texas Pacific Group,1,9
2020-05-01,Ultra Petroleum,1,10
2020-05-01,Ultra Petroleum Corp,1,11
2020-05-01,University Of Wyoming Enhanced Oil Recovery Institute,1,12
2020-05-01,Whiting Petroleum,1,13
2020-05-15,Nan,1,1
2020-05-16,Conference Committee,1,2
2020-05-16,Department Of Health,1,3
2020-05-16,Health Department,1,4
2020-05-16,Health Social Services,1,5
2020-05-16,Labor Committee,1,6
2020-05-16,Legislature On Youtube,1,7
2020-05-16,National Guard,1,8
2020-05-16,National Public Radio,1,9
2020-05-16,Oil City,1,10
2020-05-16,Senate File,1,11
2020-05-16,United States Department Of Treasury,1,12
2020-05-16,Yellowstone National Park,1,13
2020-05-16,Nan,2,1
2020-06-12,Nan,1,1
2020-06-30,Committee On School Finance Recalibration,1,1
2020-06-30,Department Of Education,1,2
2020-06-30,Supreme Court,1,3
