date,organization,count,rn
2020-02-07,Facebook,1,1
2020-02-07,Humboldt State University,1,2
2020-02-07,New York Times,1,3
2020-02-18,Her Department,1,1
2020-02-18,National Institute Of Allergy,1,2
2020-02-18,United States,1,3
2020-02-18,York State Department Of Health,1,4
2020-02-20,Associated Press,1,1
2020-02-20,Council Of The Federation,1,2
2020-02-20,Hampshire State Police,1,3
2020-02-20,New York Times,1,4
2020-02-20,Ontario Financial Accountability Office,1,5
2020-02-20,Reuters,1,6
2020-02-20,Via Rail,1,7
2020-02-27,California Department Of Public Health,1,1
2020-02-27,Centers For Disease,1,2
2020-02-27,Department Of Health,1,3
2020-02-27,Drug Administration,1,4
2020-02-27,Human Services,1,5
2020-02-27,Our Department Of Health,1,6
2020-02-27,Purdue University,1,7
2020-02-27,Ruppert Department,1,8
2020-02-27,Sheriff Office,1,9
2020-02-27,Twitter,1,10
2020-02-27,United States,1,11
2020-02-27,White House,1,12
2020-02-27,York State Department Of Health,1,13
2020-02-29,Associated Press,1,1
2020-02-29,Facebook,1,2
2020-02-29,Tennessee Bureau Of Investigation,1,3
2020-02-29,Us Army,1,4
2020-02-29,Wikes County Sheriff Office,1,5
2020-03-01,Network Knox News,3,4
2020-03-01,United States,3,5
2020-03-01,Facebook,6,1
2020-03-01,Tennessee Bureau Of Investigation,6,2
2020-03-01,Tommy,6,3
2020-03-03,Department Of Health,1,1
2020-03-03,Division Of Public Health Services,1,2
2020-03-03,Hitchcock Health,1,3
2020-03-03,Human Services,1,4
2020-03-03,Officials At Dartmouth Tuck Business School,1,5
2020-03-03,River Valley Community College,1,6
2020-03-04,City Council,1,1
2020-03-04,Dartmouth College,1,2
2020-03-04,Department Of Health,1,3
2020-03-04,Facebook,1,4
2020-03-04,Hampshire Department Of Health,1,5
2020-03-04,Human Services,1,6
2020-03-04,Human Services Division Of Public Health Services,1,7
2020-03-04,Morris,1,8
2020-03-04,River Valley Community College,1,9
2020-03-04,Tuck School Of Business,1,10
2020-03-04,United States,1,11
2020-03-04,Vermont Health Department Laboratory In Colchester,1,12
2020-03-04,World Health Organization,1,13
2020-03-05,Centers For Disease,1,1
2020-03-05,Community Synagogue Of Rye Rabbi Daniel Gropper,1,2
2020-03-05,Geisel School Of Medicine At Dartmouth,1,3
2020-03-05,Grace Episcopal Church,1,4
2020-03-05,Hampshire Department Of Health,1,5
2020-03-05,Hitchcock Medical Center,1,6
2020-03-05,Human Services,1,7
