date,organization,count,rn
2020-03-21,Appleton Area Health,1,2
2020-03-21,Benson Health Services In Benson,1,3
2020-03-21,Johnson Memorial Health Services In Dawson,1,4
2020-03-21,Madison Healthcare Services In Madison,1,5
2020-03-21,United States,1,6
2020-03-21,Appleton Area Health Services,2,1
2020-03-22,Appleton Area Health Services,1,1
2020-03-26,Brookings Institute Scott Andes,1,1
2020-03-26,Obama Administration,1,2
2020-03-26,Pew Research,1,3
2020-03-26,United States,1,4
2020-04-30,Benson Health Services,1,1
2020-04-30,Carris Health,1,2
2020-04-30,Carris Health Of Willmar,1,3
2020-04-30,Centracare Health,1,4
2020-04-30,Centracare Health Of St,1,5
2020-04-30,Countryside Public Health,1,6
2020-04-30,Minnesota Department Of Health,1,7
2020-04-30,Thomas Academy,1,8
2020-05-13,Centers For Disease,1,1
2020-05-13,Indiana University School Of Medicine,1,2
2020-05-13,National Center,1,3
2020-05-13,Pew Research Center,1,4
2020-05-13,Regenstrief Institute,1,5
2020-06-12,Benson Health Services,1,1
2020-06-12,Carolina Rural Health Research Program,1,2
2020-06-12,Minnesota Hospital Association,1,3
2020-06-12,Shore Health,1,4
2020-06-12,Shore Health In Grand Marais,1,5
