date,organization,count,rn
2020-03-02,Nan,1,1
2020-03-05,Clorox,1,1
2020-03-05,Department Of Education,1,2
2020-03-05,Department Of Health,1,3
2020-03-05,Fletcher Technical Community College,1,4
2020-03-05,Nicholls State University,1,5
2020-03-05,Terrebonne School Superintendent Philip Martin,1,6
2020-03-08,Associated Press,1,1
2020-03-08,Bloomberg,1,2
2020-03-08,Exxon,1,3
2020-03-08,Lufthansa,1,4
2020-03-10,Facebook,2,1
2020-03-10,John Navy,2,2
2020-03-11,Centers For Disease,1,1
2020-03-11,Emergency Preparedness Committee,1,2
2020-03-11,Nicholls State University,1,3
2020-03-11,University Of New Orleans,1,4
2020-03-11,World Health Organization,1,5
2020-03-12,Governor Office,1,3
2020-03-12,Governor Press Office,1,4
2020-03-12,Health Department,1,5
2020-03-12,John Navy,1,6
2020-03-12,Louisiana Office Of Public Health,1,7
2020-03-12,Loyola University,1,8
2020-03-12,Manship News Service,1,9
2020-03-12,Network Of Louisiana,1,10
2020-03-12,Nicholls State University,1,11
2020-03-12,Ochsner Health,1,12
2020-03-12,Ochsner West Bank,1,13
2020-03-12,Office Of Public Health,1,14
2020-03-12,School Board,1,15
2020-03-12,Tulane University,1,16
2020-03-12,United States,1,17
2020-03-12,United States Today Network,1,18
2020-03-12,Xavier University,1,19
2020-03-12,Centers For Disease,2,1
2020-03-12,Louisiana Department Of Health,2,2
2020-03-13,Department Of Health,1,3
2020-03-13,Governor Press Office,1,4
2020-03-13,Health Department,1,5
2020-03-13,Johns Hopkins University Center,1,6
2020-03-13,Louisiana Office Of Public Health,1,7
2020-03-13,Loyola University,1,8
2020-03-13,Ochsner Health,1,9
2020-03-13,Ochsner Health System,1,10
2020-03-13,Tulane University,1,11
2020-03-13,United States,1,12
2020-03-13,Veterans Affairs Medical Center,1,13
2020-03-13,Centers For Disease,2,2
2020-03-13,Louisiana Department Of Health,3,1
2020-03-14,Civic Center,2,1
2020-03-14,Clorox,2,2
2020-03-14,Council On,2,3
2020-03-14,Department Of Health,2,4
2020-03-14,Fletcher Technical Community College,2,5
2020-03-14,Nicholls State University In Thibodaux,2,6
2020-03-15,Centers For Disease Control In Atlanta,1,1
2020-03-15,Louisiana Department Of Hospitals,1,2
2020-03-16,Ic Solutions,1,1
2020-03-16,Louisiana Department Of Corrections,1,2
2020-03-16,Transitional Work Program,1,3
2020-03-17,City Court,1,2
2020-03-17,Council On,1,3
2020-03-17,Facebook,1,4
2020-03-17,Folklife Museum,1,5
2020-03-17,Human Services,1,6
2020-03-17,Louisiana Department Of Health,1,7
2020-03-17,Louisiana Supreme Court,1,8
2020-03-17,Louisiana Workforce Commission,1,9
2020-03-17,Parish Council,1,10
2020-03-17,Terrebonne Council On Aging,1,11
2020-03-17,Terrebonne Wildlife Museum,1,12
2020-03-17,Workforce Commission Office Of Worker Compensation Office,1,13
2020-03-17,Judicial Court System,2,1
2020-03-18,Associated Press,1,8
2020-03-18,Centers For Disease,1,9
2020-03-18,City Court,1,10
2020-03-18,Council On,1,11
2020-03-18,Folklife Museum,1,12
2020-03-18,Health Department,1,13
2020-03-18,Human Services,1,14
2020-03-18,Judicial Court System,1,15
2020-03-18,Kenner,1,16
2020-03-18,Louisiana Legislature,1,17
2020-03-18,Louisiana Supreme Court,1,18
2020-03-18,Louisiana Workforce Commission,1,19
2020-03-18,Parish Council,1,20
2020-03-18,Terrebonne Council On Aging,1,21
2020-03-18,Terrebonne Wildlife Museum,1,22
2020-03-18,Transitional Work Program,1,23
2020-03-18,Workforce Commission Office Of Worker Compensation Office,1,24
2020-03-18,World Health Organization,1,25
2020-03-18,Facebook,2,6
2020-03-18,Ic Solutions,2,7
2020-03-18,Department Of Health,4,1
2020-03-18,Dillard,4,2
2020-03-18,Houma Police Department,4,3
2020-03-18,Sheriff Office,4,4
2020-03-18,Terrebonne Clerk Of Court,4,5
2020-03-19,City Court,1,6
2020-03-19,Council On,1,7
2020-03-19,Facebook,1,8
2020-03-19,Folklife Museum,1,9
2020-03-19,Human Services Department,1,10
2020-03-19,Judicial Court System,1,11
2020-03-19,Judicial Court System In Terrebonne Parish,1,12
2020-03-19,Louisiana Supreme Court,1,13
2020-03-19,Louisiana Workforce Commission,1,14
2020-03-19,Parish Council,1,15
