date,organization,count,rn
2020-03-06,United States,1,1
2020-03-29,New York Knicks,1,8
2020-03-29,Photo Services,1,9
2020-03-29,Johns Hopkins University,2,7
2020-03-29,John Hopkins University,5,6
2020-03-29,Community Health Services,6,5
2020-03-29,Associated Press,7,1
2020-03-29,Texas A M University In Texarkana,7,2
2020-03-29,United States,7,3
2020-03-29,University Of California,7,4
2020-03-30,John Hopkins University,1,7
2020-03-30,Associated Press,6,2
2020-03-30,Community Health Services,6,3
2020-03-30,Johns Hopkins University,6,4
2020-03-30,Texas A M University In Texarkana,6,5
2020-03-30,United States,6,6
2020-03-30,University Of California,8,1
2020-03-31,Administrative Office Of The Courts,1,2
2020-03-31,Associated Press,1,3
2020-03-31,Community Health Services,1,4
2020-03-31,Detention Center,1,5
2020-03-31,Johns Hopkins University,1,6
2020-03-31,Mexico Supreme Court,1,7
2020-03-31,Navajo Area Indian Health Service,1,8
2020-03-31,Navajo Department Of Health,1,9
2020-03-31,Supreme Court,1,10
2020-03-31,Texas A M University In Texarkana,1,11
2020-03-31,United States,1,12
2020-03-31,University Of California,1,13
2020-03-31,Workforce Solutions Department On,1,14
2020-03-31,Department Of Defense,2,1
2020-04-01,Associated Press,1,1
2020-04-01,Community Health Services,1,2
2020-04-01,John Hopkins University,1,3
2020-04-01,Texas A M University In Texarkana,1,4
2020-04-01,United States,1,5
2020-04-01,University Of California,1,6
2020-04-04,Administrative Office Of The Courts,1,1
2020-04-04,Department Of Defense,1,2
2020-04-04,Detention Center,1,3
2020-04-04,Mexico Supreme Court,1,4
2020-04-04,Supreme Court,1,5
2020-04-04,Workforce Solutions Department On,1,6
2020-04-06,Associated Press,1,1
2020-04-06,Community Health Services,1,2
2020-04-06,Department Of Homeland Security,1,3
2020-04-06,Emergency Management Agency,1,4
2020-04-06,Johns Hopkins University,1,5
2020-04-06,News Service Press,1,6
2020-04-06,Texas A M University In Texarkana,1,7
2020-04-06,United States,1,8
2020-04-06,University Of California,1,9
2020-04-06,White House,1,10
2020-04-09,Bureau Of Business Economic Research,1,1
2020-04-09,Google,1,2
2020-04-09,Human Services Department,1,3
2020-04-09,United States,1,4
2020-04-09,University Of New Mexico,1,5
2020-04-17,Emergency Operations Base In Queens,1,1
2020-04-17,Rhode Island Department Of Health,1,2
2020-04-17,Rhode Island Virtual Call Center,1,3
2020-04-17,Term Services,1,4
2020-04-17,Term Services Department,1,5
2020-04-17,United States,1,6
2020-04-17,Verizon,1,7
2020-04-17,Verizon Response Team,1,8
2020-04-29,Carlsbad City Council,1,1
2020-04-29,Carlsbad Department Of Development,1,2
2020-04-29,City Council,1,3
2020-04-29,Commission Chairperson Ernie Carlson,1,4
2020-04-29,Department Of Health,1,5
2020-04-29,Governor Office,1,6
2020-04-29,United States,1,7
2020-05-02,District Court,1,1
2020-05-02,Education Fund,1,2
2020-05-02,House Education Committee,1,3
2020-05-02,Hyatt,1,4
2020-05-02,Mexico Center On Law,1,5
2020-05-02,Public Education Department,1,6
2020-05-13,Associated Press,1,1
2020-05-13,Avangrid Renewables,1,2
2020-05-13,Bureau Of Reclamation,1,3
2020-05-13,Mexico Department Of Health,1,4
2020-05-13,Mexico Interstate Stream Commission,1,5
2020-05-13,Mexico Senate,1,6
2020-05-13,Mexico Supreme Court,1,7
2020-05-13,Shoe Service,1,8
2020-05-13,Supreme Court On,1,9
2020-05-13,Susan Montoya Bryan Associated,1,10
2020-05-14,Arizona Public Service,1,1
2020-05-14,Associated Press,1,2
2020-05-14,Avangrid Renewables,1,3
2020-05-14,Bureau Of Reclamation,1,4
2020-05-14,Forestry Division Of The Energy,1,5
2020-05-14,Institute For Energy Economics,1,6
2020-05-14,Land Office,1,7
2020-05-14,Mexico Department Of Health,1,8
2020-05-14,Mexico Interstate Stream Commission,1,9
2020-05-14,Mexico Senate,1,10
2020-05-14,Mexico State,1,11
2020-05-14,Mexico State Land Office,1,12
2020-05-14,Mexico State Trust Land,1,13
2020-05-14,Mexico Supreme Court,1,14
2020-05-14,Natural Resources Department,1,15
2020-05-14,Office Of Renewable Energy,1,16
2020-05-14,Renewable Energy Transmission Authority,1,17
2020-05-14,Shoe Service,1,18
2020-05-14,Supreme Court On,1,19
2020-05-14,Susan Montoya Bryan Associated,1,20
2020-05-14,Water Quality Control Commission,1,21
2020-05-15,Department Of Health,1,1
2020-05-15,Life Care Center,1,2
2020-05-15,Mexico Legislature,1,3
2020-05-15,Public Education Department,1,4
2020-05-15,United States,1,5
2020-05-17,Department Of Health,1,1
2020-05-21,Department Of Health,1,1
2020-05-21,Human Services,1,2
2020-05-21,Mexico Human Services Department,1,3
2020-05-21,United States,1,4
