date,organization,count,rn
2020-04-07,Chattanooga Times Free,1,1
2020-04-07,Forest Service,1,2
2020-04-07,Habersham Sheriff Department,1,3
2020-04-07,National Forest,1,4
2020-04-07,New York Times,1,5
2020-04-07,Oconee National Forest,1,6
2020-04-07,Walmart,1,7
2020-04-11,Canterbury Rehabilitation Healthcare Center,1,1
2020-04-11,Centers For Disease,1,2
2020-04-11,Community Facilities,1,3
2020-04-11,Emergency Management Agency Administrator Peter Gaynor On,1,4
2020-04-11,Healthcare Association,1,5
2020-04-11,Healthcare Center,1,6
2020-04-11,Kroger,1,7
2020-04-11,Mcguire Va Medical Center,1,8
2020-04-11,Virginia Department Of Health,1,9
2020-04-11,Virginia Department Of Health Communications,1,10
2020-04-11,Virginia Department Of Health Do,1,11
2020-04-11,Virginia Employment Commission,1,12
2020-04-11,Whole Foods Market,1,13
2020-05-01,Enotah Circuit District Attorney Office,1,1
2020-05-01,Georgia Department Of Health,1,2
2020-05-01,Health Clinic,1,3
2020-05-01,Health Department,1,4
2020-05-01,Health Department Personnel,1,5
2020-05-01,Jail Administration,1,6
2020-05-01,Sheriff Office,1,7
