date,organization,count,rn
2020-03-08,Department Of Health,1,1
2020-03-08,Human Services,1,2
2020-03-08,Public Health Laboratories,1,3
2020-03-08,World Health Organization,1,4
2020-03-19,London School Of Hygiene,1,1
2020-03-19,Simon Property Group,1,2
2020-03-19,Stanford Shopping Center,1,3
2020-03-19,Twitter,1,4
2020-03-19,United States,1,5
2020-03-25,Electronics Inc,1,1
2020-03-25,Linkedin,1,2
2020-03-26,Film Financing Forum,1,1
2020-03-26,Nan,1,2
2020-03-26,Producer Health Benefits Plan,1,3
2020-03-26,Team Downey,1,4
2020-03-31,Cnn,1,1
2020-03-31,Johns Hopkins University,1,2
2020-03-31,Ronald Reagan Medical Center,1,3
2020-03-31,Ronald Reagan Medical Center On,1,4
2020-03-31,Strategic National,1,5
2020-03-31,Texas Department Of State Health Services,1,6
2020-03-31,United Autoworkers Union,1,7
2020-03-31,United States,1,8
2020-03-31,University Of California Los Angeles,1,9
2020-03-31,Walter Reed Army Institute Of Research,1,10
2020-03-31,Whole Foods,1,11
2020-04-01,America Arts Alliance,1,1
2020-04-01,Art Institute Of Kansas City,1,2
2020-04-01,Brooklyn Academy Of Music,1,3
2020-04-01,Institute Of Contemporary Art,1,4
2020-04-01,Kauffman Center,1,5
2020-04-01,Twitter,1,6
2020-04-01,United States,1,7
2020-04-01,University Of Wisconsin,1,8
2020-04-01,Walker Art Center,1,9
2020-04-02,California Employment Development Department,1,1
2020-04-02,California Health Corps,1,2
2020-04-02,Del Norte Emergency Operations Center,1,3
2020-04-02,Humboldt County Public Health,1,4
2020-04-02,Public Health Branch,1,5
2020-04-02,Public Health Nurse,1,6
2020-04-02,United States,1,7
2020-04-04,Twitter,1,1
2020-04-08,Aviation Administration,1,1
2020-04-08,California Health Corps,1,2
2020-04-08,California Office Of Emergency Services,1,3
2020-04-08,Del Norte Public Health,1,4
2020-04-08,Trinity Public Health Nursing,1,5
2020-04-08,Uc School Of Health,1,6
2020-04-08,United States,1,7
2020-04-08,Us Centers For Disease,1,8
2020-04-08,World Health Organization,1,9
2020-04-10,Centers For Disease,1,1
2020-04-10,Cities Health District,1,2
2020-04-10,Department Of State Health Services,1,3
2020-04-10,Facebook,1,4
2020-04-10,Health District,1,5
2020-04-10,Health District On,1,6
2020-04-10,Health George Roberts,1,7
2020-04-10,Health On,1,8
2020-04-10,Health Services,1,9
2020-04-10,Jasper Newton Health,1,10
2020-04-10,Morris,1,11
2020-04-10,Texas Blood Tissue Center,1,12
2020-04-10,Texas Department Of State Health Services,1,13
2020-04-10,Texas State Department Of Health Services,1,14
2020-04-10,United States,1,15
2020-04-11,Cities Health District,1,1
2020-04-11,Department Of Corrections,1,2
2020-04-11,Department Of State Health Services,1,3
2020-04-11,Facebook,1,4
2020-04-11,Health Department,1,5
2020-04-11,Health District,1,6
2020-04-11,Health District On,1,7
2020-04-11,Health George Roberts,1,8
2020-04-11,Health On,1,9
2020-04-11,Health Services,1,10
2020-04-11,Jasper Newton Health,1,11
2020-04-11,Morris,1,12
2020-04-11,Oregon Department Of Corrections,1,13
2020-04-11,Oregon District Attorneys Association,1,14
2020-04-11,Oregon Health Authority,1,15
2020-04-11,Oregon Justice Resource Center,1,16
2020-04-11,Partnership For Safety,1,17
2020-04-11,Santiam Correctional Institution,1,18
2020-04-11,Santiam Correctional Institution In Salem,1,19
2020-04-11,Shutter Creek Correctional Institution North Bend,1,20
2020-04-11,Texas Department Of State Health Services,1,21
2020-04-11,Texas State Department Of Health Services,1,22
2020-04-11,United States,1,23
2020-04-12,Cities Health District,1,1
2020-04-12,Department Of State Health Services,1,2
2020-04-12,Facebook,1,3
2020-04-12,Health Department,1,4
2020-04-12,Health District,1,5
2020-04-12,Health District On,1,6
2020-04-12,Health George Roberts,1,7
2020-04-12,Health On,1,8
2020-04-12,Health Services,1,9
2020-04-12,Jasper Newton Health,1,10
2020-04-12,Morris,1,11
2020-04-12,Texas Department Of State Health Services,1,12
2020-04-12,Texas State Department Of Health Services,1,13
2020-04-12,United States,1,14
2020-04-13,Cities Health District,1,1
2020-04-13,Department Of Corrections,1,2
2020-04-13,Department Of State Health Services,1,3
2020-04-13,Facebook,1,4
2020-04-13,Health Department,1,5
2020-04-13,Health District,1,6
2020-04-13,Health District On,1,7
2020-04-13,Health George Roberts,1,8
2020-04-13,Health On,1,9
2020-04-13,Health Services,1,10
2020-04-13,Jasper Newton Health,1,11
2020-04-13,Morris,1,12
2020-04-13,Oregon Department Of Corrections,1,13
2020-04-13,Oregon District Attorneys Association,1,14
2020-04-13,Oregon Health Authority,1,15
2020-04-13,Partnership For Safety,1,16
2020-04-13,Santiam Correctional Institution,1,17
2020-04-13,Santiam Correctional Institution In Salem,1,18
2020-04-13,Shutter Creek Correctional Institution North Bendwere,1,19
2020-04-13,Texas Department Of State Health Services,1,20
2020-04-13,Texas State Department Of Health Services,1,21
2020-04-13,Twitter,1,22
2020-04-13,United States,1,23
2020-04-15,Cities Health District,1,1
2020-04-15,Council Tax,1,2
2020-04-15,Department Of State Health Services,1,3
