date,organization,count,rn
2020-02-01,Bloomberg,50,50
2020-02-01,Human Services Alex Azar,54,48
2020-02-01,Lufthansa,54,49
2020-02-01,University Of Hong Kong,56,47
2020-02-01,Air New Zealand,57,46
2020-02-01,Starbucks,58,45
2020-02-01,Cathay Pacific,59,43
2020-02-01,Walmart Inc,59,44
2020-02-01,Facebook,60,41
2020-02-01,Ohio Department Of Health,60,42
2020-02-01,United Nations,65,40
2020-02-01,National Institutes Of Health,66,39
2020-02-01,Defense Department,69,37
2020-02-01,Delta Air Lines Inc,69,38
2020-02-01,Division Of Global Migration,70,36
2020-02-01,Apple Inc,71,35
2020-02-01,Qantas Airways Ltd,74,34
2020-02-01,Air France,78,33
2020-02-01,Erasmus University Medical Center,82,32
2020-02-01,China National Health Commission,90,31
2020-02-01,Thomson Reuters Trust Principles,92,30
2020-02-01,National Institute Of Allergy,94,29
2020-02-01,Public Health Emergency Of International Concern,101,28
2020-02-01,Americans At March Air Reserve,105,27
2020-02-01,National Health Commission,120,26
2020-02-01,Us Health,136,25
2020-02-01,Twitter,144,24
2020-02-01,Cnn,146,23
2020-02-01,Massachusetts Public Health,158,22
2020-02-01,Us State Department,170,21
2020-02-01,Department Of Health,177,20
2020-02-01,Us Centers For Disease,178,19
2020-02-01,World Health Organization On,179,18
2020-02-01,World Health Organisation,212,17
2020-02-01,Xinhua News Agency,217,16
2020-02-01,Xinhua,230,15
2020-02-01,United Airlines,251,14
2020-02-01,Massachusetts Department Of Public Health,268,13
2020-02-01,Finnair,281,12
2020-02-01,National Center,283,11
2020-02-01,Reuters,315,10
2020-02-01,Associated Press,377,9
2020-02-01,British Airways,387,8
2020-02-01,Delta Air Lines,482,7
2020-02-01,White House,497,6
2020-02-01,American Airlines,609,5
2020-02-01,Human Services,683,4
2020-02-01,Centers For Disease,979,3
2020-02-01,World Health Organization,1247,2
2020-02-01,United States,1937,1
2020-02-02,Qatar Airways,49,50
2020-02-02,National Security Advisor Robert Obrien,50,49
2020-02-02,Cathay Pacific,51,48
2020-02-02,National Institute Of Allergy,54,47
2020-02-02,Department Of Public Health,55,45
2020-02-02,World Health Organisation,55,46
2020-02-02,Regional Training Institute In Fort Carson,56,44
2020-02-02,Human Services Alex Azar,57,43
