date,organization,count,rn
2020-03-08,American Israel Public Affairs Committee,1,1
2020-03-08,Amtrak,1,2
2020-03-08,Christ Church Georgetown,1,3
2020-03-08,Schwartz,1,4
2020-03-08,Twitter,1,5
2020-03-08,White House,1,6
2020-03-23,Duke University Hospital In Durham,1,1
2020-03-23,Human Services,1,2
2020-03-23,Johnston Health,1,3
2020-03-23,Mission Valley,1,4
2020-03-23,New York Times,1,5
2020-03-23,Southwest Airlines,1,6
2020-03-26,Duke University Hospital In Durham,1,1
2020-03-26,Human Services,1,2
2020-03-26,Johnston Health,1,3
2020-03-26,Mission Valley,1,4
2020-03-26,New York Times,1,5
2020-03-26,Southwest Airlines,1,6
2020-04-06,Health Department,1,1
2020-04-06,Human Services,1,2
2020-04-07,Human Services,1,1
2020-04-08,Human Services,1,1
2020-04-09,Human Services,1,1
