date,organization,count,rn
2020-02-02,Ball State University,1,1
2020-02-02,Indiana State University,1,2
2020-02-02,Indiana University,1,3
2020-02-02,Notre Dame Wellness Center,1,4
2020-02-02,Purdue University,1,5
2020-02-02,United States,1,6
2020-02-02,University Health Services,1,7
2020-02-02,University Of Notre Dame,1,8
2020-02-27,Centers For Disease,1,1
2020-02-27,Department Of Health,1,2
2020-02-27,Indiana Department Of Education,1,3
2020-02-27,Indiana Department Of Health,1,4
2020-02-27,Indiana State University,1,5
2020-02-27,Union Health,1,6
2020-02-27,Union Hospital,1,7
2020-02-28,Community Patient Safety Coalition,1,2
2020-02-28,Deaconess Health System,1,3
2020-02-28,Health Department,1,4
2020-02-28,Indiana State University,1,5
2020-02-28,Indiana University,1,6
2020-02-28,United States,1,7
2020-02-28,University Of Southern Indiana,1,8
2020-02-28,Department Of Health,2,1
2020-03-02,University Of Southern Indiana,1,1
2020-03-03,Indiana State University,1,1
2020-03-06,Indiana Department Of Health,1,1
2020-03-06,Indiana State University,1,2
2020-03-10,Deaconess Health System,1,1
2020-03-10,Evansville Vanderburgh School Corporation,1,2
2020-03-10,Google,1,3
2020-03-10,Old National,1,4
2020-03-10,Old National Bank,1,5
2020-03-10,United States,1,6
2020-03-11,Evansville Courier,1,1
2020-03-11,Evansville Vanderburgh School Corporation,1,2
2020-03-11,Health Department,1,3
2020-03-11,Health Department Administrator Joe Gries,1,4
2020-03-11,Indiana State Department Of Health,1,5
2020-03-11,Indiana State University,1,6
2020-03-11,Indiana University In Bloomington,1,7
2020-03-11,United States,1,8
2020-03-12,Beacon Health,1,4
2020-03-12,Centers For Disease,1,5
2020-03-12,Centers For Disease Control Prevention,1,6
2020-03-12,Centers For Medicare,1,7
2020-03-12,Evansville Vanderburgh School Corp,1,8
2020-03-12,Franciscan Health,1,9
2020-03-12,Gibson,1,10
2020-03-12,Health Department,1,11
2020-03-12,Indiana University,1,12
2020-03-12,Medicaid Service,1,13
2020-03-12,Purdue Office Of Global Engagement,1,14
2020-03-12,Purdue University,1,15
2020-03-12,Quest Diagnostics,1,16
2020-03-12,United States,1,17
2020-03-12,Valparaiso University,1,18
2020-03-12,Valparaiso University Health Center,1,19
2020-03-12,Beacon Health System,2,2
2020-03-12,Indiana Department Of Correction,2,3
2020-03-12,Indiana State Department Of Health,3,1
2020-03-13,Appellate Clerk Office,2,7
2020-03-13,Building Authority,2,8
2020-03-13,Evansville Vanderburgh School Corporation Superintendent David Smith,2,9
2020-03-13,Indiana Supreme Court,2,10
2020-03-13,Office Of Judicial Administration,2,11
2020-03-13,United States,2,12
2020-03-13,Vanderburgh Co,2,13
2020-03-13,Civic Center,4,2
2020-03-13,Deaconess Health System,4,3
2020-03-13,Evansville Civic Center,4,4
2020-03-13,Evansville Vanderburgh School Corporation,4,5
2020-03-13,Indiana State Department Of Health,4,6
2020-03-13,Ford Center,6,1
2020-03-15,Azusa Pacific University,1,1
2020-03-15,Concord Community Schools,1,2
2020-03-15,Concord Food Service Department,1,3
2020-03-15,Concord High School,1,4
2020-03-15,Indiana Criminal Justice Institute,1,5
2020-03-15,Indiana State University,1,6
2020-03-15,Northwood High School,1,7
2020-03-15,Purdue University,1,8
2020-03-15,Traffic Safety Administration,1,9
2020-03-15,Traffic Safety Partnership,1,10
2020-03-16,Charter Communications,1,1
2020-03-16,Civic Center,1,2
2020-03-16,Columbia Employee,1,3
2020-03-16,Columbia Employee Store In Henderson,1,4
2020-03-16,Columbia Employee Stores,1,5
2020-03-16,Comcast,1,6
2020-03-16,Downtown Henderson Partnership,1,7
2020-03-16,Henderson Lions Club,1,8
2020-03-16,Henderson Municipal Center,1,9
2020-03-16,Indiana Supreme Court,1,10
2020-03-16,Lions Club,1,11
2020-03-16,Sheriff Office,1,12
2020-03-17,Deaconess Health Systems,1,2
2020-03-17,Drug Administration,1,3
2020-03-17,Health Department,1,4
2020-03-17,Indiana State University,1,5
2020-03-17,Ivy Tech Community College,1,6
2020-03-17,Indiana State Department Of Health,2,1
2020-03-19,Classroom Teachers Association,1,1
2020-03-19,Oakland City College,1,2
2020-03-20,Centers For Disease,1,1
2020-03-20,Courier Press,1,2
2020-03-20,Deaconess Health System,1,3
2020-03-20,Emergency Department,1,4
2020-03-20,Evansville Courier,1,5
2020-03-20,Health Department,1,6
2020-03-20,Indiana State Department Of Health,1,7
2020-03-20,Nan,1,8
2020-03-20,Old National Events Plaza,1,9
2020-03-21,Indiana State Department Of Health,1,1
2020-03-22,Old National Events Plaza,1,1
2020-03-25,Beacon Health System,1,1
2020-03-25,Centers For Disease,1,2
2020-03-25,Department Of Health,1,3
2020-03-25,Eskenazi Health,1,4
2020-03-25,Facebook,1,5
2020-03-25,Hummer,1,6
2020-03-25,Indiana State Department Of Health,1,7
2020-03-25,Iu Health Systems,1,8
2020-03-25,Joseph County Health Department,1,9
2020-03-25,Strategic National,1,10
2020-03-25,Women Center,1,11
2020-03-27,Kroger,1,1
2020-03-27,Lake Cumberland Health Department,1,2
2020-03-31,Beacon Health System,1,1
2020-03-31,Indiana State Department Of Health,1,2
2020-03-31,Ivy Tech Community College South Bend,1,3
2020-03-31,Kroger,1,4
2020-03-31,Lake Cumberland Health Department,1,5
2020-03-31,Rehabilitation Institute,1,6
2020-03-31,Services Administration,1,7
2020-03-31,Vibra Health Care,1,8
2020-04-01,Associated Press,1,1
2020-04-01,Indiana State University,1,2
2020-04-02,Centers For Disease,1,2
2020-04-02,Child Development,1,3
2020-04-02,Deaconess Health System,1,4
2020-04-02,Facebook,1,5
2020-04-02,Health Department,1,6
2020-04-02,Indiana State University,1,7
2020-04-02,National Public Radio,1,8
2020-04-02,United States,2,1
2020-04-06,Gibson,1,1
2020-04-06,Green River District Health Department,1,2
2020-04-06,Indiana State Department Of Health,1,3
2020-04-13,Nan,1,11
2020-04-13,Centers For Disease,2,1
2020-04-13,Gibson,2,2
2020-04-13,Health Department,2,3
2020-04-13,Indiana Department Of Health,2,4
2020-04-13,Indiana Department Of Transportation,2,5
2020-04-13,Indiana National Guard,2,6
2020-04-13,Indiana State Department,2,7
2020-04-13,Indiana State Department Of Health,2,8
2020-04-13,Members Of The Indiana National Guard,2,9
2020-04-13,University Of Southern Indiana,2,10
2020-04-15,Evansville Police Department,1,1
2020-04-15,Indiana Department Of Health,1,2
2020-04-15,Indiana National Guard,1,3
2020-04-15,Macabe Brown Courier,1,4
2020-04-16,Facebook,1,1
2020-04-16,Health Insurance Portability,1,2
2020-04-16,Hoosier State Press Association,1,3
2020-04-16,Human Services,1,4
2020-04-17,Civic Center On,1,1
2020-04-17,Department Of Education,1,2
2020-04-17,Gibson,1,3
2020-04-17,Health Sciences,1,4
2020-04-17,Indiana Association Of School Business Officials,1,5
2020-04-17,Indiana Department Of Health,1,6
2020-04-17,Indiana School Boards Association,1,7
2020-04-17,Indiana State University,1,8
2020-04-17,Musgrave,1,9
2020-04-17,Office Of Management,1,10
2020-04-17,Purdue University,1,11
2020-04-17,Stone Family Center,1,12
2020-04-17,Youtube,1,13
2020-04-18,Civic Center,1,1
2020-04-18,Health Department,1,2
2020-04-18,Indiana Department Of Health,1,3
2020-04-18,Indiana National Guard,1,4
2020-04-18,Macabe Brown Courier,1,5
2020-04-18,Paycheck Protection Program,1,6
2020-04-19,Department Of Education,1,1
2020-04-19,Indiana Association Of School Business Officials,1,2
2020-04-19,Indiana School Boards Association,1,3
2020-04-19,Indiana State University,1,4
2020-04-19,Office Of Management,1,5
2020-04-19,Purdue University,1,6
2020-04-19,Youtube,1,7
2020-04-20,Department Of Education,1,1
2020-04-20,Indiana Association Of School Business Officials,1,2
2020-04-20,Indiana School Boards Association,1,3
2020-04-20,Indiana State University,1,4
2020-04-20,Office Of Management,1,5
2020-04-20,Purdue University,1,6
2020-04-20,Youtube,1,7
2020-04-21,Department Of Education,1,1
2020-04-21,Indiana Association Of School Business Officials,1,2
2020-04-21,Indiana School Boards Association,1,3
2020-04-21,Indiana State University,1,4
2020-04-21,Office Of Management,1,5
2020-04-21,Purdue University,1,6
2020-04-21,Youtube,1,7
2020-04-22,Deaconess Health System,1,1
2020-04-22,Evansville Courier,1,2
2020-04-22,Facebook,1,3
2020-04-22,Indiana Department Of Health,1,4
2020-04-22,Indiana National Guard,1,5
2020-04-22,Macabe Brown Courier,1,6
2020-04-22,United States,1,7
2020-04-23,A Deaconess Health System,1,1
2020-04-23,American Civil Liberties Union,1,2
2020-04-23,Corrections Department,1,3
2020-04-23,Division Of Vital Records,1,4
2020-04-23,Indiana Joint Information Center,1,5
2020-04-23,Indiana State Department Of Health,1,6
2020-04-23,Information Center,1,7
2020-04-23,Kentucky Department For Public Health,1,8
2020-04-23,Kentucky Department Of Corrections,1,9
2020-04-23,National Guard,1,10
2020-04-23,Vital Records Division,1,11
2020-04-24,Deaconess Health System,1,1
2020-04-24,Deaconess Hospital Evansville Courier,1,2
2020-04-24,Facebook,1,3
2020-04-24,Health System,1,4
2020-04-24,Kentucky State Police,1,5
2020-04-24,Kentucky Supreme Court,1,6
2020-04-24,Supreme Court,1,7
2020-04-25,United States,1,1
2020-04-26,Associated Press,1,1
2020-04-28,American Civil Liberties Union Of Kentucky,1,1
2020-04-28,Anderson University,1,2
2020-04-28,Central High School,1,3
2020-04-28,Commission For Higher Education,1,4
2020-04-28,Humane Society Of The United States,1,5
2020-04-28,Indiana Commission For Higher Education,1,6
2020-04-28,Indiana State University,1,7
2020-04-28,Indiana Wesleyan University,1,8
2020-04-28,Inspection Service,1,9
2020-04-28,Kentucky Department Of Corrections,1,10
2020-04-28,Midwest Center,1,11
2020-04-28,Palestine High School,1,12
2020-04-28,Supreme Court,1,13
2020-04-28,United States,1,14
2020-04-28,University Of Indianapolis,1,15
2020-04-29,Armed Forces Reserve Center,1,1
2020-04-29,Beacon Health System,1,2
2020-04-29,Food Integrity Campaign,1,3
2020-04-29,Humane Society Of The United States,1,4
2020-04-29,Indiana State Department Of Health,1,5
2020-04-29,Inspection Service,1,6
2020-04-29,Joseph County Health Department,1,7
2020-04-29,Kroger,1,8
2020-04-29,Midwest Center,1,9
2020-04-29,National Guard Armory,1,10
2020-04-29,Optumserve Health Services,1,11
2020-04-29,United States,1,12
2020-04-29,White House,1,13
2020-04-29,Youtube,1,14
2020-04-30,Deaconess Health System,1,1
2020-04-30,Health Department,1,2
2020-04-30,Indiana Department Of Health,1,3
2020-04-30,Indiana National Guard,1,4
2020-04-30,Macabe Brown Courier,1,5
2020-04-30,Research Institute Of Deaconess Clinic,1,6
2020-05-01,Associated Press,1,2
2020-05-01,City Of Anderson Engineering Department,1,3
2020-05-01,Community Hospital,1,4
2020-05-01,Evansville Courier,1,5
2020-05-01,Gibson,1,6
2020-05-01,Indiana Air National Guard,1,7
2020-05-01,Indiana State Department Of Health,1,8
2020-05-01,Indiana State University,1,9
2020-05-01,National Guard,1,10
2020-05-01,Pendleton Heights High School,1,11
2020-05-01,Second Harvest Food Bank,1,12
2020-05-01,University Hospital In Indianapolis,1,13
2020-05-01,Nan,2,1
2020-05-02,Civic Center,1,1
2020-05-02,Crisis Response Fund,1,2
2020-05-02,Deaconess Health System,1,3
2020-05-02,Economic Development Coalition Of Southwest Indiana,1,4
2020-05-02,Evansville Courier,1,5
2020-05-02,Gibson,1,6
2020-05-02,Health Department,1,7
2020-05-02,Indiana Chamber,1,8
2020-05-02,Indiana School Of Medicine,1,9
2020-05-02,Indiana State Department Of Health,1,10
2020-05-02,Kentucky Department Of Corrections,1,11
2020-05-03,Ball State University,1,1
2020-05-03,Commission For Higher Education,1,2
2020-05-03,Evansville Courier,1,3
2020-05-03,Gibson,1,4
2020-05-03,Health Professions,1,5
2020-05-03,Indiana State Department Of Health,1,6
2020-05-03,Indiana State University,1,7
2020-05-03,Indiana University,1,8
2020-05-03,Iu School Of Medicine,1,9
2020-05-03,Ivy Tech Community College,1,10
2020-05-03,Ivy Tech Community College Ivyassist,1,11
2020-05-03,Purdue University,1,12
2020-05-03,University Of Southern Indiana,1,13
2020-05-03,Vincennes University,1,14
2020-05-04,Evansville Courier,1,1
2020-05-04,Gibson,1,2
2020-05-04,Indiana State Department Of Health,1,3
2020-05-04,Nan,1,4
2020-05-05,White House,1,17
2020-05-05,Beshear Details Expanded Reopening Of Health Care,2,12
2020-05-05,Governor Beshear Office,2,13
2020-05-05,Instagram,2,14
2020-05-05,Kentucky Department Of Corrections,2,15
2020-05-05,Youtube,2,16
2020-05-05,Kentucky Department Of Public Health,3,10
2020-05-05,Nan,3,11
2020-05-05,Health Care Phase,4,9
2020-05-05,Cabinet For Economic Development,5,5
2020-05-05,Cabinet For Health,5,6
2020-05-05,Family Services,5,7
2020-05-05,Kentucky Department For Public Health,5,8
2020-05-05,Facebook,6,3
2020-05-05,Twitter,6,4
2020-05-05,Kentucky Distiller Association,7,2
2020-05-05,Kentucky Chamber,8,1
2020-05-06,American Civil Liberties Union Of Kentucky,1,2
2020-05-06,Kentucky Chamber,1,3
2020-05-06,Kentucky Department Of Public Health,1,4
2020-05-06,Kentucky Distiller Association,1,5
2020-05-06,Nan,2,1
2020-05-07,Bosse High School,1,1
2020-05-07,City Council,1,2
2020-05-07,Civic Center,1,3
2020-05-07,Crisis Response Fund,1,4
2020-05-07,Deaconess Aquatic Center,1,5
2020-05-07,Deaconess Health System,1,6
2020-05-07,Health Department Administrator Joe Gries,1,7
2020-05-07,Indiana Department Of Public Health,1,8
2020-05-07,Indiana State Department Of Health,1,9
2020-05-07,Indiana State Health Department,1,10
2020-05-07,Institute For Health Metrics,1,11
2020-05-07,Musgrave,1,12
2020-05-07,Research Center,1,13
2020-05-07,United States,1,14
2020-05-07,University Of Washington,1,15
2020-05-08,Circuit Court,1,2
2020-05-08,Correctional Institution In Elkton,1,3
2020-05-08,Nan,1,4
2020-05-08,Photo Kentucky Department Of Corrections,1,5
2020-05-08,Corrections Department,2,1
2020-05-11,Nan,1,1
2020-05-12,Churchill Downs Inc,1,2
2020-05-12,York Racing Association,1,3
2020-05-12,Probation Office,2,1
2020-05-13,Ameriqual Group,1,1
