date,organization,count,rn
2020-03-13,Academic Office Jennifer Gardner,1,1
2020-03-18,Nan,1,1
2020-03-20,Atmos,1,1
2020-03-20,Entergy,1,2
2020-03-20,Louisiana Public Service Commission,1,3
2020-03-20,Nan,1,4
2020-03-27,United States,1,1
2020-03-28,United States,1,1
2020-04-06,Cnn,1,8
2020-04-06,Army Corps,3,1
2020-04-06,Army Corps Of Engineers,3,2
2020-04-06,Drug Administration,3,3
2020-04-06,Emergency Management Agency,3,4
2020-04-06,Javits Center,3,5
2020-04-06,United States,3,6
2020-04-06,White House,3,7
2020-04-10,Civil District Court,1,1
2020-04-10,Civil Division Of The Civil District Court,1,2
2020-04-10,Clerk Of Civil District Court,1,3
2020-04-10,Clerk Of Court,1,4
2020-04-10,Clerk Of The Court,1,5
2020-04-10,Clerk Office,1,6
2020-04-10,Document Exchange,1,7
2020-04-10,First Circuit Court,1,8
2020-04-10,First City Court,1,9
2020-04-10,Judicial District Court,1,10
2020-04-10,Louisiana Supreme Court,1,11
2020-04-10,Louisiana Supreme Court Order,1,12
2020-04-10,Second City Court,1,13
2020-04-10,Third Circuit Court,1,14
2020-04-10,United States Bankruptcy Court,1,15
2020-04-10,United States Court,1,16
2020-04-10,United States District Court,1,17
2020-04-15,Casualty Company Of America,1,1
2020-04-15,Civil Authority,1,2
2020-04-15,Cleland Simpson Co,1,3
2020-04-15,Fire Insurance Co,1,4
2020-04-15,First Presbyterian Church,1,5
2020-04-15,Inovio Pharmaceuticals,1,6
2020-04-15,United States,1,7
2020-04-15,World Health Organization,1,8
2020-04-27,Braun,1,1
2020-04-27,Cnn,1,2
2020-04-27,Msnbc,1,3
2020-04-27,New York Times,1,4
2020-04-27,Oval Office,1,5
2020-04-27,Senate Republicans,1,6
2020-04-27,Twitter,1,7
2020-04-27,Washington Post,1,8
2020-04-27,White House,1,9
2020-05-01,Louisiana Coastal Zone Management Program,1,5
2020-05-01,Management Program,1,6
2020-05-01,Beta Land Services Owner Bryan Hanks,2,1
2020-05-01,Environment Committee,2,2
2020-05-01,Gas Association,2,3
2020-05-01,Louisiana Oil,2,4
2020-05-06,Babylon Fire Department,1,1
2020-05-06,Department Stuart Cameron,1,2
2020-05-06,Galletair Inc,1,3
2020-05-06,Louisiana State University,1,4
2020-05-06,Radiological Research,1,5
2020-05-06,Researchers At Columbia University Center,1,6
2020-05-06,Suffolk Police Benevolent Association,1,7
2020-05-17,Biomedical Research,1,1
2020-05-17,Department Stuart Cameron,1,2
2020-05-17,Louisiana State National Center,1,3
2020-05-17,Louisiana State University,1,4
2020-05-17,National Domestic Preparedness Consortium,1,5
2020-05-17,Suffolk Police Benevolent Association,1,6
2020-05-17,Training Academy,1,7
2020-05-18,Facebook,1,1
2020-05-18,Gas Association,1,2
2020-05-18,House Appropriations Committee On,1,3
2020-05-18,Kaplan Police,1,4
2020-05-18,Kaplan Police Department,1,5
2020-05-18,Louisiana Oil,1,6
2020-05-18,Louisiana Police Jury Association,1,7
2020-05-18,Senate Natural Resources,1,8
2020-05-18,United States Today Network,1,9
2020-05-19,Gas Association,1,1
2020-05-19,House Appropriations Committee On,1,2
2020-05-19,Louisiana Oil,1,3
2020-05-19,Louisiana Police Jury Association,1,4
2020-05-19,Senate Natural Resources,1,5
2020-05-19,United States Today Network,1,6
2020-05-21,Kaplan Police,1,3
2020-05-21,Sun Herald,1,4
2020-05-21,Facebook,2,1
2020-05-21,Kaplan Police Department,2,2
2020-05-22,Kaplan Police,1,2
2020-05-22,Kaplan Police Department,1,3
2020-05-22,Sun Herald,1,4
2020-05-22,Facebook,2,1
2020-05-28,Minneapolis Police Department,3,6
2020-05-28,National Guard,3,7
2020-05-28,A Louisianapolice Department,7,5
2020-05-28,Calvary Baptist Church,12,3
2020-05-28,Kaplan Police,12,4
2020-05-28,Facebook,17,1
2020-05-28,Kaplan Police Department,17,2
2020-05-29,A Louisianapolice Department,2,3
2020-05-29,Calvary Baptist Church,2,4
2020-05-29,Kaplan Police,2,5
2020-05-29,National Guard,2,6
2020-05-29,Facebook,3,1
2020-05-29,Kaplan Police Department,3,2
2020-06-07,Iberia Rod Gun Club Saltwater Fishing Rodeo,1,1
2020-06-07,International Grand Isle Tarpon Rodeo,1,2
2020-06-12,Ag Center Parking Lot,1,1
2020-06-12,Central High School,1,2
2020-06-12,Civic Center,1,3
2020-06-12,Division St,1,4
2020-06-12,Eunice High School,1,5
2020-06-12,Health Services,1,6
2020-06-12,Louisiana National Guard,1,7
2020-06-12,Mt Pilgrim Baptist Church,1,8
2020-06-12,Office Of Public,1,9
2020-06-12,Old E Broussard School,1,10
2020-06-12,Patlola Medical Center,1,11
2020-06-12,Port Barre Elementary School,1,12
2020-06-12,Public Health Guidance,1,13
2020-06-12,Stephensville Elementary School,1,14
2020-06-12,Sunset Middle School,1,15
2020-06-12,University Hospital,1,16
2020-06-12,Vidrine Community Center,1,17
2020-06-12,Wellness Group,1,18
2020-06-20,Nan,1,1
2020-06-22,City Club At River Ranch,1,1
2020-06-22,Facebook,1,2
2020-06-22,Louisiana Department Of Health,1,3
2020-06-30,Sun Oil,1,1
2020-07-02,Nan,1,1
2020-07-13,A Supreme Court,1,1
2020-07-13,Brennan Center,1,2
2020-07-13,Chevron,1,3
2020-07-13,Chevron Corp,1,4
2020-07-13,Louisiana Supreme Court,1,5
2020-07-13,Louisiana Supreme Court Justice Jefferson Hughes,1,6
2020-07-13,Supreme Court,1,7
2020-07-13,Supreme Court Justice Jeanette Knoll,1,8
2020-07-13,Supreme Court Justice Jefferson Hughes,1,9
2020-07-13,Talbot,1,10
2020-07-13,Third Circuit Court,1,11
2020-07-13,Union Oil Company Of California,1,12
2020-07-13,Unocal,1,13
