date,organization,count,rn
2020-02-27,Bureau Of Alcohol,1,5
2020-02-27,Cnn,1,6
2020-02-27,Division Of Criminal Investigation,1,7
2020-02-27,Molson Coors Beverage Company Molsoncoors,1,8
2020-02-27,Molson Coors Brewing Co,1,9
2020-02-27,Molson Coors Brewing Company,1,10
2020-02-27,Miller Brewing Company,2,3
2020-02-27,Ridge Community Church,2,4
2020-02-27,White House,3,2
2020-02-27,Molson Coors,8,1
2020-02-28,Saz Hospitality Group,2,3
2020-02-28,Molson Coors,4,1
2020-02-28,Ridge Community Church,4,2
2020-03-05,Molson Coors,1,1
2020-03-05,Molson Coors Beverage Company Molsoncoors,1,2
2020-03-06,California Department Of Education,1,1
2020-03-06,Centers For Disease,1,2
2020-03-06,Education Commission Of The States,1,3
2020-03-06,Harry Dewey Fundamental Elementary School,1,4
2020-03-06,Nutrition Services,1,5
2020-03-06,Office Of Superintendent Of Public Instruction,1,6
2020-03-06,San Juan Unified School District,1,7
2020-03-06,School Nutrition Association,1,8
2020-03-06,School Superintendents Association,1,9
2020-03-06,Summer Food Service Program,1,10
2020-03-12,Centers For Disease,1,1
2020-03-12,Masters Of Public Health,1,2
2020-03-12,Preparedness Committee,1,3
2020-03-12,World Health Organization On,1,4
2020-03-18,Alma Public Library,1,1
2020-03-18,Augusta Memorial Public Library,1,2
2020-03-18,Breakfast Club Pub,1,3
2020-03-18,Children Museum Of La Crosse,1,4
2020-03-18,Chunk Nation Executive Branch,1,5
2020-03-18,Coulee Region Human Society Statement,1,6
2020-03-18,Coulee Region Humane Society,1,7
2020-03-18,Credit Union,1,8
2020-03-18,Crosse Public Library,1,9
2020-03-18,Crosse Team,1,10
2020-03-18,Disability Resource Center,1,11
2020-03-18,Farge Retail,1,12
2020-03-18,High Roller Skating Center,1,13
2020-03-18,Library Board Of Trustees,1,14
2020-03-18,Party City Of Onalaska,1,15
2020-03-18,Tomah Va Medical Center,1,16
2020-03-18,Vernon Electric,1,17
2020-03-18,Winona County Law Enforcement Center,1,18
2020-03-20,Arvest Bank,1,1
2020-03-20,Centers For Disease,1,2
2020-03-20,Centers For Disease Control,1,3
2020-03-20,Central Crossing Senior Center,1,4
2020-03-20,Facebook,1,5
2020-03-20,First Christian Church,1,6
2020-03-20,Freedom Bank,1,7
2020-03-20,Freedom Bank Online Banking,1,8
2020-03-20,Kinder Academy,1,9
2020-03-20,Missouri Department Of Health,1,10
2020-03-20,Missouri Department Of Natural Resources,1,11
2020-03-20,Nature Center,1,12
2020-03-20,Park Office,1,13
2020-03-20,Senior Services,1,14
2020-03-31,Police Scott Stuber,1,1
2020-04-08,Age Of The Church,1,1
2020-04-08,Catechism Of The Catholic Church,1,2
2020-04-08,Office Of Readings,1,3
2020-04-09,Department Of Agriculture,1,1
2020-04-09,Department Of Natural Resources,1,2
2020-04-09,Emergency Operations Center,1,3
2020-04-09,Farm Bureau,1,4
2020-04-09,Health Department Facebook,1,5
2020-04-09,Holstein Association,1,6
2020-04-09,Market Balancing Program,1,7
2020-04-09,Twitter,1,8
2020-04-09,Vermont Milk Association Growth Management Plan,1,9
2020-04-09,Vermont Milk Commission,1,10
2020-04-09,Westby Cooperative Creamery,1,11
2020-04-09,Wisconsin Department Of Agriculture,1,12
2020-04-09,Wisconsin Department Of Health Services,1,13
2020-04-09,Wisconsin Department Of Natural Resources,1,14
2020-04-09,Wisconsin Farm Bureau,1,15
2020-04-09,Wisconsin Farmers Union,1,16
2020-04-13,Calvary Baptist Church,1,1
2020-04-13,Heritage Baptist Church,1,2
2020-04-13,Kansas Department Of Health,1,3
2020-04-13,Kansas Supreme Court,1,4
2020-04-13,Supreme Court,1,5
2020-04-13,Tribune Content Agency,1,6
2020-04-13,Twitter,1,7
2020-04-13,Walmart,1,8
2020-05-05,Wisconsin Department Of Health Services,1,1
2020-05-09,Department Of Health,1,1
2020-05-09,Health Care Enhancement,1,2
2020-05-09,Human Services,1,3
2020-05-09,Mcdonald,1,4
2020-05-09,Ozark Tri County Healthcare Consortium,1,5
2020-05-09,Paycheck Protection Program,1,6
2020-05-09,Senate Community Health Center Caucus,1,7
2020-05-12,Citizens First Bank,1,1
2020-05-12,Ethnic Minority Emergency Grant Initiative,1,2
2020-05-12,It National Hospital Week,1,3
2020-05-12,Loan Administrator Of Economic Development Loan Committee,1,4
2020-05-12,Peoples State Bank,1,5
2020-05-12,United States,1,6
2020-05-12,Vernon Communications,1,7
2020-05-12,Viroqua Area Foundation,1,8
2020-05-12,Wisconsin Economic Development Corporation,1,9
2020-05-27,City Health Department,1,1
2020-05-27,Holiday Inn,1,2
2020-05-27,Public Safety Study Group,1,3
