date,organization,count,rn
2020-02-16,Centers For Disease,1,1
2020-02-16,Department Of Community Health,1,2
2020-02-16,Emergency Operations Center,1,3
2020-02-16,Mary Medical Center,1,4
2020-02-16,United States,1,5
2020-02-16,World Health Organization On,1,6
2020-03-02,Centers For Disease,1,1
2020-03-02,Forest Hills Elementary School In Lake Oswego,1,2
2020-03-03,Oregon State University,1,1
2020-03-03,University Of Oregon,1,2
2020-03-04,Centers For Disease,1,3
2020-03-04,College Place Fire Department,1,4
2020-03-04,His Department,1,5
2020-03-04,Milton-Freewater Police Department,1,6
2020-03-04,Washington Department Of Health,1,7
2020-03-04,Mary Medical Center,2,1
2020-03-04,Washington State Department Of Health,2,2
2020-03-05,Oregon Health Authority,1,1
2020-03-05,Our Public Health Division,1,2
2020-03-05,Washington County Health,1,3
2020-03-06,Emergency Department,1,1
2020-03-06,Mary Medical Center,1,2
2020-03-06,Providence Health Service Southeast Washington Service Area,1,3
2020-03-06,Providence Medical Group,1,4
2020-03-07,Department Of Community Health,1,1
2020-03-07,Mary Medical Center,1,2
2020-03-07,Washington State Department Of Health,1,3
2020-03-09,Department Of Community Health,1,5
2020-03-09,Washington Public Health Laboratories,1,6
2020-03-09,Centers For Disease,2,1
2020-03-09,Mary Medical Center,2,2
2020-03-09,United States,2,3
2020-03-09,Washington State Department Of Health,2,4
2020-03-11,Cayuse Vineyards,1,1
2020-03-11,Mary Medical Center,1,2
2020-03-11,Public Health,1,3
2020-03-11,Washington State Department Of Health,1,4
2020-03-11,Washington State Wine Commission,1,5
2020-03-11,Wine Alliance,1,6
2020-03-12,European Union,1,1
2020-03-12,Oval Office,1,2
2020-03-12,Small Business Administration,1,3
2020-03-13,American Academy Of Family Physicians,1,5
2020-03-13,Baker Boyer Bank,1,6
2020-03-13,Bureau Of Labor Statistics,1,7
2020-03-13,City Council On,1,8
2020-03-13,College Place,1,9
2020-03-13,Community Health Department,1,10
2020-03-13,Eastern Oregon Correctional Institution In Pendleton,1,11
2020-03-13,Facebook,1,12
2020-03-13,Justice Center,1,13
2020-03-13,Microsoft,1,14
2020-03-13,Oregon Department Of Corrections,1,15
2020-03-13,Senate Democrats,1,16
2020-03-13,United States,1,17
2020-03-13,Walmart,1,18
2020-03-13,Washington Corrections Center,1,19
2020-03-13,Cnn,2,2
2020-03-13,Oval Office,2,3
2020-03-13,Republican Party,2,4
2020-03-13,World Health Organization,3,1
2020-03-15,College Place,2,1
2020-03-15,Mary Medical Center,2,2
2020-03-15,National Guard,2,3
2020-03-16,White House,1,1
2020-03-17,American Association Of School Superintendents,1,1
2020-03-17,Centers For Disease,1,2
2020-03-17,Consortium For School Networking,1,3
2020-03-17,Disney,1,4
2020-03-17,Downtown School,1,5
2020-03-17,Gates Foundation,1,6
2020-03-17,Google,1,7
2020-03-17,Melinda Gates Foundation,1,8
2020-03-17,United States,1,9
2020-03-17,Washington State Supreme Court,1,10
2020-03-18,Federal Reserve,1,1
2020-03-18,Johns Hopkins University,1,2
2020-03-18,Walmart,1,3
2020-03-18,While Congress,1,4
2020-03-18,White House,1,5
2020-03-18,Wynn Resorts,1,6
2020-03-19,Administration Building,1,1
2020-03-19,Blue Mountain Community Foundation,1,2
2020-03-19,Board Of Animal Health,1,3
2020-03-19,Cloud State University,1,4
2020-03-19,Cloud Technical Community College,1,5
2020-03-19,Community Foundation,1,6
2020-03-19,Department Of Human Services Administrator Melissa Huberty,1,7
2020-03-19,Diocese Of St,1,8
2020-03-19,Facebook,1,9
2020-03-19,Google,1,10
2020-03-19,Human Services,1,11
2020-03-19,Minnesota Board Of Animal Health,1,12
2020-03-19,Minnesota Department Of Health,1,13
2020-03-19,Response Fund,1,14
2020-03-19,Sartell Middle School,1,15
2020-03-19,Service Center,1,16
2020-03-20,Congressional Research Service,1,2
2020-03-20,Emergency Management Agency,1,3
2020-03-20,Facebook,1,4
2020-03-20,Morgan,1,5
2020-03-20,National Security Council,1,6
2020-03-20,National Security Council On Twitter,1,7
2020-03-20,Princeton University,1,8
2020-03-20,United States,1,9
2020-03-20,University Of Texas School Of Law,1,10
2020-03-20,White House,1,11
2020-03-20,Nan,2,1
2020-03-25,College Place,1,1
2020-03-25,Department Of Community Health,1,2
2020-03-25,Emergency Management Department,1,3
2020-03-25,Health Department,1,4
2020-03-25,Mary Medical Center,1,5
2020-03-27,Alliance For The Homeless,1,1
2020-03-27,Christian Aid Center,1,2
2020-03-27,Council On Housing,1,3
2020-03-27,Department Of Commerce,1,4
2020-03-27,Department Of Community Health,1,5
2020-03-27,Health Department,1,6
2020-03-27,Member Of Congress,1,7
2020-03-27,Save Our Workers Bill In Congress,1,8
2020-03-27,Twitter,1,9
2020-03-27,United States,1,10
2020-03-27,Ywca,1,11
2020-03-28,Centers For Disease,1,1
2020-03-28,Department Of Community Health,1,2
2020-03-28,Providence Population Health Program,1,3
2020-03-28,Washington State Department Of Health,1,4
2020-03-31,American House Cleaners Association,1,1
2020-03-31,Centers For Disease,1,2
2020-03-31,Facebook,1,3
2020-03-31,Handmaid Cleaning Community,1,4
2020-03-31,National Domestic Workers Alliance,1,5
