date,organization,count,rn
2020-02-05,Centers For Disease,1,1
2020-02-05,Iowa Department Of Public Health,1,2
2020-02-05,Trump Task Force On Coronavirus,1,3
2020-02-06,Diseases For The Centers For Disease,1,1
2020-02-06,Douglas County Health Department,1,2
2020-02-06,National Center,1,3
2020-03-12,Evans Travel Program,1,1
2020-03-12,Iowa Department Of Public Health,1,2
2020-03-12,United States,1,3
2020-03-13,Nan,1,1
2020-03-23,Centers For Disease,1,2
2020-03-23,Iowa Department Of Public Health,3,1
2020-03-26,Fareway Stores,1,5
2020-03-26,Bridge View Center,2,1
2020-03-26,College Board,2,2
2020-03-26,Indian Hills Community College,2,3
2020-03-26,Khan Academy,2,4
2020-03-27,H Program,1,1
2020-03-27,Iowa Association Of Fairs,1,2
2020-03-31,Iowa Department Of Public Health,1,1
2020-03-31,Iowa Department Of Transportation,1,2
2020-03-31,Iowa Transportation Commission,1,3
2020-03-31,Senate Transportation Committee,1,4
2020-03-31,Tax Fund,1,5
2020-04-01,Bridge View Center,2,5
2020-04-01,College Board,2,6
2020-04-01,Indian Hills Community College,2,7
2020-04-01,Khan Academy,2,8
2020-04-01,Transportation Improvement Program,2,9
2020-04-01,Iowa Department Of Transportation,3,1
2020-04-01,Iowa Transportation Commission,3,2
2020-04-01,Senate Transportation Committee,3,3
2020-04-01,Tax Fund,3,4
2020-04-03,Department Of Health,1,5
2020-04-03,Iowa Department Of Education,1,6
2020-04-03,Iowa State University,1,7
2020-04-03,Arkansas Department Of Parks,2,1
2020-04-03,United States,2,2
2020-04-03,Utah League,2,3
2020-04-03,Yellowstone National Park,2,4
2020-04-04,Department Of Health,1,1
2020-04-04,Iowa Department Of Education,1,2
2020-04-06,Associated Press,1,1
2020-04-06,Department Of Health,1,2
2020-04-06,Iowa Department Of Education,1,3
2020-04-30,Life Church,1,1
2020-05-05,Classification Center,1,1
2020-05-05,Health Insurance Portability,1,2
2020-05-05,Iowa Department Of Correction,1,3
2020-05-06,Credit Office Of Governor Kim Reynolds,1,1
2020-05-06,University Of Iowa,1,2
2020-05-11,Department Of Public Health,1,2
2020-05-11,Hormel,1,3
2020-05-11,Hormel Foods,1,4
2020-05-11,Iowa Department Of Public Health,2,1
2020-05-19,Iowa Department Of Public Health,1,1
2020-05-19,Nan,1,2
