date,organization,count,rn
2020-03-26,Provo Missionary Training Center,1,1
2020-03-26,United States,1,2
2020-03-26,Utah Valley University,1,3
2020-03-26,Weber State University,1,4
2020-04-24,Cox Media Group,1,1
2020-04-24,Facebook,1,2
2020-05-17,Bureau Of Land Management,1,1
2020-05-17,Fire Authority,1,2
2020-05-17,Forest Service,1,3
2020-05-17,National Weather Service,1,4
2020-05-17,Predictive Services,1,5
2020-05-17,Utah Division Of Forestry,1,6
2020-05-31,Health Saving,1,1
2020-05-31,National Forest,1,2
2020-05-31,National Parks,1,3
2020-05-31,National Parks Pass,1,4
2020-05-31,Tetons National Park,1,5
2020-05-31,Walmart,1,6
2020-05-31,Yellowstone National Park,1,7
2020-06-03,Heritage Rail Alliance,1,1
2020-06-03,Nevada Northern Railway,1,2
2020-06-03,Opening Task,1,3
2020-06-03,Railroad Administration,1,4
2020-06-03,Seashore Trolley Museum,1,5
2020-06-05,Centers For Disease,1,1
2020-06-05,Utah State University,1,2
2020-06-05,World Health Organization,1,3
