date,organization,count,rn
2020-03-13,Arkansas Department Of Education,1,1
2020-03-13,Department Of Education,1,2
2020-03-13,Department Of Health,1,3
2020-03-16,Arkansas State University,1,1
2020-03-16,Hackler Intermediate School,1,2
2020-03-16,High School,1,3
2020-03-20,American Companies,1,1
2020-03-20,Center Foundation Of Hartford,1,2
2020-03-20,Friends Inc,1,3
2020-03-20,Milwaukee Rescue Mission,1,4
2020-03-27,Arts Humanities Institute,1,1
2020-03-27,City Council,1,2
2020-03-27,Community Health Forum,1,3
2020-03-27,Facebook,1,4
2020-03-27,International Transgender Day Of Visibility,1,5
2020-03-27,Translational Sciences Institute,1,6
2020-03-28,Harding Academy,1,1
2020-03-28,Searcy High School,1,2
2020-03-28,Southern Roots Hair Salon,1,3
2020-03-29,Andrew Episcopal Church,1,1
2020-03-29,Baptist Church,1,2
2020-03-29,Baxter Regional Medical Center,1,3
2020-03-29,Beckham Church,1,4
2020-03-29,Christ Community Church,1,5
2020-03-29,Facebook,1,6
2020-03-29,Fellowship Cumberland Presbyterian Church,1,7
2020-03-29,First Baptist Church,1,8
2020-03-29,First United Methodist Church,1,9
2020-03-29,Jordan First Baptist Church,1,10
2020-03-29,Salvation Army In Mountain Home,1,11
2020-03-29,Side Baptist Church,1,12
2020-03-29,United States,1,13
2020-03-31,Harding Academy,1,1
2020-03-31,Searcy High School,1,2
2020-03-31,Southern Roots Hair Salon,1,3
2020-04-01,Division Of The Airborne,1,1
2020-04-01,Foreign Policy Research Institute,1,2
2020-04-01,Library Of Congress,1,3
2020-04-01,Maryland National Guard,1,4
2020-04-01,National Guard,1,5
2020-04-01,Role Does The National Guard,1,6
2020-04-01,Supreme Court,1,7
2020-04-01,Syracuse University,1,8
2020-04-01,Texas College Of Law Houston,1,9
2020-04-01,United States,1,10
2020-04-01,University Of Alabama,1,11
2020-04-01,University Of Mississippi,1,12
2020-04-01,University Of Texas School Of Law,1,13
2020-04-03,National Disability Employment Month,1,1
2020-04-03,National Disability Employment Month Suzanne Tennant,1,2
2020-04-03,Opportunity Enterprises,1,3
2020-04-05,Hyatt,1,1
2020-04-05,Insurance Department,1,2
2020-04-10,Apple App,1,1
2020-04-10,Arkansas Department Of Health,1,2
2020-04-10,Baxter Regional Medical Center,1,3
2020-04-10,Cs Background Inc,1,4
2020-04-10,Google,1,5
2020-04-10,Health Department,1,6
2020-04-10,Members Of Care Center Ministries,1,7
2020-04-10,National Institute Of Allergy,1,8
2020-04-10,Office In Little Rock,1,9
2020-04-10,Ozark Center,1,10
2020-04-10,White House Coronavirus Task,1,11
2020-04-10,World Health Organization,1,12
2020-04-15,Aviation Administration,1,1
2020-04-15,Oval Office,1,2
2020-04-15,Supreme Court,1,3
2020-04-15,United States,1,4
2020-04-15,Us Department Of Transportation,1,5
2020-04-21,Ball State Alumni Center,1,1
2020-04-21,Junior,1,2
2020-04-21,Studebaker East On Ball State University,1,3
2020-05-04,Arkansas Surge Campaign On,1,1
2020-05-04,Baptist Health,1,2
2020-05-04,Baptist Health Of Arkansas,1,3
2020-05-04,Health Centers,1,4
2020-05-04,Health Centers Fqhcs,1,5
2020-05-04,Health Department Of Health,1,6
2020-05-04,Kroger Co,1,7
2020-05-04,Kroger Health,1,8
2020-05-04,Quest Diagnostics,1,9
2020-05-04,Testing Advisory Group,1,10
2020-05-04,Testing Working Group,1,11
2020-05-04,United States,1,12
2020-05-04,University Of Arkansas,1,13
2020-05-07,Indiana State Department Of Health,1,1
2020-05-07,Kroger,1,2
2020-05-07,Walmart,1,3
2020-05-19,Arkansas State Police,1,1
2020-05-19,Bellevue Hospital Center,1,2
2020-05-19,Conway Regional Medical Center,1,3
2020-05-19,Harding Academy,1,4
2020-05-19,New York Times,1,5
2020-05-19,Pangburn High School,1,6
2020-05-19,Pangburn School District,1,7
2020-05-19,Pontiac,1,8
2020-05-19,Quorum Court,1,9
2020-05-19,United States,1,10
2020-05-19,University Of Central Arkansas,1,11
2020-05-19,Walgreens,1,12
2020-05-19,White County Cooperative Extension Service On Old,1,13
2020-05-19,White County Quorum Court,1,14
2020-05-19,White County Sheriff Department,1,15
2020-05-28,Ameriprise Financial Services,1,1
2020-05-28,Bison Financial Group,1,2
2020-05-28,Bison Financial Group In Lafayette,1,3
2020-05-28,Paycheck Protection Program,1,4
2020-05-28,Revenue Service,1,5
2020-05-28,Small Business Administration,1,6
2020-05-28,Strauch Co,1,7
2020-05-28,Subaru,1,8
2020-05-28,United States,1,9
