date,organization,count,rn
2020-03-27,Army National Guard,1,1
2020-03-27,Division Of Forestry,1,2
2020-03-27,National Guard,1,3
2020-03-28,Behavioral Health,1,4
2020-03-28,Centers For Disease,1,5
2020-03-28,Division Of Forestry,1,6
2020-03-28,Humboldt County Health,1,7
2020-03-28,Judicial District Court,1,8
2020-03-28,Nevada Department Of Public Safety,1,9
2020-03-28,Nevada Division Of Forestry,1,10
2020-03-28,Nevada Division Of Public,1,11
2020-03-28,Nevada State Fire Marshal Division,1,12
2020-03-28,Army National Guard,2,2
2020-03-28,National Guard,2,3
2020-03-28,Facebook,3,1
2020-04-01,Navajo Nation Police Department,1,11
2020-04-01,Mark Twain National Forest,2,6
2020-04-01,Pew Research Center,2,7
2020-04-01,Southeast Health Center,2,8
2020-04-01,United States,2,9
2020-04-01,University Of North Carolina At Chapel Hill,2,10
2020-04-01,American Hospital Association,3,1
2020-04-01,Facebook,3,2
2020-04-01,Indian Health Services,3,3
2020-04-01,Navajo Area Indian Health Service,3,4
2020-04-01,Nevada Hospital Association,3,5
2020-04-02,American Hospital Association,1,9
2020-04-02,Coalition To Protect America National Parks,1,10
2020-04-02,Dinosaur National Monument,1,11
2020-04-02,Great Basin National Park,1,12
2020-04-02,House Natural Resources Committee,1,13
2020-04-02,Indian Health Services,1,14
2020-04-02,Mark Twain National Forest,1,15
2020-04-02,National Park Service,1,16
2020-04-02,National Parks Conservation Association,1,17
2020-04-02,Navajo Area Indian Health Service,1,18
2020-04-02,Nevada Hospital Association,1,19
2020-04-02,Pew Research Center,1,20
2020-04-02,Southeast Health Center,1,21
2020-04-02,University Of North Carolina At Chapel Hill,1,22
2020-04-02,Utah Health Department,1,23
2020-04-02,Utah Public Health Department,1,24
2020-04-02,Utah Zion National Park,1,25
2020-04-02,Zion National Park,1,26
2020-04-02,Associated Press,2,2
2020-04-02,Ely Justice Court,2,3
2020-04-02,Ely Justice Court On,2,4
2020-04-02,Governor Office Of Economic Development,2,5
2020-04-02,Northeastern Nevada Regional Development Authority,2,6
2020-04-02,Sears,2,7
2020-04-02,United States,2,8
2020-04-02,Facebook,3,1
2020-04-03,Army National Guard,1,1
2020-04-03,Division Of Forestry,1,2
2020-04-03,Dodge,1,3
2020-04-03,National Guard,1,4
2020-04-10,Bat Conservation International,1,1
2020-04-10,Ecohealth Alliance,1,2
2020-04-10,Field Museum Of Natural History,1,3
2020-04-10,Great Basin National Park,1,4
2020-04-10,National Park Service,1,5
2020-04-10,National Wildlife Health Center,1,6
2020-04-10,Wildlife Service,1,7
2020-04-14,National Guard,1,4
2020-04-14,Associated Press,2,3
2020-04-14,National Park Service,4,2
2020-04-14,Great Basin National Park,5,1
2020-04-15,Central Indiana Police Foundation,1,1
2020-04-15,Facebook,1,2
2020-04-15,Phoenix Police Department,1,3
2020-04-16,Centre Motel,1,1
2020-04-16,City Council,1,2
2020-04-16,Department Of Employment,1,3
2020-04-16,Folklife Center,1,4
2020-04-16,Holiday Motel,1,5
2020-04-16,Manor Motel Lodge,1,6
2020-04-16,Skywest,1,7
2020-04-16,Small Business Administration,1,8
2020-04-16,Travelers Motel,1,9
2020-04-16,Visitors Authority,1,10
2020-06-17,Committee Against Domestic Violence,1,1
2020-06-17,Department Of Health,1,2
2020-06-17,Human Services,1,3
2020-06-17,Nevada Coalition To End Domestic,1,4
2020-06-17,Nevada Health District,1,5
2020-06-17,Southern Nevada Health District,1,6
