date,organization,count,rn
2020-02-19,American Hospital Association,1,1
2020-02-19,Minnesota Department Of Health,1,2
2020-02-19,National Health Commission,1,3
2020-02-19,Taiwan Centers For Disease,1,4
2020-03-04,Francis Health In Breckenridge,1,1
2020-03-04,Minnesota Department Of Health,1,2
2020-03-04,Minnesota Hospital Association,1,3
2020-03-04,Senate Majority Leader Paul Gazelka R-Nisswa,1,4
2020-03-17,Nan,1,1
2020-03-18,Department Of Corrections,1,1
2020-03-18,Minnesota Judicial Branch,1,2
2020-03-18,United States Department Of Agriculture,1,3
2020-03-19,Department Of Corrections,1,1
2020-03-19,Minnesota Judicial Branch,1,2
2020-03-19,United States Department Of Agriculture,1,3
2020-04-17,Breckenridge Elementary School,1,1
2020-04-17,Breckenridge High School,1,2
2020-04-17,Breckenridge School Board,1,3
2020-04-17,Breckenridge Senior Citizen Center,1,4
2020-04-17,Google,1,5
2020-04-17,High School Principal Craig Peterson,1,6
2020-04-17,Mary School,1,7
2020-04-17,Valley Christian Church,1,8
2020-04-17,Youtube,1,9
2020-04-22,Department Of Human Services,2,1
2020-04-22,Family Services,2,2
2020-04-22,Nan,2,3
2020-04-22,Public Health Deb Jacobs,2,4
