date,organization,count,rn
2020-03-18,Nan,1,1
2020-03-20,Facebook,1,1
2020-03-26,Field Health System,1,1
2020-03-26,Mississippi Department Of Health,1,2
2020-04-07,Facebook,1,1
2020-04-07,Mississippi State Department Of Health,1,2
2020-04-24,Mississippi Department Of Corrections,1,1
2020-04-24,Young,1,2
2020-04-30,Democratic Party Of Georgia,1,1
2020-04-30,Georgia Public Health Department,1,2
2020-04-30,Republican Party,1,3
2020-04-30,Tribune Content Agency,1,4
2020-04-30,University Of Georgia,1,5
2020-05-06,Community Development,1,1
2020-05-06,Community Development Grant,1,2
2020-05-06,Young,1,3
2020-06-23,Rayshard Brooks At Ebenezer Baptist Church,2,5
2020-06-23,Associated Press,3,4
2020-06-23,Public Affairs Research,9,3
2020-06-23,Ebenezer Baptist Church,12,1
2020-06-23,Wendy,12,2
