date,organization,count,rn
2020-03-09,Facebook,1,1
2020-03-09,Peoria County Election Commission,1,2
2020-03-09,Twitter,1,3
2020-03-10,Facebook,1,1
2020-03-10,Peoria County Election Commission,1,2
2020-03-10,Twitter,1,3
2020-03-15,Woodford Department,4,7
2020-03-15,Department Of Public Health,6,1
2020-03-15,Healthcare Saint Francis Medical Center,6,2
2020-03-15,Illinois Department Of Public Heath,6,3
2020-03-15,Peoria City County Health Department,6,4
2020-03-15,Unitypoint Health,6,5
2020-03-15,Willow Hill United Methodist Church,6,6
2020-03-16,A State Department,1,2
2020-03-16,Abbott Laboratories,1,3
2020-03-16,United States,1,4
2020-03-16,Lourdes Catholic Church,3,1
2020-03-17,Christian Union Church,3,1
2020-03-17,Lourdes Catholic Church,3,2
2020-04-06,Gilead Sciences,1,1
2020-04-06,University Hospitals Cleveland Medical Center,1,2
2020-04-06,University Of California,1,3
2020-04-06,Virginia Commonwealth University In Richmond,1,4
2020-04-12,Instagram,1,1
2020-04-12,National Guard,1,2
2020-04-12,Tribune Content Agency,1,3
2020-04-13,Facebook,1,1
2020-04-13,Railway Co,1,2
2020-04-21,Division Of Banking,1,1
2020-04-21,Illinois Department Of Financial,1,2
2020-04-21,Illinois Department Of Health,1,3
2020-04-21,Nan,1,4
2020-04-22,Cargill,1,1
2020-04-22,Coronavirus Food Assistance Program,1,2
2020-04-22,Illinois Pork Producers Association,1,3
2020-04-22,Iowa State University,1,4
2020-04-22,National Pork Producers Council,1,5
2020-04-22,Payroll Protection Program,1,6
2020-04-23,Family Services,1,1
2020-04-23,Illinois Department Of Children,1,2
2020-04-23,United Nations,1,3
2020-04-29,District Appellate Court,1,1
2020-04-29,Emergency Management Agency,1,2
2020-04-29,Illinois Department Of Public Health,1,3
2020-04-29,Marshall Hatch Of Mount Pilgrim Baptist Church,1,4
2020-04-29,Mount Pilgrim Church,1,5
2020-04-29,Twitter,1,6
2020-04-30,District Appellate Court,1,1
2020-04-30,Emergency Management Agency,1,2
2020-04-30,Illinois Department Of Public Health,1,3
2020-04-30,Thompson Center,1,4
2020-04-30,Twitter,1,5
2020-04-30,White House,1,6
2020-05-01,Tribune Content Agency,1,9
2020-05-01,Facebook,2,1
2020-05-01,Francis Medical Center,2,2
2020-05-01,Health Care,2,3
2020-05-01,Illinois Department Of Public Health,2,4
2020-05-01,Johns Hopkins University School Of Nursing,2,5
2020-05-01,Little Company Of Mary Medical Center,2,6
2020-05-01,Newton Care Center,2,7
2020-05-01,Paycheck Protection Program,2,8
2020-05-02,Nan,1,1
2020-05-06,Center Square,1,1
2020-05-09,Illinois Trial Lawyers Association,1,1
2020-05-10,Illinois Department Of Public Health,1,1
2020-05-10,Illinois Trial Lawyers Association,1,2
2020-05-10,Johns Hopkins University,1,3
2020-05-10,Justice Department,1,4
2020-05-10,Trump Administration,1,5
2020-05-10,United States,1,6
2020-05-13,Nan,1,1
2020-05-14,Nan,1,1
